"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"43",6,11,5,1,2,1,5,10,8,1,1,1,2,5
"44",12,11,5,1,2,1,5,10,8,1,1,1,2,5
"45",12,11,4,1,2,1,5,10,8,1,1,1,2,8
"46",6,11,5,1,2,1,5,10,8,1,1,1,2,5
"47",6,11,4,1,2,1,5,10,8,1,1,1,2,8
"48",12,11,5,1,2,1,5,10,8,1,1,1,2,5
"49",12,11,4,1,2,1,4,10,8,1,1,1,2,4
"50",6,11,5,1,2,1,5,10,8,1,1,1,2,5
"51",6,11,5,1,2,1,5,10,8,1,1,1,2,5
"52",12,11,5,1,2,1,5,10,8,1,1,1,2,5
"53",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"54",6,11,4,1,2,1,5,10,8,1,1,1,2,8
"55",6,11,5,1,2,1,5,10,8,1,1,1,2,5
"56",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"57",12,11,4,1,2,1,4,10,8,1,1,1,2,4
"58",13,11,4,1,2,1,4,10,8,1,1,1,2,4
"59",12,11,5,1,2,1,5,10,8,1,1,1,2,5
"60",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"61",6,11,5,1,2,1,5,10,8,1,1,1,2,5
"62",12,11,5,1,2,1,5,10,8,1,1,1,2,5
"63",6,11,4,1,2,1,4,10,8,1,1,1,2,4
"64",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"65",12,11,5,1,2,1,5,10,8,1,1,1,2,5
"66",6,11,4,1,2,1,4,10,8,1,1,1,2,4
"67",6,11,4,1,2,1,4,10,8,1,1,1,2,4
"68",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"69",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"70",13,11,5,1,2,1,5,10,4,1,1,1,2,5
"71",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"72",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"73",13,11,5,1,2,1,5,10,4,1,1,1,2,5
"74",13,11,4,1,2,1,4,10,8,1,1,1,2,4
"75",12,11,5,1,2,1,5,10,8,1,1,1,2,5
"76",12,11,5,1,2,1,5,10,8,1,1,1,2,5
"77",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"78",6,11,5,1,2,1,5,10,8,1,1,1,2,5
"79",12,11,5,1,2,1,5,10,8,1,1,1,2,5
"80",13,11,5,1,2,1,5,10,4,1,1,1,2,5
"81",12,11,5,1,2,1,5,10,8,1,1,1,2,5
"82",6,11,5,1,2,1,5,10,8,1,1,1,2,5
"83",12,11,5,1,2,1,5,10,8,1,1,1,2,5
"84",6,11,5,1,2,1,5,10,8,1,1,1,2,5
"85",12,11,4,1,2,1,5,10,8,1,1,1,2,8
"86",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"87",12,11,5,1,2,1,5,10,8,1,1,1,2,5
"88",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"89",13,11,4,1,2,1,4,10,8,1,1,1,2,4
"90",6,11,5,1,2,1,5,10,8,1,1,1,2,5
"91",12,11,5,1,2,1,5,10,8,1,1,1,2,5
"92",13,11,5,1,2,1,5,10,4,1,1,1,2,5
"93",6,11,5,1,2,1,5,10,8,1,1,1,2,5
"94",13,11,4,1,2,1,4,10,8,1,1,1,2,4
"95",6,11,5,1,2,1,5,10,8,1,1,1,2,5
"96",12,11,5,1,2,1,5,10,8,1,1,1,2,5
"97",12,11,4,1,2,1,4,10,8,1,1,1,2,4
"98",6,11,5,1,2,1,5,10,8,1,1,1,2,5
"99",6,11,5,1,2,1,5,10,8,1,1,1,2,5
"100",12,11,5,1,2,1,5,10,4,1,1,1,2,5
