"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"34",2,1,3,6,6,3,1,3,1,5,1,5,5,5,4,3,3,5,3,3,3,3,3,3,5,3
"35",8,4,5,2,2,5,4,5,4,7,4,7,7,7,3,5,5,7,5,5,5,5,5,5,7,5
"36",8,5,7,1,1,7,5,7,5,2,5,2,2,2,3,7,7,2,7,7,7,7,7,7,2,7
"37",4,3,6,1,1,6,3,6,3,5,3,5,5,5,6,6,6,5,6,6,6,6,6,6,5,6
"38",1,3,6,4,4,6,3,6,3,5,3,5,5,5,2,6,6,5,6,6,6,6,6,6,5,6
"39",2,5,1,3,3,1,5,1,5,6,5,6,6,6,7,1,1,6,1,1,1,1,1,1,6,1
"40",3,6,1,4,4,1,6,1,6,2,6,2,2,2,4,1,1,2,1,1,1,1,1,1,2,1
"41",3,1,5,2,2,5,1,5,1,4,1,4,4,4,6,5,5,4,5,5,5,5,5,5,4,5
"42",8,4,5,7,7,5,4,5,4,1,4,1,1,1,2,5,5,1,5,5,5,5,5,5,1,5
"43",4,3,2,6,6,2,3,2,3,5,3,5,5,5,7,2,2,5,2,2,2,2,2,2,5,2
"44",6,1,7,5,5,7,1,7,1,3,1,3,3,3,3,7,7,3,7,7,7,7,7,7,3,7
"45",6,5,4,3,3,4,5,4,5,1,5,1,1,1,1,4,4,1,4,4,4,4,4,4,1,4
"46",1,5,3,4,4,3,5,3,5,2,5,2,2,2,2,3,3,2,3,3,3,3,3,3,2,3
"47",2,6,1,7,7,1,6,1,6,3,6,3,3,3,5,1,1,3,1,1,1,1,1,1,3,1
"48",4,2,1,5,5,1,2,1,2,6,2,6,6,6,3,1,1,6,1,1,1,1,1,1,6,1
"49",2,4,1,6,6,1,4,1,4,5,4,5,5,5,3,1,1,5,1,1,1,1,1,1,5,1
"50",3,1,2,7,7,2,1,2,1,5,1,5,5,5,4,2,2,5,2,2,2,2,2,2,5,2
"51",3,1,6,7,7,6,1,6,1,8,1,8,8,8,2,6,6,8,6,6,6,6,6,6,8,6
"52",4,2,5,6,6,5,2,5,2,3,2,3,3,3,6,5,5,3,5,5,5,5,5,5,3,5
"53",4,1,7,3,3,7,1,7,1,8,1,8,8,8,5,7,7,8,7,7,7,7,7,7,8,7
"54",3,1,4,5,5,4,1,4,1,6,1,6,6,6,7,4,4,6,4,4,4,4,4,4,6,4
"55",7,3,1,4,4,1,3,1,3,5,3,5,5,5,2,1,1,5,1,1,1,1,1,1,5,1
"56",4,5,6,3,3,6,5,6,5,2,5,2,2,2,2,6,6,2,6,6,6,6,6,6,2,6
"57",2,8,3,1,1,3,8,3,8,4,8,4,4,4,4,3,3,4,3,3,3,3,3,3,4,3
"58",4,1,6,5,5,6,1,6,1,2,1,2,2,2,3,6,6,2,6,6,6,6,6,6,2,6
"59",6,5,4,2,2,4,5,4,5,1,5,1,1,1,3,4,4,1,4,4,4,4,4,4,1,4
"60",6,2,4,3,3,4,2,4,2,1,2,1,1,1,5,4,4,1,4,4,4,4,4,4,1,4
"61",4,6,3,2,2,3,6,3,6,7,6,7,7,7,1,3,3,7,3,3,3,3,3,3,7,3
"62",5,4,1,2,2,1,4,1,4,3,4,3,3,3,3,1,1,3,1,1,1,1,1,1,3,1
"63",7,5,6,4,4,6,5,6,5,1,5,1,1,1,8,6,6,1,6,6,6,6,6,6,1,6
"64",7,2,5,1,1,5,2,5,2,3,2,3,3,3,3,5,5,3,5,5,5,5,5,5,3,5
"65",5,4,1,3,3,1,4,1,4,2,4,2,2,2,4,1,1,2,1,1,1,1,1,1,2,1
"66",3,4,6,2,2,6,4,6,4,1,4,1,1,1,5,6,6,1,6,6,6,6,6,6,1,6
"67",7,1,4,5,5,4,1,4,1,2,1,2,2,2,2,4,4,2,4,4,4,4,4,4,2,4
"68",1,4,3,5,5,3,4,3,4,2,4,2,2,2,6,3,3,2,3,3,3,3,3,3,2,3
"69",5,1,4,6,6,4,1,4,1,3,1,3,3,3,6,4,4,3,4,4,4,4,4,4,3,4
"70",4,2,3,7,7,3,2,3,2,5,2,5,5,5,1,3,3,5,3,3,3,3,3,3,5,3
"71",2,3,7,6,6,7,3,7,3,5,3,5,5,5,5,7,7,5,7,7,7,7,7,7,5,7
"72",6,5,4,1,1,4,5,4,5,2,5,2,2,2,3,4,4,2,4,4,4,4,4,4,2,4
"73",5,1,7,2,2,7,1,7,1,3,1,3,3,3,3,7,7,3,7,7,7,7,7,7,3,7
"74",5,1,4,3,3,4,1,4,1,7,1,7,7,7,3,4,4,7,4,4,4,4,4,4,7,4
"75",8,7,5,6,6,5,7,5,7,1,7,1,1,1,6,5,5,1,5,5,5,5,5,5,1,5
"76",2,4,6,3,3,6,4,6,4,1,4,1,1,1,5,6,6,1,6,6,6,6,6,6,1,6
"77",5,1,4,6,6,4,1,4,1,2,1,2,2,2,3,4,4,2,4,4,4,4,4,4,2,4
"78",6,4,1,2,2,1,4,1,4,3,4,3,3,3,2,1,1,3,1,1,1,1,1,1,3,1
"79",4,5,1,6,6,1,5,1,5,7,5,7,7,7,2,1,1,7,1,1,1,1,1,1,7,1
"80",8,3,4,2,2,4,3,4,3,7,3,7,7,7,3,4,4,7,4,4,4,4,4,4,7,4
"81",7,1,4,6,6,4,1,4,1,3,1,3,3,3,6,4,4,3,4,4,4,4,4,4,3,4
"82",1,7,2,5,5,2,7,2,7,3,7,3,3,3,3,2,2,3,2,2,2,2,2,2,3,2
"83",1,4,3,7,7,3,2,3,2,6,2,6,6,6,8,3,3,6,3,3,3,3,3,3,6,3
"84",7,2,3,4,4,3,2,3,2,6,2,6,6,6,5,3,3,6,3,3,3,3,3,3,6,3
"85",4,2,6,1,1,6,2,6,2,3,2,3,3,3,5,6,6,3,6,6,6,6,6,6,3,6
"86",6,2,3,5,5,3,2,3,2,4,2,4,4,4,1,3,3,4,3,3,3,3,3,3,4,3
"87",3,1,2,4,4,2,1,2,1,5,1,5,5,5,5,2,2,5,2,2,2,2,2,2,5,2
"88",1,5,3,8,8,3,5,3,5,2,5,2,2,2,4,3,3,2,3,3,3,3,3,3,2,3
"89",4,3,7,5,5,7,3,7,3,8,3,8,8,8,1,7,7,8,7,7,7,7,7,7,8,7
"90",3,5,4,1,1,4,5,4,5,2,5,2,2,2,1,4,4,2,4,4,4,4,4,4,2,4
"91",7,5,1,4,4,1,5,1,5,2,5,2,2,2,6,1,1,2,1,1,1,1,1,1,2,1
"92",4,5,6,1,1,6,5,6,5,2,5,2,2,2,7,6,6,2,6,6,6,6,6,6,2,6
"93",1,2,7,3,3,7,2,7,2,6,2,6,6,6,5,7,7,6,7,7,7,7,7,7,6,7
"94",4,2,1,3,3,1,2,1,2,7,2,7,7,7,5,1,1,7,1,1,1,1,1,1,7,1
"95",4,1,6,5,5,6,1,6,1,3,1,3,3,3,2,6,6,3,6,6,6,6,6,6,3,6
"96",1,6,5,7,7,5,6,5,6,8,6,8,8,8,4,5,5,8,5,5,5,5,5,5,8,5
"97",3,5,2,4,4,2,5,2,5,1,5,1,1,1,6,2,2,1,2,2,2,2,2,2,1,2
"98",4,6,3,2,2,3,6,3,6,7,6,7,7,7,2,3,3,7,3,3,3,3,3,3,7,3
"99",1,3,7,6,6,7,3,7,3,4,3,4,4,4,4,7,7,4,7,7,7,7,7,7,4,7
"100",2,4,5,7,7,5,4,5,4,6,4,6,6,6,3,5,5,6,5,5,5,5,5,5,6,5
