"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"35",1,2,1,3,3,1,3,3,5,4,3,4,3,4,3,4,3,3,3,5,4,3,3,4
"36",4,3,4,2,2,4,2,2,4,1,2,1,2,1,2,1,2,2,2,4,1,2,2,1
"37",3,2,3,4,4,3,4,4,7,1,4,1,4,1,4,1,4,4,4,7,1,4,4,1
"38",4,3,4,2,2,4,2,2,4,5,2,5,2,5,2,5,2,2,2,4,5,2,2,5
"39",5,2,5,1,1,5,1,1,7,4,1,4,1,4,1,4,1,1,1,7,4,1,1,4
"40",2,5,2,3,3,2,3,3,6,7,3,7,3,7,3,7,3,3,3,6,7,3,3,7
"41",3,1,3,4,4,3,4,4,3,2,4,2,4,2,4,2,4,4,4,3,2,4,4,2
"42",1,3,1,4,4,1,4,4,1,6,4,6,4,6,4,6,4,4,4,1,6,4,4,6
"43",3,1,3,5,5,3,5,5,4,2,5,2,5,2,5,2,5,5,5,4,2,5,5,2
"44",5,3,5,6,6,5,6,6,4,2,6,2,6,2,6,2,6,6,6,4,2,6,6,2
"45",1,2,1,3,3,1,3,3,5,4,3,4,3,4,3,4,3,3,3,5,4,3,3,4
"46",8,3,8,1,1,8,1,1,4,5,1,5,1,5,1,5,1,1,1,4,5,1,1,5
"47",4,3,4,2,2,4,2,2,5,1,2,1,2,1,2,1,2,2,2,5,1,2,2,1
"48",1,4,1,5,5,1,5,5,1,2,5,2,5,2,5,2,5,5,5,1,2,5,5,2
"49",5,4,5,2,2,5,2,2,5,1,2,1,2,1,2,1,2,2,2,5,1,2,2,1
"50",2,4,2,3,3,2,3,3,5,7,3,7,3,7,3,7,3,3,3,5,7,3,3,7
"51",3,4,3,5,5,3,5,5,2,1,5,1,5,1,5,1,5,5,5,2,1,5,5,1
"52",2,3,2,4,4,2,4,4,1,5,4,5,4,5,4,5,4,4,4,1,5,4,4,5
"53",4,6,4,2,2,4,2,2,1,3,2,3,2,3,2,3,2,2,2,1,3,2,2,3
"54",1,2,1,3,3,1,3,3,1,5,3,5,3,5,3,5,3,3,3,1,5,3,3,5
"55",3,2,3,6,6,3,6,6,4,1,6,1,6,1,6,1,6,6,6,4,1,6,6,1
"56",4,3,4,5,5,4,5,5,4,1,5,1,5,1,5,1,5,5,5,4,1,5,5,1
"57",1,4,1,5,5,1,5,5,2,3,5,3,5,3,5,3,5,5,5,2,3,5,5,3
"58",5,1,5,4,4,5,4,4,5,6,4,6,4,6,4,6,4,4,4,5,6,4,4,6
"59",2,5,2,1,1,2,1,1,2,3,1,3,1,3,1,3,1,1,1,2,3,1,1,3
"60",4,5,4,3,3,4,3,3,2,1,3,1,3,1,3,1,3,3,3,2,1,3,3,1
"61",1,4,1,3,3,1,3,3,5,6,3,6,3,6,3,6,3,3,3,5,6,3,3,6
"62",1,3,1,2,2,1,2,2,5,4,2,4,2,4,2,4,2,2,2,5,4,2,2,4
"63",5,2,5,1,1,5,1,1,5,4,1,4,1,4,1,4,1,1,1,5,4,1,1,4
"64",5,1,5,4,4,5,4,4,2,3,4,3,4,3,4,3,4,4,4,2,3,4,4,3
"65",7,2,7,5,5,7,5,5,4,8,5,8,5,8,5,8,5,5,5,4,8,5,5,8
"66",1,2,1,7,7,1,7,7,5,6,7,6,7,6,7,6,7,7,7,5,6,7,7,6
"67",7,4,7,2,2,7,2,2,1,3,2,3,2,3,2,3,2,2,2,1,3,2,2,3
"68",1,6,1,4,4,1,4,4,2,8,4,8,4,8,4,8,4,4,4,2,8,4,4,8
"69",1,3,1,4,4,1,4,4,2,5,4,5,4,5,4,5,4,4,4,2,5,4,4,5
"70",5,2,5,6,6,5,6,6,5,3,6,3,6,3,6,3,6,6,6,5,3,6,6,3
"71",3,4,3,5,5,3,5,5,1,2,5,2,5,2,5,2,5,5,5,1,2,5,5,2
"72",8,2,8,6,6,8,6,6,1,7,6,7,6,7,6,7,6,6,6,1,7,6,6,7
"73",2,5,2,1,1,2,1,1,2,3,1,3,1,3,1,3,1,1,1,2,3,1,1,3
"74",5,4,5,2,2,5,2,2,6,1,2,1,2,1,2,1,2,2,2,6,1,2,2,1
"75",5,2,5,1,1,5,1,1,4,3,1,3,1,3,1,3,1,1,1,4,3,1,1,3
"76",5,7,5,1,1,5,1,1,5,4,1,4,1,4,1,4,1,1,1,5,4,1,1,4
"77",5,2,5,1,1,5,1,1,4,3,1,3,1,3,1,3,1,1,1,4,3,1,1,3
"78",4,1,4,2,2,4,2,2,5,3,2,3,2,3,2,3,2,2,2,5,3,2,2,3
"79",6,1,6,7,7,6,7,7,6,4,7,4,7,4,7,4,7,7,7,6,4,7,7,4
"80",1,6,1,7,7,1,7,7,3,5,7,5,7,5,7,5,7,7,7,3,5,7,7,5
"81",4,3,4,2,2,4,2,2,4,6,2,6,2,6,2,6,2,2,2,4,6,2,2,6
"82",3,7,3,5,5,3,5,5,4,6,5,6,5,6,5,6,5,5,5,4,6,5,5,6
"83",5,4,5,1,1,5,1,1,3,2,1,6,1,6,1,6,1,1,1,3,6,1,1,6
"84",4,5,4,1,1,4,1,1,4,2,1,2,1,2,1,2,1,1,1,4,2,1,1,2
"85",4,6,4,5,5,4,5,5,1,3,5,3,5,3,5,3,5,5,5,1,3,5,5,3
"86",6,4,6,3,3,6,3,3,7,1,3,1,3,1,3,1,3,3,3,7,1,3,3,1
"87",3,4,3,5,5,3,5,5,1,2,5,2,5,2,5,2,5,5,5,1,2,5,5,2
"88",6,2,6,5,5,6,5,5,8,1,5,1,5,1,5,1,5,5,5,8,1,5,5,1
"89",2,3,2,4,4,2,4,4,1,5,4,5,4,5,4,5,4,4,4,1,5,4,4,5
"90",4,2,4,3,3,4,3,3,5,1,3,1,3,1,3,1,3,3,3,5,1,3,3,1
"91",7,1,7,6,6,7,6,6,1,5,6,5,6,5,6,5,6,6,6,1,5,6,6,5
"92",1,2,1,6,6,1,6,6,3,4,6,4,6,4,6,4,6,6,6,3,4,6,6,4
"93",5,8,5,3,3,5,3,3,1,2,3,2,3,2,3,2,3,3,3,1,2,3,3,2
"94",2,4,2,6,6,2,6,6,3,5,6,5,6,5,6,5,6,6,6,3,5,6,6,5
"95",3,2,3,6,6,3,6,6,1,5,6,5,6,5,6,5,6,6,6,1,5,6,6,5
"96",5,1,5,2,2,5,2,2,3,4,2,4,2,4,2,4,2,2,2,3,4,2,2,4
"97",3,6,3,5,5,3,5,5,4,1,5,1,5,1,5,1,5,5,5,4,1,5,5,1
"98",6,5,6,4,4,6,4,4,1,3,4,3,4,3,4,3,4,4,4,1,3,4,4,3
"99",6,1,6,7,7,6,7,7,4,3,7,3,7,3,7,3,7,7,7,4,3,7,7,3
"100",3,5,3,1,1,3,1,1,4,2,1,2,1,2,1,2,1,1,1,4,2,1,1,2
