"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"51",1,2,1,1,1,1,1,2,1,2,1,2,1,3,1,1,2,1,1,1,3,2,3,3,1,2,2,3,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1
"52",1,4,1,1,1,1,1,4,1,4,2,4,1,3,1,1,4,1,1,1,3,4,3,3,1,4,4,3,4,1,1,2,2,4,2,4,4,1,1,1,1,1,1,1
"53",1,3,1,1,1,1,1,3,1,3,1,3,1,2,1,1,3,1,1,1,2,3,2,2,1,3,3,2,3,1,1,1,1,3,1,3,3,1,1,1,1,1,1,1
"54",4,4,3,4,3,3,1,2,1,2,1,2,3,4,1,1,2,1,1,1,4,2,4,4,4,2,2,3,2,4,3,1,1,2,1,2,3,3,3,1,3,4,3,3
"55",3,3,4,3,4,4,3,2,3,2,3,2,3,1,3,3,2,3,3,3,1,2,1,1,3,2,2,4,2,3,4,3,3,2,3,2,4,3,3,3,4,3,4,4
"56",3,4,3,3,3,3,3,4,3,4,2,4,3,1,3,3,4,3,3,3,1,4,1,1,3,4,4,1,4,3,3,2,2,4,2,4,4,3,3,3,3,3,3,3
"57",4,4,2,4,2,2,4,3,4,3,4,3,4,1,4,4,3,4,4,4,1,3,1,1,4,3,3,2,3,4,2,4,4,3,4,3,2,4,4,4,2,4,2,2
"58",3,4,3,3,3,3,3,4,3,4,2,4,3,1,3,3,4,3,3,3,1,4,1,1,3,4,4,1,4,3,3,2,2,4,2,4,4,3,3,3,3,3,3,3
"59",2,2,3,2,3,3,3,1,3,1,4,1,3,2,3,3,1,3,3,3,2,1,2,2,2,1,1,3,1,2,3,4,4,1,4,1,1,3,3,3,3,2,3,2
"60",4,1,4,4,4,4,4,1,4,1,2,1,4,3,4,4,1,4,4,4,3,1,3,3,4,1,1,3,1,4,4,2,2,1,2,1,1,4,4,4,4,4,4,4
"61",3,1,3,3,3,3,3,1,3,1,3,1,3,2,3,3,1,3,3,3,2,1,2,2,3,1,1,2,1,3,3,3,3,1,3,1,1,3,3,3,3,3,3,3
"62",3,4,3,3,3,3,3,4,3,4,2,4,3,1,3,3,4,3,3,3,1,4,1,1,3,4,4,1,4,3,3,2,2,4,2,4,4,3,3,3,3,3,3,3
"63",2,1,2,2,2,2,2,1,2,1,2,1,2,3,2,2,1,2,2,2,3,1,3,3,2,1,1,3,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2
"64",4,4,3,4,3,3,1,1,1,1,2,1,3,4,1,1,1,3,1,1,4,1,4,4,4,1,1,3,1,4,3,2,1,4,2,1,3,3,3,1,3,4,3,3
"65",2,4,2,2,2,2,2,4,2,4,1,4,2,3,2,2,4,2,2,2,3,4,3,3,2,4,4,3,4,2,2,1,1,4,1,4,4,2,2,2,2,2,2,2
"66",2,1,2,2,2,2,2,1,2,1,2,1,2,3,2,2,1,2,2,2,3,1,3,3,2,1,1,3,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2
"67",1,2,1,1,1,1,1,2,1,2,1,2,1,3,1,1,2,1,1,1,3,2,3,3,1,2,2,3,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1
"68",2,3,2,2,2,2,2,3,2,3,1,3,2,4,2,2,3,2,2,2,4,3,4,4,2,3,3,4,3,2,2,1,1,3,1,3,3,2,2,2,2,2,2,2
"69",4,2,4,4,4,4,4,2,4,2,3,2,4,1,4,4,2,4,4,4,1,2,1,1,4,2,2,1,2,4,4,3,3,2,3,2,2,4,4,4,4,4,4,4
"70",3,3,4,3,4,4,2,1,2,1,2,1,4,3,2,2,1,2,2,2,3,1,3,3,3,1,1,4,1,3,4,2,2,1,2,1,4,4,4,2,4,3,4,4
"71",2,2,4,2,4,4,3,1,3,1,3,1,4,2,3,3,1,3,3,3,2,1,2,2,2,1,1,4,1,2,4,3,3,1,3,1,4,4,4,3,4,2,4,4
"72",2,3,2,2,2,2,2,3,2,3,2,3,2,1,2,2,3,2,2,2,1,3,1,1,2,3,3,1,3,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2
"73",2,3,2,2,2,2,2,3,2,3,1,3,2,4,2,2,3,2,2,2,4,3,4,4,2,3,3,4,3,2,2,1,1,3,1,3,3,2,2,2,2,2,2,2
"74",2,2,1,2,1,1,2,4,2,4,2,4,2,3,2,2,4,2,2,2,3,4,3,3,2,4,4,1,4,2,1,2,2,4,2,4,1,2,2,2,1,2,1,1
"75",1,1,2,1,2,2,1,4,1,4,1,4,1,3,1,1,4,1,1,1,3,4,3,3,1,4,4,2,4,1,2,1,1,4,1,4,2,1,1,1,2,1,2,2
"76",2,2,3,2,3,3,2,4,2,4,2,4,2,1,2,2,4,2,2,2,1,4,1,1,2,4,4,3,4,2,3,2,2,4,2,4,3,2,2,2,3,2,3,3
"77",3,1,3,3,3,3,3,1,3,1,2,1,3,4,3,3,1,3,3,3,4,1,4,4,3,1,1,4,1,3,3,2,2,1,2,1,1,3,3,3,3,3,3,3
"78",2,4,2,2,2,2,2,4,2,4,3,4,2,1,2,2,4,2,2,2,1,4,1,1,2,4,4,1,4,2,2,3,3,4,3,4,4,2,2,2,2,2,2,2
"79",2,1,2,2,2,2,2,1,2,1,3,1,2,4,2,2,1,2,2,2,4,1,4,4,2,1,1,4,1,2,2,3,3,1,3,1,1,2,2,2,2,2,2,2
"80",2,2,4,2,4,4,1,3,1,3,1,3,4,2,1,1,3,1,1,1,2,3,2,2,2,3,3,4,3,2,4,1,1,3,1,3,4,4,4,1,4,2,4,4
"81",2,1,2,2,2,2,2,1,2,1,3,1,2,4,2,2,1,2,2,2,4,1,4,4,2,1,1,4,1,2,2,3,3,1,3,1,1,2,2,2,2,2,2,2
"82",4,4,3,4,3,3,2,1,2,1,2,1,3,4,2,2,1,2,2,2,4,1,4,4,4,1,1,3,1,4,3,2,2,1,2,1,3,3,3,2,3,4,3,3
"83",4,2,4,4,4,4,4,2,4,2,3,2,4,1,4,4,2,4,4,4,1,2,1,1,4,2,2,1,2,4,4,3,3,2,3,2,2,4,4,4,4,4,4,4
"84",2,3,2,2,2,2,2,3,2,3,2,3,4,1,2,2,3,2,2,2,1,3,1,1,2,3,4,1,4,2,4,2,2,3,2,3,4,2,2,2,2,2,2,2
"85",1,1,2,1,2,2,4,3,4,3,4,3,2,1,4,4,3,4,4,4,1,3,1,1,1,3,3,2,3,1,2,4,4,3,4,3,2,2,2,4,2,1,2,2
"86",1,4,1,1,1,1,1,4,1,4,2,4,1,3,1,1,4,1,1,1,3,4,3,3,1,4,4,3,4,1,1,2,2,4,2,4,4,1,1,1,1,1,1,1
"87",2,2,1,2,1,1,2,3,2,3,2,3,2,4,2,2,3,2,2,2,4,3,4,4,2,3,3,1,3,2,1,2,2,3,2,3,1,2,2,2,1,2,1,1
"88",1,1,2,1,2,2,1,4,1,4,1,4,1,3,1,1,4,1,1,1,3,4,3,3,1,4,4,2,4,1,2,1,1,4,1,4,2,1,1,1,2,1,2,2
"89",1,4,1,1,1,1,1,4,1,4,2,4,1,3,1,1,4,1,1,1,3,4,3,3,1,4,4,3,4,1,1,2,2,4,2,4,4,1,1,1,1,1,1,1
"90",2,1,2,2,2,2,2,1,2,1,3,1,2,4,2,2,1,2,2,2,4,1,4,4,2,1,1,4,1,2,2,3,3,1,3,1,1,2,2,2,2,2,2,2
"91",3,3,4,3,4,4,2,1,2,1,2,1,4,3,2,2,1,2,2,2,3,1,3,3,3,1,1,4,1,3,4,2,2,1,2,1,4,4,4,2,4,3,4,4
"92",4,2,4,4,4,4,4,2,4,2,1,2,4,3,4,4,2,4,4,4,3,2,3,3,4,2,2,3,2,4,4,1,1,2,1,2,2,4,4,4,4,4,4,4
"93",1,1,4,1,4,4,1,2,1,2,1,2,1,3,1,1,2,1,1,1,3,2,3,3,1,2,2,4,2,1,4,1,1,2,1,2,4,1,1,1,4,1,4,4
"94",2,3,2,2,2,2,2,3,2,3,2,3,2,1,2,2,3,2,2,2,1,3,1,1,2,3,3,1,3,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2
"95",4,4,3,4,3,3,4,2,4,2,4,2,4,1,4,4,2,4,4,4,1,2,1,1,4,2,2,3,2,4,3,4,4,2,4,2,3,4,4,4,3,4,3,3
"96",2,1,2,2,2,2,2,1,2,1,4,1,2,3,2,2,1,2,2,2,3,1,3,3,2,1,1,3,1,2,2,4,4,1,4,1,1,2,2,2,2,2,2,2
"97",1,3,1,1,1,1,1,3,1,3,2,3,1,4,1,1,3,1,1,1,4,3,4,4,1,3,3,4,3,1,1,2,2,3,2,3,3,1,1,1,1,1,1,1
"98",2,1,2,2,2,2,2,1,2,1,2,1,2,3,2,2,1,2,2,2,3,1,3,3,2,1,1,3,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2
"99",4,3,4,4,4,4,4,3,4,3,1,3,4,2,4,4,3,4,4,4,2,3,2,2,4,3,3,2,3,4,4,1,1,3,1,3,3,4,4,4,4,4,4,4
"100",2,1,2,2,2,2,2,1,2,1,2,1,2,3,2,2,1,2,2,2,3,1,3,3,2,1,1,3,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2
