"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"25",6,8,5,4,7,3,14,14,7,14,14,5,12,7,18,8,3,18,14,5,9,8,10,14,7,14,20,4,10,8,9,2,5,7,15,10,14,14,14,17,10
"26",15,16,29,37,27,38,13,3,11,3,3,27,24,11,30,37,38,30,3,13,12,16,14,3,11,3,37,37,14,16,21,1,13,11,26,14,3,3,3,40,14
"27",13,12,1,7,7,5,2,11,7,11,11,9,10,7,7,12,5,7,11,2,10,12,4,11,7,11,3,7,4,12,10,13,9,7,13,4,11,2,2,11,4
"28",5,11,10,9,9,7,12,12,5,12,12,3,5,5,10,11,7,10,12,2,8,11,4,12,5,12,9,9,4,11,8,9,13,3,13,4,12,12,12,9,4
"29",11,8,21,18,5,5,3,24,7,24,24,17,9,7,2,8,5,2,24,3,11,8,22,24,7,24,18,18,22,8,21,20,23,7,16,22,24,24,24,15,22
"30",36,16,8,13,13,22,5,5,32,5,5,15,12,32,28,13,22,28,5,11,23,16,42,5,32,5,41,13,42,16,40,23,8,15,39,42,5,5,5,33,42
"31",13,10,2,11,13,1,8,8,13,8,8,5,2,13,3,11,1,3,8,13,3,10,6,8,13,8,11,11,6,10,1,8,5,11,4,6,8,8,8,8,6
"32",14,15,13,15,7,11,2,5,4,5,5,13,1,4,4,15,11,4,5,2,11,15,16,5,4,5,15,15,16,15,4,7,13,4,9,16,5,5,5,5,16
"33",3,10,5,10,11,6,1,1,13,1,1,5,6,13,11,10,6,11,1,3,10,10,12,1,13,1,3,10,12,10,2,5,5,13,8,12,1,1,1,1,12
"34",12,16,7,13,13,17,3,7,15,7,7,15,4,15,12,13,17,12,7,3,13,16,9,7,15,7,6,13,9,16,14,11,15,15,2,9,7,7,7,13,9
"35",11,20,12,4,2,1,17,9,18,9,9,15,5,18,19,20,1,19,9,17,16,20,14,9,18,9,4,4,14,20,11,10,17,15,16,14,9,9,9,4,14
"36",2,10,1,2,9,6,1,11,1,11,11,5,4,1,1,10,6,1,11,1,5,10,13,11,1,11,2,2,13,10,3,3,12,5,14,13,11,11,11,12,13
"37",25,12,16,12,21,9,17,17,6,17,17,15,10,6,16,12,9,16,17,4,13,12,20,17,6,17,10,12,20,12,24,22,15,6,18,20,17,17,17,15,20
"38",9,8,6,1,6,10,3,13,6,13,13,17,5,6,6,1,10,6,13,3,10,8,14,13,6,13,1,1,14,8,4,9,7,17,15,14,13,3,3,11,14
"39",16,6,16,6,8,13,15,5,11,5,5,17,12,11,8,6,13,8,5,15,13,6,18,5,11,5,3,6,18,6,14,10,2,11,3,18,5,5,5,5,18
"40",8,20,24,2,8,27,24,11,16,11,11,25,17,16,26,2,27,26,11,24,13,20,22,11,16,11,2,2,22,20,10,30,13,16,24,22,11,11,11,16,22
"41",7,9,7,1,3,5,10,10,5,10,10,3,8,5,3,9,5,3,10,3,11,9,4,10,5,10,1,1,4,9,3,10,3,5,2,4,10,10,10,3,4
"42",16,21,9,10,10,14,17,11,9,11,11,6,16,9,7,10,14,7,11,17,18,21,18,11,9,11,10,10,18,21,12,18,6,9,3,18,11,11,11,19,18
"43",38,30,22,27,1,17,15,13,11,13,13,16,25,11,12,27,17,12,13,15,3,30,20,13,11,13,9,27,20,30,23,4,31,11,19,20,13,13,13,2,20
"44",7,2,10,12,12,10,4,4,3,4,4,9,10,3,11,2,10,11,4,1,12,2,13,4,3,4,6,12,13,2,14,14,9,3,8,13,4,4,4,5,13
"45",11,16,6,17,18,12,11,8,14,8,8,3,1,14,18,17,12,18,8,11,4,16,20,8,14,8,17,17,20,16,2,2,1,3,1,20,8,8,8,15,20
"46",12,16,28,27,15,20,3,17,6,17,17,4,13,6,12,27,20,12,17,3,11,16,1,17,6,17,27,27,1,16,13,7,4,6,28,1,17,17,17,23,1
"47",5,9,12,11,1,11,1,2,1,2,2,13,10,1,12,9,11,12,2,1,12,9,16,2,1,2,11,11,16,9,5,7,1,13,14,16,2,2,2,15,16
"48",10,28,22,15,13,16,24,24,20,24,24,13,25,20,21,15,16,21,24,17,5,28,3,24,20,24,15,15,3,28,4,9,20,20,9,3,24,24,24,18,3
"49",20,18,14,1,11,32,26,24,35,26,26,34,25,35,11,18,32,11,26,10,27,18,3,26,35,26,1,1,3,18,21,30,34,24,24,3,26,17,17,31,3
"50",13,9,10,11,4,13,12,7,12,7,7,10,13,12,4,11,13,4,7,12,15,9,8,7,12,7,11,11,8,9,4,6,10,12,1,8,7,7,7,4,8
"51",6,5,8,8,1,4,2,16,15,16,16,12,17,15,14,5,4,14,16,2,11,5,10,16,15,16,8,8,10,5,5,17,12,15,19,10,16,16,16,8,10
"52",19,28,36,28,19,6,11,33,23,11,11,9,8,23,19,28,6,19,11,33,29,28,20,11,23,11,28,28,20,28,24,23,16,23,33,20,11,24,24,4,20
"53",25,17,6,17,39,24,19,11,33,11,11,6,27,33,9,17,24,9,11,19,19,17,18,11,33,11,39,17,18,17,20,39,33,6,3,18,11,11,11,23,18
"54",12,38,1,19,18,9,37,37,18,37,37,18,22,18,10,38,9,10,37,4,3,38,15,37,18,37,19,19,15,38,25,5,18,18,30,15,37,37,37,21,15
"55",32,15,12,22,9,26,24,13,1,13,13,11,6,1,12,22,26,12,13,24,23,15,10,13,1,13,22,22,10,15,7,15,11,22,29,10,13,13,13,20,10
"56",11,1,12,3,11,11,7,7,2,7,7,2,9,2,15,3,11,15,7,2,9,1,13,7,2,7,5,3,13,1,14,9,2,2,4,13,7,7,7,3,13
"57",5,26,26,2,20,6,15,15,8,15,15,13,16,8,3,26,6,3,15,11,10,26,17,15,8,15,25,2,17,26,18,7,28,13,4,17,15,15,15,25,17
"58",6,12,18,12,9,4,11,11,17,11,11,9,16,17,20,12,4,20,11,3,16,12,19,11,17,11,9,12,19,12,15,4,3,17,14,19,11,11,11,11,19
"59",17,1,6,2,6,22,20,7,13,7,7,3,18,13,6,2,22,6,7,20,3,1,8,7,13,7,2,2,8,1,2,20,14,13,13,8,7,7,7,2,8
"60",4,15,9,15,2,5,17,10,8,10,10,14,7,8,6,15,5,6,10,17,8,15,1,10,8,10,3,15,1,15,10,2,14,8,4,1,10,10,10,11,1
"61",4,2,5,4,5,4,1,8,9,8,8,9,7,9,5,4,4,5,8,1,7,2,10,8,9,8,4,4,10,2,8,5,9,9,10,10,8,8,8,1,10
"62",30,26,31,12,28,21,2,4,28,4,4,14,19,28,28,26,21,28,4,2,6,26,5,4,28,4,12,12,5,26,6,9,14,28,30,5,4,20,20,27,5
"63",15,14,2,11,8,6,12,1,7,1,1,11,2,7,8,14,6,8,1,12,13,14,10,1,7,1,11,11,10,14,9,4,11,11,3,10,1,1,1,1,10
"64",21,19,7,4,16,20,5,15,23,15,15,9,7,23,16,4,20,16,15,5,4,19,6,15,23,15,21,4,6,19,5,23,3,23,11,6,15,15,15,6,6
"65",2,3,3,9,4,10,1,6,1,6,6,9,5,1,4,3,10,4,6,1,5,3,8,6,1,6,9,9,8,3,7,13,4,9,13,8,6,6,6,2,8
"66",12,16,29,16,9,28,8,2,9,2,2,23,27,9,9,16,28,9,2,8,12,10,21,2,9,2,16,16,21,10,6,5,29,9,22,21,2,2,2,2,21
"67",5,11,18,16,18,20,2,2,14,2,2,6,28,14,23,11,20,23,2,26,20,11,13,2,14,2,16,16,13,11,2,1,16,14,9,13,2,2,2,16,13
"68",3,25,25,34,19,13,8,8,23,8,8,36,23,23,22,34,13,22,8,2,33,25,18,8,23,8,34,34,18,25,24,32,9,23,10,18,8,8,8,27,18
"69",4,35,23,31,10,1,12,25,3,25,25,10,15,3,3,31,1,3,25,12,34,35,32,25,3,25,31,31,32,35,11,4,31,31,6,32,25,25,25,11,32
"70",28,20,14,16,16,18,6,6,22,6,6,12,8,22,29,20,18,29,6,30,12,20,4,6,22,6,1,16,4,20,3,14,9,22,9,4,6,6,6,27,4
"71",6,1,9,15,17,14,8,11,17,11,11,10,9,17,17,15,14,17,11,8,7,1,19,11,17,11,15,15,19,1,8,18,10,17,3,19,11,6,6,12,19
"72",20,8,16,26,17,22,29,23,19,23,23,15,14,19,6,26,22,6,23,29,14,8,5,23,19,23,26,26,5,8,19,10,6,15,7,5,23,23,23,5,5
"73",7,6,10,6,4,1,5,2,4,2,2,4,10,4,4,6,1,4,2,5,1,6,3,2,4,2,2,6,3,6,3,10,4,4,1,3,2,2,2,5,3
"74",31,29,34,16,22,36,34,34,24,34,34,33,28,24,22,29,36,22,34,32,31,29,11,34,24,34,16,16,11,29,32,29,30,33,8,11,34,34,34,1,11
"75",24,14,23,9,27,7,22,10,6,10,10,13,31,6,2,14,7,2,10,22,15,14,17,10,6,10,9,9,17,14,38,27,19,13,15,17,10,10,10,17,17
"76",19,27,5,16,22,1,18,6,22,6,6,4,13,22,22,16,1,22,6,18,27,27,19,6,22,6,16,16,19,27,2,19,24,4,17,19,6,6,6,26,19
"77",7,32,16,32,13,4,26,27,13,27,27,17,22,13,9,32,4,9,27,26,6,32,14,27,13,27,36,32,14,32,12,10,17,13,5,14,27,27,27,27,14
"78",4,7,8,13,1,8,6,6,9,6,6,3,14,9,11,13,8,11,6,10,2,7,5,6,9,6,13,13,5,7,15,10,2,9,10,5,6,6,6,13,5
"79",3,7,14,13,9,4,12,5,11,5,5,18,15,11,17,13,4,17,5,12,6,7,1,5,11,5,13,13,1,7,11,17,18,11,3,1,5,5,5,11,1
"80",12,13,12,2,4,8,15,12,4,7,7,12,3,4,4,2,8,4,7,15,13,13,9,7,4,7,2,2,9,13,17,14,5,12,17,9,7,16,16,2,9
"81",3,8,15,1,11,12,6,6,17,6,6,16,7,17,9,1,12,9,6,14,15,8,2,6,17,6,1,1,2,8,12,5,16,17,13,2,6,6,6,15,2
"82",3,17,7,18,1,1,7,8,1,8,8,11,4,1,1,18,1,1,8,7,2,17,2,8,1,8,14,18,2,17,3,16,11,18,18,2,8,8,8,8,2
"83",11,15,10,3,16,9,19,18,8,18,18,7,5,8,16,3,9,16,18,19,16,15,13,18,8,18,3,3,13,15,16,4,14,7,6,13,18,18,18,1,13
"84",5,8,7,3,1,1,2,2,1,2,2,9,5,1,1,8,1,1,2,2,9,8,4,2,1,2,7,3,4,8,6,7,9,2,3,4,2,2,2,9,4
"85",25,6,16,21,16,27,19,13,1,13,13,29,26,1,7,21,27,7,13,19,3,6,10,13,1,13,25,21,10,6,9,7,29,1,15,10,13,13,13,28,10
"86",6,6,7,12,3,3,15,11,1,11,11,3,10,1,1,12,3,1,11,15,13,6,7,11,1,11,4,12,7,6,11,13,1,1,14,7,11,11,11,12,7
"87",15,6,23,7,26,2,1,18,21,18,18,8,9,21,26,6,2,26,18,1,10,6,22,18,21,18,7,7,22,6,12,19,11,21,16,22,18,19,19,17,22
"88",8,7,6,10,3,9,6,6,3,6,6,11,4,3,3,7,9,3,6,5,11,7,13,6,3,6,10,10,13,7,5,11,11,11,5,13,6,2,2,2,13
"89",33,37,7,21,11,13,32,31,34,31,31,8,11,34,9,21,13,9,31,32,1,37,15,31,34,31,21,21,15,37,5,5,35,34,6,15,31,31,31,39,15
"90",21,7,26,10,20,10,13,14,25,14,14,19,26,25,20,7,10,20,14,13,1,7,23,14,25,14,5,10,23,7,15,20,3,25,1,23,14,14,14,25,23
"91",13,9,11,5,2,1,8,8,10,8,8,10,13,10,2,9,1,2,8,4,5,9,12,8,10,8,5,5,12,9,2,3,10,10,7,12,8,8,8,5,12
"92",11,11,21,7,8,6,16,15,7,15,15,26,5,7,8,7,6,8,15,16,24,11,4,15,7,15,7,7,4,11,5,20,26,7,18,4,15,15,15,10,4
"93",18,10,28,28,23,6,8,8,7,8,8,15,25,7,14,28,6,14,8,3,22,10,19,8,7,8,28,28,19,10,26,16,7,15,5,19,8,8,8,8,19
"94",1,11,19,11,25,10,33,33,25,33,33,7,2,25,25,11,10,25,33,3,10,6,27,33,25,33,16,11,27,6,31,3,32,25,1,27,33,33,33,33,27
"95",18,25,5,22,3,2,23,21,9,21,21,17,23,9,3,22,2,3,21,23,10,25,13,21,9,21,22,22,13,25,6,19,17,9,1,13,21,21,21,22,13
"96",15,11,5,11,13,3,6,6,3,6,6,13,14,3,23,11,3,23,6,8,1,11,21,6,3,6,20,11,21,11,20,3,20,3,2,21,6,6,6,19,21
"97",12,6,4,11,10,8,19,3,12,3,3,21,20,12,10,11,8,10,3,19,26,6,9,3,12,3,11,11,9,6,17,8,27,12,27,9,3,3,3,4,9
"98",20,14,12,36,31,6,3,22,30,22,22,19,15,30,31,14,6,31,22,3,7,14,2,22,30,22,36,36,2,14,13,32,18,30,35,2,22,22,22,8,2
"99",31,9,37,22,38,19,36,36,27,36,36,34,35,27,38,22,19,38,36,37,38,9,24,36,27,36,10,22,24,9,22,16,14,34,21,24,36,36,36,14,24
"100",20,13,17,14,14,10,15,12,1,12,12,7,6,1,8,13,10,8,12,15,9,13,4,12,1,12,14,14,4,13,12,9,7,1,1,4,12,12,12,12,4
