"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118"
"11",6,14,21,3,21,15,15,14,1,14,12,18,15,4,6,14,6,4,15,1,3,18,8,3,14,13,8,8,11,18,3,18,13,14,11,14,21,1,14,21,11,11,11,11,21,14,3,6,15,11,21,6,21,18,6,18,6,14,21,21,6,3,14,14,21,3,21,18,3,3,21,6,6,15,13,10,15,6,21,15,18,18,18,6,18,15,13,4,15,1,15,10,15,21,14,15,11,6,6,18,15,14,1,21,18,21,18,18,11,1,11,4,13,15,13,11,10,15
"12",7,12,5,12,5,6,6,12,4,12,4,10,6,7,7,12,7,7,8,4,12,10,13,12,12,12,13,13,14,10,12,10,5,12,1,12,5,4,12,5,1,7,1,1,5,12,12,7,6,14,5,7,5,10,7,10,7,12,5,5,7,12,12,12,5,8,5,10,12,12,5,1,7,6,5,14,8,1,5,6,10,10,10,1,10,6,5,7,8,4,7,14,8,5,12,8,14,7,7,10,8,12,4,5,6,5,10,10,1,4,14,7,10,8,8,8,14,8
"13",9,4,8,9,8,10,10,4,3,4,6,11,10,10,9,4,9,10,10,3,9,11,10,9,4,2,9,8,6,11,9,11,2,4,6,4,8,3,4,8,6,11,6,6,8,4,4,9,10,6,8,9,9,11,9,11,9,4,8,8,9,9,4,4,8,11,8,11,3,9,8,6,9,10,2,5,10,6,8,10,11,11,11,6,11,10,2,10,10,3,10,5,10,8,4,10,6,9,9,11,10,4,3,8,11,8,11,11,6,3,6,10,2,10,2,6,5,10
"14",18,3,11,3,11,4,4,3,3,3,7,21,4,23,18,3,18,23,22,21,3,21,20,3,3,20,20,20,8,21,3,21,20,3,16,3,11,21,3,11,16,16,16,16,11,3,3,18,4,8,11,18,11,21,18,21,18,3,11,11,18,3,3,3,11,8,11,21,3,3,11,12,18,4,20,13,8,12,11,4,21,21,21,12,21,4,20,23,22,21,22,13,8,11,3,8,8,18,18,21,8,3,21,11,4,11,21,21,12,21,8,23,20,8,20,8,13,22
"15",9,6,5,12,5,11,11,6,6,6,7,10,11,3,9,6,9,3,11,6,12,10,4,12,6,6,4,4,2,10,12,10,10,6,3,6,5,6,6,5,3,3,3,3,5,6,12,9,11,2,5,9,5,10,9,10,9,6,5,5,9,12,6,6,5,12,5,10,6,12,5,3,9,11,10,8,11,3,5,11,10,10,10,3,10,11,10,3,4,9,8,8,11,5,6,11,2,9,9,6,11,6,6,5,11,5,10,10,3,6,2,3,10,11,11,11,8,4
"16",2,1,2,1,2,6,6,1,1,1,1,5,6,7,7,1,2,7,6,1,1,5,6,1,1,3,6,6,3,5,1,5,3,1,3,1,2,1,1,2,3,3,3,3,2,1,1,2,6,3,2,2,2,5,2,5,2,1,2,2,2,1,1,1,2,5,2,5,1,1,2,4,2,6,3,6,5,4,2,6,5,5,5,4,5,6,3,7,6,3,6,6,5,2,1,5,3,2,2,5,5,1,1,2,6,2,5,5,4,1,3,7,3,5,3,3,2,6
"17",7,9,17,16,17,20,20,9,9,9,5,18,20,7,7,9,7,7,8,18,16,18,14,16,9,1,14,14,5,18,16,18,1,9,5,9,17,18,9,17,5,7,5,5,17,9,16,7,20,5,17,9,17,18,7,18,7,9,17,17,7,16,9,9,17,6,17,18,18,16,17,13,7,20,1,19,6,13,17,20,18,18,18,13,18,20,1,7,8,18,7,19,6,17,9,6,5,7,7,18,6,9,18,17,20,17,18,18,13,18,5,7,1,6,1,6,19,8
"18",9,10,3,6,3,2,2,10,10,10,6,1,2,2,2,10,9,2,2,6,6,1,10,6,10,10,10,10,4,1,6,3,1,6,4,10,3,6,10,3,2,2,4,4,3,10,10,9,2,4,3,9,3,1,9,1,9,10,3,3,9,6,10,10,3,1,3,1,6,6,3,7,9,2,3,9,1,7,3,8,1,1,1,7,1,8,1,2,2,4,2,9,1,3,10,1,4,9,9,1,1,10,6,3,8,3,1,1,7,6,4,2,1,1,1,4,9,2
"19",7,5,2,5,2,12,12,5,6,5,7,11,12,11,7,5,7,11,3,6,5,11,12,5,5,8,12,12,9,11,5,11,8,5,9,5,2,6,5,2,9,11,9,9,2,5,5,7,12,9,2,7,2,11,7,11,7,5,2,2,7,5,5,5,2,8,2,11,5,5,2,3,7,12,8,6,8,3,2,10,11,11,11,3,11,10,8,11,3,6,3,6,8,2,5,8,9,7,7,11,8,5,6,2,10,2,11,11,3,6,9,11,8,8,8,8,6,3
"20",14,5,2,5,2,11,11,5,6,5,13,3,11,10,14,5,14,10,4,6,5,3,9,5,5,12,9,9,4,3,5,3,12,5,13,5,2,6,5,2,13,13,13,13,2,5,5,14,11,4,2,14,2,3,14,3,14,5,2,2,14,5,5,5,2,12,2,3,5,5,2,10,14,11,12,4,12,10,2,11,3,3,3,10,3,11,12,10,4,6,4,4,12,2,5,12,4,14,14,3,12,5,6,2,11,2,3,3,10,6,4,10,12,12,12,12,4,4
"21",7,1,15,6,15,20,20,1,1,1,1,5,20,13,7,1,7,13,22,6,6,5,20,6,1,2,20,20,21,5,6,5,2,1,14,1,15,6,1,15,14,14,14,14,15,1,1,7,20,21,15,7,15,5,7,5,7,1,15,15,7,6,1,1,15,22,15,5,6,6,15,14,7,20,2,2,22,14,15,20,5,5,5,14,5,20,2,13,6,14,13,2,22,15,1,22,21,7,7,5,22,1,6,15,20,15,5,5,14,6,21,13,2,22,2,22,2,20
"22",3,8,21,8,21,15,15,8,14,8,8,12,15,20,3,8,3,20,15,14,8,12,5,8,8,5,5,5,1,12,8,12,5,8,1,8,21,14,8,21,1,1,1,1,21,8,8,3,15,1,21,3,21,12,3,12,3,8,21,21,3,8,8,8,21,12,21,12,8,8,21,16,3,15,5,18,15,16,21,15,12,12,12,16,12,15,5,20,17,14,18,18,15,21,8,15,1,3,3,12,15,8,14,21,12,21,12,12,16,14,1,20,5,15,5,1,18,17
"23",2,8,9,7,9,7,7,8,8,8,4,11,7,5,2,8,2,5,5,8,7,11,7,7,8,13,2,7,4,11,7,11,13,8,4,8,9,8,8,9,4,11,4,4,9,8,8,2,7,4,9,2,9,11,2,11,2,8,9,9,2,7,8,8,9,11,9,11,8,7,9,12,2,7,13,3,4,12,9,7,11,11,11,12,11,7,13,5,5,11,5,3,4,9,8,4,4,2,2,11,4,8,8,9,11,9,11,11,4,8,4,5,13,4,13,4,3,5
"24",5,9,3,9,3,10,10,9,4,9,1,7,10,13,5,9,5,13,13,4,9,7,10,9,9,11,10,10,6,7,9,7,11,9,12,9,3,4,9,3,12,12,12,12,3,9,9,5,10,6,3,5,3,7,5,7,5,9,3,3,5,9,9,9,3,3,3,7,9,9,3,12,5,10,11,11,3,12,3,10,7,7,7,12,7,10,11,13,13,4,13,11,3,3,9,3,6,5,5,7,3,9,4,3,10,3,7,7,12,4,6,13,11,3,11,3,11,13
"25",11,7,12,7,12,1,1,7,7,7,7,5,1,10,11,7,11,10,6,5,7,5,11,7,7,6,11,11,2,5,7,5,6,7,4,7,12,5,7,12,4,4,4,4,12,7,7,11,1,2,12,11,12,5,11,5,11,7,12,12,11,7,7,7,12,6,12,5,7,7,12,2,11,1,6,4,6,2,12,1,5,5,5,2,5,1,6,10,12,5,10,4,6,12,7,6,2,11,11,5,6,7,5,12,1,12,5,5,2,5,2,10,6,6,6,6,4,1
"26",9,4,11,5,11,3,3,4,4,4,6,12,3,3,9,4,9,3,1,5,5,12,8,5,4,8,8,8,7,12,5,12,8,5,7,4,11,5,4,11,7,7,7,7,11,4,4,9,3,7,11,4,11,12,9,12,9,4,11,11,9,5,4,4,11,8,11,12,5,5,11,3,9,3,8,7,8,3,11,3,12,12,12,3,12,3,8,3,1,5,3,7,8,11,4,8,7,9,9,12,8,4,5,11,12,11,12,12,8,5,7,3,8,8,8,8,4,1
"27",1,4,2,1,2,12,12,4,4,4,1,10,12,9,1,4,1,9,15,1,1,10,4,1,4,5,4,4,17,10,1,10,5,1,17,4,2,1,4,2,17,10,17,17,2,4,4,1,12,17,2,14,2,10,1,10,1,4,2,2,1,1,4,4,2,13,2,10,1,1,2,17,1,12,5,13,13,17,2,12,10,10,10,17,10,12,5,9,15,1,15,13,13,2,4,13,17,1,1,10,13,4,1,2,12,2,10,10,17,1,17,9,5,13,5,13,13,15
"28",9,4,8,9,8,2,2,4,11,4,9,16,2,11,11,4,9,11,6,11,9,16,3,9,4,1,3,3,10,16,9,16,1,9,14,4,8,11,4,8,14,14,14,14,8,4,4,9,2,10,8,9,9,16,9,16,9,4,8,8,9,9,4,4,8,6,8,16,11,9,8,3,9,2,1,3,6,3,8,2,16,16,16,3,16,2,1,11,8,11,3,3,6,8,4,6,10,9,9,16,6,4,11,8,2,8,16,16,6,11,10,11,1,6,1,6,3,2
"29",15,7,11,5,11,18,18,7,14,7,8,12,18,5,15,7,15,5,18,14,5,12,10,5,7,10,10,10,3,12,5,12,10,7,2,7,11,14,7,11,2,2,2,2,11,7,5,15,18,3,11,15,11,12,15,12,15,7,11,11,15,5,7,7,11,5,11,12,14,5,11,2,15,18,10,20,18,2,11,18,12,12,12,2,12,18,10,5,3,14,20,20,18,11,7,18,3,15,15,12,18,7,14,11,12,11,12,12,2,14,3,5,10,18,10,2,20,3
"30",12,16,7,13,7,5,5,16,16,16,8,10,5,3,12,16,12,3,5,13,13,10,5,13,16,2,12,5,3,10,13,10,2,13,3,16,7,13,16,7,3,3,3,3,7,16,16,12,5,3,7,12,7,10,12,10,12,16,7,7,12,13,16,16,7,13,7,10,13,13,7,11,12,5,2,8,5,11,7,5,10,10,10,11,10,5,2,3,2,13,8,8,5,7,16,5,3,12,12,10,5,16,13,7,10,7,10,10,11,13,3,3,2,5,2,3,8,2
"31",3,8,2,5,2,4,4,8,8,8,7,6,4,7,3,8,3,7,4,8,5,6,3,5,8,1,3,3,7,6,5,6,1,8,7,8,2,8,8,2,7,7,7,7,2,8,5,3,4,7,2,3,2,6,3,6,3,8,2,2,3,5,8,8,2,6,2,6,8,5,2,7,3,4,1,6,6,7,2,4,6,6,6,7,6,4,1,7,4,3,4,6,6,2,8,6,7,3,3,8,6,8,8,2,4,2,6,6,7,8,7,7,1,6,1,7,6,4
"32",10,8,5,6,5,15,15,8,8,8,7,12,15,15,15,8,10,15,1,1,6,12,5,6,8,17,10,5,14,12,6,12,17,8,14,8,5,1,8,5,14,15,14,14,5,8,6,10,15,14,5,10,5,12,10,12,10,8,5,5,10,6,8,8,5,6,5,12,6,6,5,14,10,15,17,4,1,14,5,15,12,12,12,14,12,15,17,15,5,1,15,4,1,5,8,1,14,10,10,12,1,8,1,5,15,5,12,12,14,1,14,15,17,1,17,1,4,15
"33",18,13,2,11,2,14,14,13,3,13,8,6,14,14,14,13,18,14,9,3,11,6,6,11,13,7,18,6,4,6,11,6,7,13,10,13,2,3,13,2,10,10,10,10,2,13,11,18,14,4,2,18,2,6,18,6,18,13,2,2,18,11,13,13,2,17,2,6,11,11,2,10,18,14,7,12,17,10,2,14,6,6,6,10,6,14,7,14,9,3,14,12,17,2,13,17,4,18,18,6,17,13,3,2,14,2,6,6,10,3,4,14,7,17,7,17,12,9
"34",15,9,3,16,3,4,4,9,6,9,17,10,4,12,15,9,15,12,4,6,16,10,7,16,9,9,7,7,17,10,16,10,11,9,17,9,3,6,9,3,17,17,17,17,3,9,16,15,4,17,3,15,3,10,15,10,15,9,3,3,15,16,9,9,3,16,3,10,16,16,3,11,15,4,11,13,11,11,3,4,10,10,10,11,10,4,11,12,3,6,13,13,11,3,9,11,17,15,15,10,11,9,6,3,4,3,10,10,11,6,17,12,9,11,11,11,13,4
"35",17,9,21,20,21,11,11,9,18,9,22,10,11,15,17,9,17,15,7,18,20,10,11,20,9,16,11,11,14,10,20,10,16,9,14,9,21,18,9,21,14,14,14,14,21,9,20,17,11,14,21,17,21,10,17,10,17,9,21,21,17,20,9,9,21,20,21,10,20,20,21,2,17,11,16,8,3,2,21,1,10,10,10,2,10,1,16,15,7,18,7,8,3,21,9,3,14,17,17,10,3,9,18,21,1,21,10,10,2,18,14,15,16,3,16,3,8,7
"36",12,9,1,12,1,10,10,9,13,9,12,7,10,4,4,9,12,4,3,13,12,7,9,12,9,9,9,9,6,7,12,7,9,12,6,9,1,13,9,1,6,6,6,6,1,9,9,12,10,6,1,12,12,7,12,7,12,9,1,1,12,12,9,9,1,3,1,7,13,12,1,2,12,10,9,9,3,2,1,10,7,7,7,2,7,10,9,4,1,13,4,9,3,1,9,3,6,12,12,7,3,9,13,1,10,1,7,7,2,13,6,4,9,3,3,3,9,10
"37",11,4,14,3,14,13,13,4,21,4,4,7,13,24,11,4,11,24,19,21,3,7,18,3,4,3,18,18,8,7,3,7,3,4,10,4,14,21,4,14,10,10,10,10,14,4,3,11,13,8,14,11,14,7,11,7,11,4,14,14,11,3,4,4,14,8,14,7,21,3,14,22,11,13,3,2,8,22,14,13,7,7,7,22,7,13,3,24,19,21,19,2,8,14,4,8,8,11,11,7,8,4,21,14,13,14,7,7,22,21,8,24,3,8,8,8,2,19
"38",11,2,6,2,6,9,9,2,2,2,5,7,9,12,11,2,11,12,9,11,2,7,11,2,2,2,11,6,5,7,2,7,7,2,5,2,6,11,2,6,5,5,5,5,6,2,2,11,9,5,6,11,6,7,11,7,11,2,6,6,11,2,2,2,6,1,6,7,2,2,6,10,11,9,7,5,1,10,6,9,7,7,7,10,7,9,7,12,9,11,9,5,1,6,2,1,5,11,11,7,1,2,11,6,9,6,7,7,10,11,5,12,7,1,1,1,5,9
"39",14,11,8,7,8,9,9,11,11,11,15,6,9,1,14,11,14,1,9,11,7,6,2,7,11,2,2,2,5,6,7,6,2,11,19,11,8,11,11,8,19,19,19,19,8,11,7,14,9,5,8,14,8,6,14,6,14,11,8,8,14,7,11,11,8,7,8,6,11,7,8,19,14,9,2,16,9,19,8,3,6,6,6,19,6,3,2,1,9,19,9,16,9,8,11,9,5,14,14,6,9,11,11,8,3,8,6,6,19,11,5,1,2,9,2,19,16,9
"40",13,7,16,13,16,10,10,7,9,7,13,14,10,8,13,7,13,8,1,9,13,14,2,13,7,8,2,2,7,14,13,14,8,13,3,7,16,9,7,16,3,3,3,3,16,7,7,13,10,3,16,13,13,14,13,14,13,7,16,16,13,13,7,7,16,12,16,14,9,13,16,5,13,10,8,2,12,5,16,10,14,14,14,5,14,10,8,8,1,9,1,2,12,16,7,12,7,13,13,14,12,7,9,16,10,16,14,14,5,9,7,8,8,12,12,12,2,1
"41",7,2,15,5,15,18,18,2,17,2,3,11,18,21,7,2,7,21,3,17,5,11,19,5,2,12,19,19,16,11,5,11,12,2,16,2,15,17,2,15,16,11,16,16,15,2,5,7,18,16,15,7,15,11,7,11,7,2,15,15,7,5,2,2,15,5,15,11,5,5,15,16,7,18,12,12,16,16,15,18,11,11,11,16,11,18,12,21,3,17,21,12,16,15,2,16,16,7,7,11,16,2,17,15,18,15,11,11,16,17,16,21,12,16,12,16,12,3
"42",3,5,2,5,2,9,9,5,5,5,4,7,9,3,3,5,3,3,9,3,5,7,6,5,5,5,6,6,4,7,5,7,2,5,4,5,2,3,5,2,4,3,4,4,2,5,5,3,9,4,2,3,2,7,3,7,3,5,2,2,3,5,5,5,2,1,2,7,5,5,2,9,3,9,2,8,1,9,2,9,7,7,7,9,7,9,2,3,9,3,9,8,1,2,5,1,4,3,3,7,1,5,3,2,7,2,7,7,1,3,4,3,7,1,1,1,8,9
"43",1,6,10,14,10,9,9,6,2,6,3,5,9,14,1,6,1,14,9,2,14,5,7,14,6,4,7,7,3,5,14,5,4,6,3,6,10,2,6,10,3,3,3,3,10,6,14,1,9,3,10,1,10,5,1,5,1,6,10,10,1,14,6,6,10,8,10,5,2,14,10,13,1,9,4,6,8,13,10,9,5,5,5,13,5,9,4,14,9,2,9,6,8,10,6,8,3,1,1,5,8,6,2,10,9,10,5,5,13,2,3,14,4,8,4,8,6,9
"44",2,10,5,7,5,4,4,10,10,10,6,8,4,11,2,10,2,11,4,10,7,8,3,7,10,10,3,3,4,8,7,8,5,10,6,10,5,10,10,5,6,8,6,6,5,10,7,2,4,4,5,2,5,8,2,8,2,10,5,5,2,7,10,10,5,7,5,8,10,7,5,6,2,4,5,10,6,6,5,4,8,8,8,6,8,4,5,11,5,8,11,10,6,5,10,6,4,2,2,8,6,10,10,5,4,5,8,8,6,10,4,11,8,6,6,6,10,4
"45",14,13,15,11,15,18,18,13,1,13,10,7,18,17,14,13,14,17,3,1,11,7,16,11,13,1,16,16,19,7,11,7,1,13,19,13,15,1,13,15,19,7,19,19,15,13,11,14,18,19,15,14,15,7,14,7,14,13,15,15,14,11,13,13,15,11,15,7,11,11,15,19,14,18,1,2,9,19,15,17,7,7,7,19,7,17,1,17,3,1,2,2,9,15,13,9,19,14,14,7,9,13,1,15,17,15,7,7,19,1,19,17,1,9,9,9,2,3
"46",6,1,14,5,14,8,8,1,1,1,10,7,8,12,6,1,6,12,4,1,5,7,9,5,1,2,9,9,10,7,5,7,2,1,10,1,14,1,1,14,10,10,10,10,14,1,5,6,8,10,14,6,14,7,6,7,6,1,14,14,6,5,1,1,14,5,14,7,1,5,14,12,6,8,2,13,13,12,14,8,7,7,7,12,7,8,2,12,4,10,4,13,13,14,1,13,10,6,6,7,13,1,1,14,8,14,7,7,12,1,10,12,2,13,2,13,13,4
"47",2,1,3,6,3,9,9,1,6,1,7,8,9,2,2,1,2,2,9,6,6,8,5,6,1,5,5,5,7,8,6,8,5,6,7,1,3,6,1,3,7,2,7,7,3,1,6,2,9,7,3,2,3,8,6,8,2,1,3,3,2,6,1,1,3,6,3,8,6,6,3,9,2,9,5,1,2,9,3,9,8,8,8,9,8,9,5,2,9,6,9,1,2,3,1,2,7,2,2,8,2,1,6,3,8,3,8,8,7,6,7,2,5,2,5,7,1,9
"48",6,9,17,15,17,7,7,9,19,9,5,1,7,15,6,9,6,15,8,19,15,1,15,15,9,11,15,15,10,1,15,1,11,9,10,9,17,19,9,17,10,10,10,10,17,9,9,6,7,10,17,6,17,1,6,1,6,9,17,17,6,15,9,9,17,8,17,1,19,15,17,12,6,7,11,4,8,12,17,7,1,1,1,12,1,7,11,15,15,19,15,4,8,17,9,8,10,6,6,1,8,9,19,17,7,17,1,1,12,19,10,15,11,8,11,8,4,15
"49",2,1,8,16,8,4,4,1,16,1,17,3,4,6,2,1,2,6,4,16,16,3,9,16,1,17,9,9,15,3,16,3,17,16,15,1,8,16,1,8,15,15,15,15,8,1,16,2,4,15,8,2,8,3,2,3,2,1,8,8,2,16,1,1,8,16,8,3,16,16,8,10,2,4,17,13,4,10,8,1,3,3,3,10,3,1,17,6,11,15,11,13,4,8,1,4,15,2,2,3,4,1,16,8,1,8,3,3,10,16,15,6,17,4,17,15,13,11
"50",7,12,6,12,6,9,9,12,12,12,3,10,9,6,7,12,7,6,9,10,12,10,4,12,12,11,4,4,5,10,12,10,11,12,5,12,6,10,12,6,5,7,5,5,6,12,12,7,9,5,6,7,6,10,7,10,7,12,6,6,7,12,12,12,6,12,6,10,12,12,6,5,7,9,11,9,9,5,6,1,10,10,10,5,10,1,11,6,9,10,9,9,9,6,12,9,5,7,7,10,9,12,10,6,1,6,10,10,5,10,5,6,11,9,11,5,12,9
"51",3,9,4,15,4,11,11,9,13,9,9,6,11,2,3,9,3,2,1,13,15,6,17,15,9,5,17,17,7,6,15,6,5,9,7,9,4,13,9,4,7,7,7,7,4,9,15,3,11,7,4,3,4,6,3,6,3,9,4,4,3,15,9,9,4,15,4,6,15,15,4,1,3,11,5,2,1,1,4,11,6,6,6,1,6,11,5,2,4,13,2,2,1,4,9,1,7,3,3,6,1,9,13,4,11,4,6,6,1,13,7,2,5,1,5,1,2,11
"52",14,16,18,16,18,2,2,16,10,16,7,9,2,9,14,16,14,9,4,10,16,9,1,16,16,6,1,1,17,9,16,9,6,16,17,16,18,10,16,18,17,9,17,17,18,16,16,14,2,17,18,14,18,9,14,9,14,16,18,18,14,16,16,16,18,4,18,9,16,16,18,4,14,2,6,11,4,4,18,2,9,9,9,4,9,2,6,9,14,10,14,11,4,18,16,4,17,14,14,9,4,16,10,18,2,18,9,9,4,10,17,9,6,4,6,4,11,2
"53",15,20,21,11,21,16,16,20,3,20,8,12,16,13,15,20,15,13,16,3,11,12,11,11,20,3,11,11,8,12,11,12,3,20,8,20,21,3,20,21,8,8,8,8,21,20,11,15,16,8,21,15,21,12,15,12,15,20,21,21,15,11,20,20,21,11,21,12,11,11,21,6,15,16,3,14,16,6,21,16,12,12,12,6,12,16,3,13,14,3,14,14,16,21,20,16,8,15,15,12,16,20,3,21,12,21,12,12,6,3,8,13,3,16,3,8,14,14
"54",10,7,6,16,6,20,20,7,18,7,9,5,20,16,10,7,10,16,15,18,16,5,21,16,7,11,21,21,9,5,16,5,11,7,9,7,6,18,7,6,9,9,9,9,6,7,7,10,20,9,6,10,6,5,10,5,10,7,6,6,10,16,7,7,6,16,6,5,18,16,6,20,10,20,11,4,16,20,6,20,5,5,5,20,5,20,11,16,15,18,4,4,16,6,7,16,9,10,10,5,16,7,18,6,20,6,5,5,9,18,9,16,11,16,11,9,4,15
"55",14,9,4,7,4,10,10,9,7,9,12,6,10,1,14,9,14,1,10,7,7,6,10,7,9,9,10,10,15,6,7,6,9,7,15,9,4,7,9,4,15,15,15,15,4,9,7,14,10,15,4,14,4,6,14,6,14,9,4,4,14,7,9,9,4,11,4,6,7,7,4,16,14,10,9,11,11,16,4,2,6,6,6,16,6,2,9,1,10,15,10,11,11,4,9,11,15,14,14,6,11,9,7,4,2,4,6,6,16,7,15,1,9,11,11,11,11,10
