"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"21",6,5,4,5,1,5,4,9,5,5,4,6,4,6,5,4,6,5,4,4,5,5,6,9,1
"22",5,4,2,4,6,4,2,3,4,4,2,3,3,5,4,2,3,4,2,3,4,4,3,6,6
"23",7,6,5,6,1,6,5,8,6,6,5,2,3,7,6,5,2,6,5,3,6,6,2,8,1
"24",1,5,4,5,7,5,4,2,5,5,4,2,4,1,5,4,2,5,4,4,5,5,2,3,7
"25",3,1,5,1,4,1,5,3,1,1,5,2,2,3,1,5,2,1,5,2,1,1,2,5,4
"26",2,3,8,3,6,3,8,7,3,3,8,7,4,2,3,8,7,3,8,4,3,3,7,5,6
"27",1,6,7,6,5,6,7,2,6,6,7,1,5,1,6,7,1,6,7,6,6,6,1,5,5
"28",5,8,6,8,4,8,6,3,8,8,6,1,1,5,8,6,1,8,6,1,8,8,1,3,4
"29",5,2,1,2,7,2,1,7,2,2,1,10,7,5,2,1,10,2,1,9,2,2,10,8,7
"30",5,4,3,4,2,4,3,5,4,4,3,1,1,5,4,3,1,4,3,1,4,4,1,5,2
"31",1,3,4,3,8,3,4,5,3,3,4,7,6,1,3,4,7,3,4,6,3,3,7,9,8
"32",7,6,10,6,3,6,10,1,6,6,10,8,3,7,6,10,8,6,10,7,6,6,8,4,3
"33",7,2,6,2,10,2,6,4,2,2,6,9,5,7,2,6,9,2,6,5,2,2,9,7,10
"34",10,4,7,4,3,4,7,5,4,4,7,6,7,10,4,7,6,4,7,7,4,4,6,8,3
"35",8,2,4,2,5,2,4,2,2,2,4,7,6,8,2,4,7,2,4,6,2,2,7,3,5
"36",10,3,6,3,1,3,6,2,3,3,6,10,5,10,3,6,10,3,6,5,3,3,10,7,1
"37",4,2,1,2,3,2,1,7,2,2,1,5,3,4,2,1,5,2,1,7,2,2,5,7,3
"38",3,1,7,1,6,1,7,5,1,1,8,4,8,3,1,7,4,1,7,8,1,1,4,6,6
"39",7,4,1,4,6,4,1,3,4,4,1,2,3,7,4,1,2,4,1,3,4,4,2,1,6
"40",2,6,1,6,3,6,1,1,6,6,1,5,1,2,6,1,5,6,1,1,6,6,5,2,3
"41",7,4,10,4,3,4,10,5,4,4,10,2,1,7,4,10,2,4,10,1,4,4,2,8,3
"42",4,5,2,5,6,5,2,5,5,5,2,1,1,4,5,2,1,5,2,1,5,5,1,6,6
"43",6,9,2,9,3,9,2,7,9,9,2,10,5,6,9,2,10,9,2,5,9,9,10,1,3
"44",3,2,1,2,6,2,1,4,2,2,1,5,6,3,2,1,5,2,1,3,2,2,5,3,6
"45",7,10,11,10,9,10,11,9,10,10,11,2,9,7,10,11,2,10,11,10,10,10,2,7,9
"46",4,2,6,2,5,2,6,1,2,2,6,4,6,4,2,6,4,2,6,6,2,2,4,5,5
"47",1,3,7,3,6,3,4,2,3,3,7,4,7,1,3,7,4,3,7,7,3,3,4,6,6
"48",7,2,1,2,6,2,1,6,2,2,1,3,3,7,2,1,3,2,1,3,2,2,3,8,6
"49",8,6,2,6,3,6,2,4,6,6,2,1,3,8,6,2,1,6,2,8,6,6,1,2,3
"50",3,2,4,2,6,2,4,5,2,2,4,1,6,3,2,4,1,2,4,4,2,2,1,5,6
"51",6,1,5,1,11,1,5,5,1,1,5,4,4,6,1,5,4,1,5,4,1,1,4,11,11
"52",8,6,7,6,2,6,7,7,6,6,10,8,4,8,6,7,8,6,7,4,6,6,8,5,2
"53",9,4,1,4,8,4,1,4,4,4,1,3,10,9,4,1,3,4,1,10,4,4,3,5,8
"54",5,4,7,4,6,4,7,3,4,4,7,2,1,5,4,7,2,4,7,1,4,4,2,3,6
"55",5,4,3,4,1,4,3,4,4,4,3,5,1,5,4,3,5,4,3,3,4,4,5,2,1
"56",8,4,2,4,9,4,2,7,4,4,2,5,6,8,4,2,5,4,2,6,4,4,5,7,9
"57",5,9,1,9,8,9,1,7,9,9,1,2,10,5,9,1,2,9,1,10,9,9,2,6,8
"58",5,7,11,7,4,7,11,6,7,7,11,10,2,5,7,11,10,7,11,2,7,7,10,4,4
"59",1,2,3,2,5,2,3,3,2,2,6,4,6,1,2,3,4,2,3,6,2,2,4,7,5
"60",3,4,1,4,5,4,1,1,4,4,1,7,7,3,4,1,7,4,1,7,4,4,7,5,5
"61",2,5,3,5,6,5,3,5,5,5,3,4,7,2,5,3,4,5,3,7,5,5,4,2,6
"62",1,8,3,8,7,8,3,4,8,8,3,1,2,1,8,3,1,8,3,2,8,8,1,6,7
"63",8,9,5,9,7,9,5,3,9,9,5,4,3,8,9,5,4,9,5,3,9,9,4,4,7
"64",2,4,3,4,1,4,3,2,4,4,3,2,3,2,4,3,2,4,3,3,4,4,2,1,1
"65",4,1,3,1,7,1,3,8,1,1,3,10,11,4,1,3,10,1,3,11,1,1,10,4,7
"66",4,3,2,3,7,3,2,8,3,3,2,6,8,4,3,2,6,3,2,8,3,3,6,9,7
"67",2,11,4,11,8,11,4,11,11,11,4,3,5,2,11,4,3,11,4,5,11,11,3,9,8
"68",7,4,1,4,9,4,1,5,4,4,1,3,3,7,4,1,3,4,1,3,4,4,3,3,9
"69",4,5,10,5,3,5,10,4,5,5,8,9,8,4,5,10,9,5,10,8,5,5,9,7,3
"70",4,8,9,8,5,8,9,2,8,8,9,1,7,4,8,9,1,8,9,7,8,8,1,1,5
"71",5,6,5,6,7,6,5,6,6,6,5,1,8,5,6,5,1,6,5,8,6,6,1,2,7
"72",9,1,3,1,5,1,3,2,1,1,3,8,7,9,1,3,8,1,3,7,1,1,8,5,5
"73",3,4,2,4,5,4,2,3,4,4,2,6,2,3,4,2,6,4,2,2,4,4,6,1,5
"74",5,1,2,1,3,1,2,4,1,1,2,5,2,5,1,2,5,1,2,2,1,1,5,4,3
"75",4,1,7,1,9,1,7,6,1,1,7,5,3,4,1,7,5,1,7,3,1,1,5,1,9
"76",2,6,5,6,1,6,5,2,6,6,5,4,3,2,6,5,4,6,5,3,6,6,4,1,1
"77",5,4,2,4,3,4,2,8,4,4,2,1,8,5,4,2,1,4,2,8,4,4,1,6,3
"78",6,8,1,8,2,8,1,4,8,8,1,3,5,6,8,1,3,8,1,5,8,8,3,2,2
"79",2,9,3,9,10,9,3,2,9,9,3,5,11,2,9,3,5,9,3,11,9,9,5,7,10
"80",6,1,5,1,2,1,5,6,1,1,5,3,3,6,1,5,3,1,5,3,1,1,3,6,2
"81",8,1,2,1,9,1,2,11,1,1,2,7,6,8,1,2,7,1,2,6,1,1,7,11,9
"82",1,4,5,4,3,4,5,4,4,4,5,6,2,1,4,5,6,4,5,2,4,4,6,2,3
"83",3,1,7,1,6,1,7,6,1,1,7,10,4,3,1,7,10,1,7,4,1,1,10,8,6
"84",7,2,3,2,4,2,3,5,2,2,3,1,9,7,2,3,1,2,3,9,2,2,1,4,4
"85",8,2,7,2,1,2,7,11,2,2,7,5,6,8,2,7,5,2,7,6,2,2,5,8,1
"86",5,2,1,2,4,2,1,1,2,2,1,8,4,5,2,1,8,2,1,5,2,2,8,3,4
"87",7,3,2,3,6,3,2,1,3,3,2,5,6,7,3,2,5,3,2,4,3,3,5,1,6
"88",5,1,2,1,6,1,2,1,1,1,2,4,4,5,1,2,4,1,2,4,1,1,4,3,6
"89",5,7,4,7,9,7,4,4,7,7,4,8,1,5,7,4,8,7,4,1,7,7,8,5,9
"90",10,11,3,11,6,11,3,4,11,11,3,4,5,10,11,3,4,11,3,5,11,11,4,7,6
"91",6,2,3,2,7,2,3,3,2,2,3,4,1,6,2,3,4,2,3,1,2,2,4,8,7
"92",1,6,4,6,3,6,4,5,6,6,4,2,4,1,6,4,2,6,4,4,6,6,2,5,3
"93",5,1,7,1,6,1,7,4,1,1,7,5,2,5,1,7,5,1,7,2,1,1,5,3,6
"94",4,2,6,2,3,2,6,5,2,2,6,1,3,4,2,6,1,2,6,7,2,2,1,4,3
"95",6,5,4,5,2,5,4,1,5,5,4,7,7,6,5,4,7,5,4,7,5,5,7,7,2
"96",11,5,2,5,9,5,2,8,5,5,2,11,10,11,5,2,11,5,2,10,5,5,11,8,9
"97",4,6,9,6,1,6,9,4,6,6,9,8,7,4,6,9,8,6,9,7,6,6,8,4,1
"98",5,2,6,2,1,2,6,4,2,2,6,3,1,5,2,6,3,2,6,2,2,2,3,4,1
"99",10,5,4,5,6,5,4,1,5,5,4,8,3,10,5,4,8,5,4,3,5,5,8,11,6
"100",2,1,7,1,8,1,7,2,1,1,7,10,6,2,1,7,10,1,7,6,1,1,10,9,8
