"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"40",5,6,6,1,7,5,7,7,6,7,7,7,7,2,7,7,1,5,7,6,5,3,7,7,7,7,7,4,6,6
"41",3,2,5,3,2,2,4,2,5,2,2,2,2,2,2,2,1,3,2,5,3,2,2,4,4,2,4,2,5,5
"42",6,1,1,6,5,1,7,7,4,2,4,4,4,4,4,4,3,6,5,1,6,6,5,7,7,5,7,6,1,1
"43",2,5,5,2,3,5,5,3,1,5,5,5,5,5,5,5,5,2,3,1,2,5,3,5,2,1,5,5,1,4
"44",2,4,4,2,1,2,1,1,2,5,3,5,5,5,5,5,2,2,1,4,2,2,3,1,1,3,1,2,4,4
"45",2,4,4,2,3,4,2,3,2,5,5,5,5,3,5,5,1,2,3,5,2,2,5,2,2,5,2,2,4,4
"46",1,6,6,6,3,4,3,3,4,4,4,4,4,4,4,4,6,1,3,4,1,2,4,3,3,4,3,5,6,6
"47",4,5,5,4,6,5,3,6,4,6,1,6,6,6,6,6,7,4,6,5,4,4,1,3,4,1,3,2,5,4
"48",3,4,4,3,2,3,1,2,4,2,1,2,2,2,2,2,3,3,2,3,3,5,3,1,1,3,1,3,4,4
"49",3,4,4,3,6,4,7,7,7,7,7,7,7,7,7,7,2,3,6,7,3,5,3,7,7,7,7,1,4,4
"50",2,3,3,2,1,3,1,1,2,4,2,4,4,4,4,4,2,2,2,2,2,2,2,1,1,2,1,2,3,3
"51",2,5,5,2,3,5,3,3,1,4,1,1,1,1,1,1,2,2,3,5,2,2,1,3,3,1,3,2,5,5
"52",3,2,2,3,4,2,4,4,2,4,4,4,4,4,4,4,1,3,4,2,3,4,4,4,3,4,4,4,2,2
"53",4,3,3,4,5,4,5,5,6,2,6,2,2,2,2,2,1,4,5,4,4,4,6,5,5,6,5,4,3,3
"54",5,6,6,5,3,5,4,4,5,1,3,1,1,1,1,1,2,5,3,5,5,5,3,4,4,3,4,5,6,6
"55",4,2,2,4,5,2,1,5,2,5,3,5,5,5,5,5,4,4,5,2,4,4,3,1,1,3,1,4,2,2
"56",6,4,4,6,1,4,1,1,4,1,1,1,1,2,1,1,7,6,1,4,6,5,1,1,1,4,1,3,4,4
"57",2,1,1,2,4,1,2,4,4,3,5,3,3,3,3,3,2,2,4,2,2,2,5,2,6,5,2,2,1,1
"58",3,6,6,3,2,6,5,5,4,1,4,4,4,4,4,4,7,3,2,6,3,3,2,5,5,2,5,3,6,6
"59",4,1,1,5,2,1,2,2,4,2,2,2,2,2,2,2,5,4,2,1,4,2,2,2,4,2,2,3,1,1
"60",2,5,5,2,4,5,3,4,5,4,2,4,2,4,4,4,1,2,4,5,2,2,2,3,3,5,3,2,5,5
"61",1,3,3,1,4,3,1,4,2,4,2,4,4,4,4,4,1,1,4,3,1,1,2,1,1,2,1,1,3,3
"62",3,4,3,3,1,4,5,1,4,1,4,4,4,4,4,4,2,3,1,3,3,4,4,5,5,4,5,4,3,3
"63",4,5,5,4,1,4,4,3,4,3,1,3,3,3,3,3,4,4,1,4,4,4,1,4,4,1,4,2,5,5
"64",5,4,4,5,1,4,5,2,2,2,1,2,5,2,2,2,3,5,1,2,5,5,1,5,5,1,5,5,2,4
"65",8,4,7,8,2,8,6,7,8,4,2,8,8,8,8,8,5,8,2,8,8,3,2,6,7,2,6,1,4,4
"66",3,2,2,3,5,2,3,4,4,4,1,4,4,4,4,4,3,3,5,1,3,3,1,3,3,1,3,3,2,2
"67",4,1,1,4,2,1,2,2,1,3,6,3,4,3,3,3,5,4,2,1,4,4,6,2,2,6,2,4,1,1
"68",1,1,3,3,1,3,1,4,4,1,1,1,1,1,1,1,1,3,1,4,3,5,1,1,2,4,1,6,3,1
"69",3,4,4,3,1,4,3,1,4,2,1,2,2,2,2,2,3,3,1,4,3,5,1,3,3,4,3,6,4,4
"70",4,8,8,4,5,8,4,5,1,1,1,1,1,1,1,1,2,4,5,4,4,7,6,4,4,6,4,3,8,8
"71",2,1,1,2,4,1,2,3,2,3,4,3,3,3,3,3,2,2,4,1,2,5,4,2,2,4,2,6,1,1
"72",4,1,1,4,5,1,5,5,4,2,4,2,2,3,2,2,4,3,5,1,4,4,4,5,4,4,5,4,1,1
"73",7,1,1,7,6,1,3,6,6,6,6,6,6,6,6,6,2,7,6,1,7,5,6,3,3,6,3,4,1,1
"74",2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"75",3,6,6,3,4,7,3,6,6,2,3,2,2,2,2,2,3,3,4,6,3,1,3,3,3,5,3,3,6,6
"76",3,2,2,3,4,2,3,4,4,4,4,4,4,4,4,4,5,3,4,2,3,3,4,3,3,4,3,1,2,2
"77",3,4,4,3,1,4,1,1,4,1,1,1,1,1,1,1,2,3,1,4,3,1,1,1,3,4,1,1,4,4
"78",1,2,2,1,2,1,4,4,4,6,5,6,6,6,6,6,7,1,3,1,1,1,5,4,4,5,4,1,2,2
"79",4,1,2,4,1,2,1,1,2,1,1,1,1,3,1,1,1,4,1,2,4,1,1,1,4,1,1,1,2,2
"80",2,1,1,2,3,1,2,4,2,4,3,4,4,4,4,4,2,2,3,1,2,2,3,2,2,3,2,2,1,1
"81",4,3,3,4,1,3,3,3,3,3,1,3,8,3,3,3,2,4,1,3,4,7,1,3,5,3,3,6,4,4
"82",5,6,6,5,2,6,5,2,2,2,2,2,2,2,2,2,3,5,2,6,5,1,2,5,5,2,5,4,6,6
"83",4,1,1,4,5,1,4,3,3,3,4,3,4,3,3,3,2,4,5,1,4,4,4,4,4,1,4,6,1,1
"84",5,2,1,5,4,2,4,4,1,2,2,2,2,2,2,2,3,5,4,1,5,2,2,4,4,2,4,2,1,1
"85",4,5,5,4,3,5,3,3,1,2,1,1,1,1,1,1,4,4,3,1,4,3,1,3,3,1,3,3,5,5
"86",4,1,1,4,2,4,2,2,3,3,3,3,3,3,3,3,4,4,2,1,4,4,3,2,2,3,2,4,1,1
"87",1,2,2,1,4,2,4,4,2,3,1,1,3,3,3,3,1,1,4,2,1,1,1,4,4,2,4,1,2,2
"88",1,4,3,1,4,4,4,4,3,4,4,4,4,5,4,4,2,1,4,3,1,4,4,4,1,4,4,4,3,3
"89",2,4,4,2,1,4,2,1,1,1,1,1,1,1,1,1,3,2,1,4,2,2,1,2,2,1,2,2,4,4
"90",4,3,3,4,2,3,2,2,1,1,1,1,1,1,1,1,4,4,2,3,4,4,1,2,2,1,2,4,3,4
"91",3,1,6,3,1,1,4,2,2,2,1,2,1,2,2,2,5,3,1,2,3,1,1,4,4,1,4,1,6,6
"92",3,1,2,3,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,3,1,1,1,2,2
"93",2,5,5,2,3,5,3,3,2,1,4,1,1,1,1,1,2,2,3,2,2,2,4,3,3,4,3,2,5,2
"94",7,1,1,2,5,1,5,5,5,3,5,5,5,5,5,5,2,7,5,1,7,4,5,5,5,5,5,6,1,1
"95",1,5,5,3,6,5,3,6,3,3,3,3,3,3,3,3,3,1,6,5,1,2,3,3,1,3,3,4,5,5
"96",3,4,3,3,4,4,2,1,3,4,4,4,4,4,4,4,4,3,1,3,3,4,4,2,2,4,2,4,3,4
"97",3,4,1,3,4,4,4,4,1,2,3,2,2,2,2,2,3,3,4,1,3,4,4,4,4,1,4,4,1,1
"98",1,5,5,1,3,5,2,2,2,4,2,2,1,2,2,2,1,1,3,5,1,1,3,2,2,3,2,1,5,5
"99",2,1,1,2,3,1,4,6,6,6,6,6,2,6,6,6,5,2,3,6,2,2,2,4,4,2,4,2,1,1
"100",2,4,4,2,5,4,3,3,4,1,5,1,1,2,1,1,2,2,5,4,2,2,5,3,3,4,3,2,4,4
