"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"36",3,3,5,3,5,5,3,4,3,4,3,4,3,1,3,3,4,3,3,3,1,4,1,1,3,4,4,5,4,3,5,3,3,4,3,4,5,3,3,3,5,3,5,5
"37",2,2,4,2,4,4,2,3,2,3,2,3,2,5,2,2,3,2,2,2,5,3,5,5,2,3,3,4,3,2,4,2,2,3,2,3,4,2,2,2,4,2,4,4
"38",5,5,2,5,2,2,5,1,5,1,5,1,5,3,5,5,1,5,5,5,3,1,3,3,5,1,1,2,1,5,2,5,5,1,5,1,2,5,5,5,2,5,2,2
"39",1,1,5,1,5,5,1,2,1,2,1,2,1,4,1,1,2,1,1,1,4,2,4,4,1,2,2,5,2,1,5,1,1,2,1,2,5,1,1,1,5,1,5,5
"40",3,3,5,3,5,5,3,2,3,2,3,2,3,4,3,3,2,3,3,3,4,2,4,4,3,2,2,5,2,3,5,3,3,2,3,2,5,3,3,3,5,3,5,5
"41",4,4,3,4,3,3,4,5,4,5,4,5,4,2,4,4,5,4,4,4,2,5,2,2,4,5,5,3,5,4,3,4,4,5,4,5,3,4,4,4,3,4,3,3
"42",1,1,2,1,2,2,1,5,1,5,1,5,1,3,1,1,5,1,1,1,3,5,3,3,1,5,5,2,5,1,2,1,1,5,1,5,2,1,1,1,2,1,2,2
"43",4,4,3,4,3,3,4,1,4,1,4,1,4,5,4,4,1,4,4,4,5,1,5,5,4,1,1,3,1,4,3,4,4,1,4,1,3,4,4,4,3,4,3,3
"44",1,1,2,1,2,2,1,3,1,3,1,3,1,5,1,1,3,1,1,1,5,3,5,5,1,3,3,2,3,1,2,1,1,3,1,3,2,1,1,1,2,1,2,2
"45",1,1,2,1,2,2,1,5,1,5,1,5,1,3,1,1,5,1,1,1,3,5,3,3,1,5,5,2,5,1,2,1,1,5,1,5,2,1,1,1,2,1,2,2
"46",2,2,3,2,3,3,2,1,2,1,2,1,2,4,2,2,1,2,2,2,4,1,4,4,2,1,1,3,1,2,3,2,2,1,2,1,3,2,2,2,3,2,3,3
"47",4,4,3,4,3,3,4,1,4,1,4,1,4,5,4,4,1,4,4,4,5,1,5,5,4,1,1,3,1,4,3,4,4,1,4,1,3,4,4,4,3,4,3,3
"48",1,1,6,1,6,6,1,2,1,2,1,2,1,3,1,1,2,1,1,1,3,2,3,3,1,2,2,6,2,1,6,1,1,2,1,2,6,1,1,1,6,1,6,6
"49",1,1,6,1,6,6,1,2,1,2,1,2,1,5,1,1,2,1,1,1,5,2,5,5,1,2,2,6,2,1,6,1,1,2,1,2,6,1,1,1,6,1,6,6
"50",4,4,6,4,6,6,4,5,4,5,4,5,4,1,4,4,5,4,4,4,1,5,1,1,4,5,5,6,5,4,6,4,4,5,4,5,6,4,4,4,6,4,6,6
"51",3,3,2,3,2,2,3,1,3,1,3,1,3,5,3,3,1,3,3,3,5,1,5,5,3,1,1,2,1,3,2,3,3,1,3,1,2,3,3,3,2,3,2,2
"52",4,4,1,4,1,1,4,3,4,3,4,3,4,2,4,4,3,4,4,4,2,3,2,2,4,3,3,1,3,4,1,4,4,3,4,3,1,4,4,4,1,4,1,1
"53",3,3,2,3,2,2,3,5,3,5,3,5,3,1,3,3,5,3,3,3,1,5,1,1,3,5,5,2,5,3,2,3,3,5,3,5,2,3,3,3,2,3,2,2
"54",1,1,5,1,5,5,1,4,1,4,1,4,1,2,1,1,4,1,1,1,2,4,2,2,1,4,4,5,4,1,5,1,1,4,1,4,5,1,1,1,5,1,5,5
"55",1,1,5,1,5,5,1,3,1,3,1,3,1,4,1,1,3,1,1,1,4,3,4,4,1,3,3,5,3,1,5,1,1,3,1,3,5,1,1,1,5,1,5,5
"56",1,1,4,1,4,4,1,5,1,5,1,5,1,3,1,1,5,1,1,1,3,5,3,3,1,5,5,4,5,1,4,1,1,5,1,5,4,1,1,1,4,1,4,4
"57",5,5,2,5,2,2,5,1,5,1,5,1,5,3,5,5,1,5,5,5,3,1,3,3,5,1,1,2,1,5,2,5,5,1,5,1,2,5,5,5,2,5,2,2
"58",3,3,1,3,1,1,3,4,3,4,3,4,3,2,3,3,4,3,3,3,2,4,2,2,3,4,4,1,4,3,1,3,3,4,3,4,1,3,3,3,1,3,1,1
"59",3,3,2,3,2,2,3,5,3,5,3,5,3,4,3,3,5,3,3,3,4,5,4,4,3,5,5,2,5,3,2,3,3,5,3,5,2,3,3,3,2,3,2,2
"60",1,1,4,1,4,4,1,3,1,3,1,3,1,5,1,1,3,1,1,1,5,3,5,5,1,3,3,4,3,1,4,1,1,3,1,3,4,1,1,1,4,1,4,4
"61",4,4,1,4,1,1,4,2,4,2,4,2,4,3,4,4,2,4,4,4,3,2,3,3,4,2,2,1,2,4,1,4,4,2,4,2,1,4,4,4,1,4,1,1
"62",2,2,4,2,4,4,2,3,2,3,2,3,2,1,2,2,3,2,2,2,1,3,1,1,2,3,3,4,3,2,4,2,2,3,2,3,4,2,2,2,4,2,4,4
"63",5,5,2,5,2,2,5,1,5,1,5,1,5,4,5,5,1,5,5,5,4,1,4,4,5,1,1,2,1,5,2,5,5,1,5,1,2,5,5,5,2,5,2,2
"64",1,1,3,1,3,3,1,6,1,6,1,6,1,5,1,1,6,1,1,1,5,6,5,5,1,6,6,3,6,1,3,1,1,6,1,6,3,1,1,1,3,1,3,3
"65",2,2,4,2,4,4,2,5,2,5,2,5,2,1,2,2,5,2,2,2,1,5,1,1,2,5,5,4,5,2,4,2,2,5,2,5,4,2,2,2,4,2,4,4
"66",4,4,1,4,1,1,4,2,4,2,4,2,4,3,4,4,2,4,4,4,3,2,3,3,4,2,2,1,2,4,1,4,4,2,4,2,1,4,4,4,1,4,1,1
"67",6,6,3,6,3,3,6,2,6,2,6,2,6,5,6,6,2,6,6,6,5,2,5,5,6,2,2,3,2,6,3,6,6,2,6,2,3,6,6,6,3,6,3,3
"68",2,2,6,2,6,6,2,4,2,4,2,4,2,3,2,2,4,2,2,2,3,4,3,3,2,4,4,6,4,2,6,2,2,4,2,4,6,2,2,2,6,2,6,6
"69",4,4,1,4,1,1,4,6,4,6,4,6,4,2,4,4,6,4,4,4,2,6,2,2,4,6,6,1,6,4,1,4,4,6,4,6,1,4,4,4,1,4,1,1
"70",6,6,7,6,7,7,6,3,6,3,6,3,6,5,6,6,3,6,6,6,5,3,5,5,6,3,3,7,3,6,7,6,6,3,6,3,7,6,6,6,7,6,7,7
"71",5,5,4,5,4,4,5,2,5,2,5,2,5,1,5,5,2,5,5,5,1,2,1,1,5,2,2,4,2,5,4,5,5,2,5,2,4,5,5,5,4,5,4,4
"72",1,1,4,1,4,4,1,5,1,5,1,5,1,3,1,1,5,1,1,1,3,5,3,3,1,5,5,4,5,1,4,1,1,5,1,5,4,1,1,1,4,1,4,4
"73",4,4,6,4,6,6,4,2,4,2,4,2,4,5,4,4,2,4,4,4,5,2,5,5,4,2,2,6,2,4,6,4,4,2,4,2,6,4,4,4,6,4,6,6
"74",2,2,4,2,4,4,2,3,2,3,2,3,2,1,2,2,3,2,2,2,1,3,1,1,2,3,3,4,3,2,4,2,2,3,2,3,4,2,2,2,4,2,4,4
"75",2,2,4,2,4,4,2,1,2,1,2,1,2,3,2,2,1,2,2,2,3,1,3,3,2,1,1,4,1,2,4,2,2,1,2,1,4,2,2,2,4,2,4,4
"76",5,5,4,5,4,4,5,1,5,1,5,1,5,3,5,5,1,5,5,5,3,1,3,3,5,1,1,4,1,5,4,5,5,1,5,1,4,5,5,5,4,5,4,4
"77",3,3,5,3,5,5,3,2,3,2,3,2,3,1,3,3,2,3,3,3,1,2,1,1,3,2,2,5,2,3,5,3,3,2,3,2,5,3,3,3,5,3,5,5
"78",5,5,1,5,1,1,5,6,5,6,5,6,5,2,5,5,6,5,5,5,2,6,2,2,5,6,6,1,6,5,1,5,5,6,5,6,1,5,5,5,1,5,1,1
"79",3,3,1,3,1,1,3,4,3,4,3,4,3,5,3,3,4,3,3,3,5,4,5,5,3,4,4,1,4,3,1,3,3,4,3,4,1,3,3,3,1,3,1,1
"80",6,6,8,6,8,8,6,3,6,3,6,3,6,2,6,6,3,6,6,6,2,3,2,2,6,3,3,8,3,6,8,6,6,3,6,3,8,6,6,6,8,6,8,8
"81",6,6,3,6,3,3,6,5,6,5,6,5,6,1,6,6,5,6,6,6,1,5,1,1,6,5,5,3,5,6,3,6,6,5,6,5,3,6,6,6,3,6,3,3
"82",2,2,3,2,3,3,2,1,2,1,2,1,2,4,2,2,1,2,2,2,4,1,4,4,2,1,1,3,1,2,3,2,2,1,2,1,3,2,2,2,3,2,3,3
"83",3,3,2,3,2,2,3,5,3,5,3,5,3,4,3,3,5,3,3,3,4,5,4,4,3,5,5,2,5,3,2,3,3,5,3,5,2,3,3,3,2,3,2,2
"84",8,8,3,8,3,3,8,5,8,5,8,5,8,6,8,8,5,8,8,8,6,5,6,6,8,5,5,3,5,8,3,8,8,5,8,5,3,8,8,8,3,8,3,3
"85",1,1,5,1,5,5,1,4,1,4,1,4,1,3,1,1,4,1,1,1,3,4,3,3,1,4,4,5,4,1,5,1,1,4,1,4,5,1,1,1,5,1,5,5
"86",4,4,3,4,3,3,4,2,4,2,4,2,4,1,4,4,2,4,4,4,1,2,1,1,4,2,2,3,2,4,3,4,4,2,4,2,3,4,4,4,3,4,3,3
"87",4,4,2,4,2,2,4,1,4,1,4,1,4,3,4,4,1,4,4,4,3,1,3,3,4,1,1,2,1,4,2,4,4,1,4,1,2,4,4,4,2,4,2,2
"88",4,4,3,4,3,3,4,1,4,1,4,1,4,6,4,4,1,4,4,4,6,1,6,6,4,1,1,3,1,4,3,4,4,1,4,1,3,4,4,4,3,4,3,3
"89",1,1,3,1,3,3,1,4,1,4,1,4,1,2,1,1,4,1,1,1,2,4,2,2,1,4,4,3,4,1,3,1,1,4,1,4,3,1,1,1,3,1,3,3
"90",4,4,2,4,2,2,4,1,4,1,4,1,4,3,4,4,1,4,4,4,3,1,3,3,4,1,1,2,1,4,2,4,4,1,4,1,2,4,4,4,2,4,2,2
"91",4,4,1,4,1,1,4,3,4,3,4,3,4,2,4,4,3,4,4,4,2,3,2,2,4,3,3,1,3,4,1,4,4,3,4,3,1,4,4,4,1,4,1,1
"92",5,5,3,5,3,3,5,4,5,4,5,4,5,1,5,5,4,5,5,5,1,4,1,1,5,4,4,3,4,5,3,5,5,4,5,4,3,5,5,5,3,5,3,3
"93",3,3,4,3,4,4,3,1,3,1,3,1,3,2,3,3,1,3,3,3,2,1,2,2,3,1,1,4,1,3,4,3,3,1,3,1,4,3,3,3,4,3,4,4
"94",5,5,3,5,3,3,5,2,5,2,5,2,5,6,5,5,2,5,5,5,6,2,6,6,5,2,2,3,2,5,3,5,5,2,5,2,3,5,5,5,3,5,3,3
"95",6,6,4,6,4,4,6,2,6,2,6,2,6,5,6,6,2,6,6,6,5,2,5,5,6,2,2,4,2,6,4,6,6,2,6,2,4,6,6,6,4,6,4,4
"96",3,3,2,3,2,2,3,4,3,4,3,4,3,1,3,3,4,3,3,3,1,4,1,1,3,4,4,2,4,3,2,3,3,4,3,4,2,3,3,3,2,3,2,2
"97",3,3,2,3,2,2,3,4,3,4,3,4,3,5,3,3,4,3,3,3,5,4,5,5,3,4,4,2,4,3,2,3,3,4,3,4,2,3,3,3,2,3,2,2
"98",3,3,1,3,1,1,3,5,3,5,3,5,3,2,3,3,5,3,3,3,2,5,2,2,3,5,5,1,5,3,1,3,3,5,3,5,1,3,3,3,1,3,1,1
"99",5,5,2,5,2,2,5,1,5,1,5,1,5,4,5,5,1,5,5,5,4,1,4,4,5,1,1,2,1,5,2,5,5,1,5,1,2,5,5,5,2,5,2,2
"100",4,4,5,4,5,5,4,3,4,3,4,3,4,1,4,4,3,4,4,4,1,3,1,1,4,3,3,5,3,4,5,4,4,3,4,3,5,4,4,4,5,4,5,5
