"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"71",4,1,4,2,2,4,2,2,3,5,2,5,2,5,2,5,2,2,2,3,5,2,2,5
"72",3,1,3,4,4,3,4,4,2,5,4,5,4,5,4,5,4,4,4,2,5,4,4,5
"73",3,2,3,1,1,3,1,1,4,5,1,5,1,5,1,5,1,1,1,4,5,1,1,5
"74",3,2,3,1,1,3,1,1,4,5,1,5,1,5,1,5,1,1,1,4,5,1,1,5
"75",2,1,2,4,4,2,4,4,3,5,4,5,4,5,4,5,4,4,4,3,5,4,4,5
"76",4,1,4,2,2,4,2,2,3,5,2,5,2,5,2,5,2,2,2,3,5,2,2,5
"77",4,2,4,3,3,4,3,3,1,5,3,5,3,5,3,5,3,3,3,1,5,3,3,5
"78",2,4,2,3,3,2,3,3,1,5,3,5,3,5,3,5,3,3,3,1,5,3,3,5
"79",4,2,4,1,1,4,1,1,3,5,1,5,1,5,1,5,1,1,1,3,5,1,1,5
"80",3,1,3,2,2,3,2,2,4,5,2,5,2,5,2,5,2,2,2,4,5,2,2,5
"81",3,4,3,1,1,3,1,1,2,5,1,5,1,5,1,5,1,1,1,2,5,1,1,5
"82",1,2,1,3,3,1,3,3,4,5,3,5,3,5,3,5,3,3,3,4,5,3,3,5
"83",3,1,3,2,2,3,2,2,4,5,2,5,2,5,2,5,2,2,2,4,5,2,2,5
"84",1,3,1,4,4,1,4,4,2,5,4,5,4,5,4,5,4,4,4,2,5,4,4,5
"85",1,3,1,4,4,1,4,4,2,5,4,5,4,5,4,5,4,4,4,2,5,4,4,5
"86",3,2,3,4,4,3,4,4,1,5,4,5,4,5,4,5,4,4,4,1,5,4,4,5
"87",1,4,1,3,3,1,3,3,2,5,3,5,3,5,3,5,3,3,3,2,5,3,3,5
"88",2,4,2,3,3,2,3,3,1,5,3,5,3,5,3,5,3,3,3,1,5,3,3,5
"89",3,1,3,4,4,3,4,4,2,5,4,5,4,5,4,5,4,4,4,2,5,4,4,5
"90",3,1,3,4,4,3,4,4,2,5,4,5,4,5,4,5,4,4,4,2,5,4,4,5
"91",1,4,1,3,3,1,3,3,2,5,3,5,3,5,3,5,3,3,3,2,5,3,3,5
"92",4,1,4,2,2,4,2,2,3,5,2,5,2,5,2,5,2,2,2,3,5,2,2,5
"93",4,1,4,2,2,4,2,2,3,5,2,5,2,5,2,5,2,2,2,3,5,2,2,5
"94",3,2,3,1,1,3,1,1,4,5,1,5,1,5,1,5,1,1,1,4,5,1,1,5
"95",3,1,3,2,2,3,2,2,4,5,2,5,2,5,2,5,2,2,2,4,5,2,2,5
"96",2,4,2,3,3,2,3,3,1,5,3,5,3,5,3,5,3,3,3,1,5,3,3,5
"97",1,2,1,3,3,1,3,3,4,5,3,5,3,5,3,5,3,3,3,4,5,3,3,5
"98",4,1,4,2,2,4,2,2,3,5,2,5,2,5,2,5,2,2,2,3,5,2,2,5
"99",2,4,2,1,1,2,1,1,3,5,1,5,1,5,1,5,1,1,1,3,5,1,1,5
"100",1,3,1,4,4,1,4,4,2,5,4,5,4,5,4,5,4,4,4,2,5,4,4,5
