"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"13",3,2,1,3,1,5,4,8,7,4,4,8,8,7,7,7,7,2,7,6,1,6,6,8,6,4,8,8,6,7,7,8,3,7
"14",1,3,4,1,4,5,2,8,5,2,2,8,8,6,6,6,5,3,5,7,4,7,7,8,7,2,8,8,7,6,6,8,1,5
"15",5,8,2,5,2,7,4,6,1,4,4,6,6,1,1,1,1,8,1,3,2,3,3,6,3,4,6,6,3,1,1,6,5,1
"16",2,3,5,2,5,8,4,7,1,4,4,7,5,5,7,5,1,3,1,6,5,6,6,7,6,4,7,7,6,8,5,7,2,1
"17",3,8,2,3,2,7,4,1,7,4,4,1,1,6,6,6,7,8,7,5,2,5,5,1,5,4,1,1,5,6,6,1,3,7
"18",6,7,3,6,3,4,8,1,4,8,8,1,1,2,2,2,4,7,4,5,3,5,5,1,5,8,1,1,5,2,2,1,6,4
"19",4,8,1,4,1,6,3,2,6,3,3,2,2,7,7,7,6,8,6,5,1,5,5,2,5,3,2,2,5,7,7,2,4,6
"20",1,8,6,1,6,7,4,2,3,4,4,2,2,3,3,3,3,8,3,5,6,5,5,2,5,4,2,2,5,3,3,2,1,3
"21",8,3,7,8,7,1,5,4,9,5,5,2,2,2,2,9,9,3,9,6,7,6,6,2,6,5,4,4,2,1,2,2,8,9
"22",6,5,3,6,3,2,8,4,7,8,8,4,3,3,4,3,7,5,7,1,3,1,1,4,1,8,4,4,1,2,3,4,6,7
"23",8,3,6,8,6,4,1,5,4,1,1,5,5,7,7,7,4,3,4,2,6,2,2,5,2,1,5,5,2,7,7,5,8,4
"24",3,6,4,3,4,1,2,7,8,2,2,7,7,8,8,8,8,6,8,5,4,5,5,7,5,2,7,7,5,8,8,7,3,8
"25",1,6,8,1,8,2,7,3,4,7,7,3,3,4,4,4,4,6,4,5,8,5,5,3,5,7,3,3,5,4,4,3,1,4
"26",1,4,3,1,3,5,6,7,2,6,6,7,3,3,7,3,2,4,2,8,3,8,8,7,8,6,7,7,8,5,3,7,1,2
"27",1,4,7,1,7,6,5,3,6,5,5,3,3,8,8,8,6,4,6,2,7,2,2,3,2,5,3,3,2,8,8,3,1,6
"28",4,2,5,4,5,3,6,7,3,6,6,7,7,1,1,1,3,2,3,8,5,8,8,7,8,6,7,7,8,1,1,7,4,3
"29",7,5,6,7,6,8,2,3,4,2,2,3,3,4,4,4,4,5,4,1,6,1,1,3,1,2,3,3,1,4,4,3,7,4
"30",4,2,6,4,6,3,1,7,3,1,1,7,7,5,5,5,3,2,3,8,6,8,8,7,8,1,7,7,8,5,5,7,4,3
"31",3,2,4,3,4,7,1,5,8,1,1,5,4,4,5,4,8,2,8,6,4,6,6,5,6,1,5,5,6,7,4,5,3,8
"32",1,9,3,1,3,8,4,7,2,4,4,5,5,5,5,2,2,9,2,6,3,6,6,5,6,4,7,7,5,8,5,5,1,2
"33",2,1,7,2,7,3,5,6,4,5,5,6,7,7,6,7,4,1,4,8,7,8,8,6,8,5,6,6,8,3,7,6,2,4
"34",3,5,6,3,6,4,8,1,4,8,8,1,1,2,2,2,4,5,4,7,6,7,7,1,7,8,1,1,7,2,2,1,3,4
"35",7,4,6,7,6,5,8,2,5,8,8,2,2,1,1,1,5,4,5,3,6,3,3,2,3,8,2,2,3,1,1,2,7,5
"36",3,8,5,3,5,7,6,1,4,6,6,1,5,5,1,5,4,8,4,2,5,2,2,1,2,6,1,1,2,7,5,1,3,4
"37",4,8,2,4,2,1,5,7,6,5,5,7,7,6,6,6,6,8,6,3,2,3,3,7,3,5,7,7,3,6,6,7,4,6
"38",6,7,2,6,2,5,3,8,4,3,3,8,2,2,8,2,4,7,4,1,2,1,1,8,1,3,8,8,1,5,2,8,6,4
"39",8,7,6,8,6,5,4,3,2,4,4,3,3,2,2,2,2,7,2,1,6,1,1,3,1,4,3,3,1,2,2,3,8,2
"40",3,5,8,3,8,1,6,2,1,1,6,2,2,4,4,4,1,5,1,7,8,7,7,2,7,6,2,2,7,4,4,2,3,1
"41",6,4,2,6,2,1,5,7,1,5,5,7,7,8,8,8,1,4,1,3,2,3,3,7,3,5,7,7,3,8,8,7,6,1
"42",5,2,1,5,1,4,3,6,7,3,3,6,6,7,7,7,7,2,7,8,1,8,8,6,8,3,6,6,8,7,7,6,5,7
"43",9,2,4,9,4,7,5,6,1,5,5,8,8,8,8,1,1,2,1,3,4,3,3,8,3,5,6,6,8,7,8,8,9,1
"44",3,2,1,3,1,8,7,6,5,7,7,6,6,5,5,5,5,2,5,4,1,4,4,6,4,7,6,6,4,5,5,6,3,5
"45",8,3,5,8,5,6,4,7,2,4,4,7,7,2,2,2,2,3,2,1,5,1,1,7,1,4,7,7,1,2,2,7,8,2
"46",4,6,3,4,3,1,7,5,1,7,7,5,5,2,2,2,1,6,1,8,3,8,8,5,8,7,5,5,8,2,2,5,4,1
"47",7,8,2,7,2,3,4,6,3,4,4,6,6,1,1,1,3,8,3,5,2,5,5,6,5,4,6,6,5,1,1,6,7,3
"48",3,8,4,3,4,7,6,2,7,6,6,2,2,5,5,5,7,8,7,1,4,1,1,2,1,6,2,2,1,5,5,2,3,7
"49",7,2,5,7,5,1,8,4,1,8,8,4,4,6,6,6,1,2,1,3,5,3,3,4,3,8,4,4,3,6,6,4,7,1
"50",6,1,2,6,2,7,8,4,7,8,8,4,4,5,5,5,7,1,7,3,2,3,3,4,3,8,4,4,3,5,5,4,6,7
"51",5,8,3,5,3,6,1,7,6,1,1,7,7,4,4,4,6,8,6,2,3,2,2,7,2,1,7,7,2,4,4,7,5,6
"52",5,1,7,5,7,4,8,3,2,8,8,3,3,2,2,2,2,1,2,6,7,6,6,3,6,8,3,3,6,2,2,3,5,2
"53",8,1,2,8,2,7,5,6,4,5,5,6,6,4,4,4,4,1,4,3,2,3,3,6,3,5,6,6,3,4,4,6,8,4
"54",7,4,1,7,1,3,8,2,3,8,8,2,2,6,6,6,3,4,3,5,1,5,5,2,5,8,2,2,5,6,6,2,7,3
"55",1,3,5,1,5,4,2,7,8,2,2,7,7,8,8,8,8,3,8,6,5,6,6,7,6,2,7,7,6,8,8,7,1,8
"56",1,2,8,1,8,4,5,3,4,5,5,3,3,7,7,7,4,2,4,6,8,6,6,3,6,5,3,3,6,7,7,3,1,4
"57",8,5,2,8,2,1,4,7,6,4,4,7,7,6,6,6,6,5,6,3,2,3,3,7,3,4,7,7,3,6,6,7,8,6
"58",8,3,4,8,4,5,7,2,5,7,7,2,2,6,6,6,5,3,5,1,4,1,1,2,1,7,2,2,1,6,6,2,8,5
"59",7,6,2,7,2,1,9,8,5,9,9,4,4,4,4,5,5,6,5,3,2,3,3,4,3,9,8,8,4,1,4,4,7,5
"60",3,4,7,3,7,1,2,8,1,2,2,8,8,6,6,6,1,4,1,5,7,5,5,8,5,2,8,8,5,6,6,8,3,1
"61",3,1,4,3,4,7,8,5,6,8,8,5,4,4,5,4,6,1,6,2,4,2,2,5,2,8,5,5,2,7,4,5,3,6
"62",6,2,3,6,3,7,9,8,4,9,9,5,5,5,5,4,4,2,4,1,3,1,1,5,1,9,8,8,5,7,5,5,6,4
"63",3,8,2,3,2,7,6,4,7,7,6,4,4,1,1,1,7,8,7,5,2,5,5,4,5,6,4,4,5,1,1,4,3,7
"64",6,1,2,6,2,3,4,7,3,3,4,7,7,8,8,8,3,1,3,5,2,5,5,7,5,4,7,7,5,8,8,7,6,3
"65",3,5,2,3,2,4,7,8,4,4,7,8,8,6,6,6,4,5,4,1,2,1,1,8,1,7,8,8,1,6,6,8,3,4
"66",3,8,1,3,1,5,2,7,4,2,2,7,1,1,7,1,4,8,4,6,1,6,6,7,6,2,7,7,6,5,1,7,3,4
"67",4,2,5,4,5,1,6,8,1,1,6,8,8,7,7,7,1,2,1,3,5,3,3,8,3,6,8,8,3,7,7,8,4,1
"68",5,6,1,5,1,4,7,2,3,7,7,2,1,1,2,1,3,6,3,8,1,8,8,2,8,7,2,2,8,4,1,2,5,3
"69",8,4,1,8,1,5,2,3,6,2,2,3,1,1,3,1,6,4,6,7,1,7,7,3,7,2,3,3,7,5,1,3,8,6
"70",4,6,5,4,5,1,2,7,1,2,2,7,7,3,3,3,1,6,1,8,5,8,8,7,8,2,7,7,8,3,3,7,4,1
"71",6,5,2,6,2,4,7,8,3,7,7,8,8,3,3,3,3,5,3,1,2,1,1,8,1,7,8,8,1,3,3,8,6,3
"72",5,1,3,5,3,6,7,4,8,8,7,4,3,3,4,3,8,1,8,2,3,2,2,4,2,7,4,4,2,6,3,4,5,8
"73",7,2,5,7,5,4,1,3,8,1,1,3,3,8,8,8,8,2,8,6,5,6,6,3,6,1,3,3,6,8,8,3,7,8
"74",1,5,6,1,6,7,8,2,7,8,8,2,2,4,4,4,7,5,7,3,6,3,3,2,3,8,2,2,3,4,4,2,1,7
"75",8,3,4,8,4,7,5,1,6,6,5,1,4,4,1,4,6,3,6,2,4,2,2,1,2,5,1,1,2,7,4,1,8,6
"76",5,8,1,5,1,3,7,2,4,7,7,2,2,4,4,4,4,8,4,6,1,6,6,2,6,7,2,2,6,4,4,2,5,4
"77",4,6,7,4,7,5,3,1,5,3,3,1,1,2,2,2,5,6,5,8,7,8,8,1,8,3,1,1,8,2,2,1,4,5
"78",2,8,7,2,7,3,5,4,3,3,5,4,4,1,1,1,3,8,3,6,7,6,6,4,6,5,4,4,6,1,1,4,2,3
"79",7,6,1,7,1,8,3,5,4,3,3,5,5,4,4,4,4,6,4,2,1,2,2,5,2,3,5,5,2,4,4,5,7,4
"80",1,2,7,1,7,6,5,4,8,5,5,4,4,8,8,8,8,2,8,3,7,3,3,4,3,5,4,4,3,8,8,4,1,8
"81",8,5,6,8,6,4,1,2,3,1,1,2,2,3,3,3,3,5,3,7,6,7,7,2,7,1,2,2,7,3,3,2,8,3
"82",6,4,5,6,5,2,8,1,3,8,8,1,1,3,3,3,3,4,3,7,5,7,7,1,7,8,1,1,7,3,3,1,6,3
"83",9,4,5,9,5,1,7,3,6,7,7,8,8,8,8,6,6,4,6,2,5,2,2,8,2,7,3,3,8,1,8,8,9,6
"84",1,7,6,1,6,2,3,8,2,3,3,8,8,4,4,4,2,7,2,5,6,5,5,8,5,3,8,8,5,4,4,8,1,2
"85",6,2,7,6,7,4,5,3,1,5,5,3,3,1,1,1,1,2,1,8,7,8,8,3,8,5,3,3,8,1,1,3,6,1
"86",6,1,3,6,3,4,8,7,2,8,8,5,5,5,5,2,2,1,2,9,3,9,9,5,9,8,7,7,5,4,5,5,6,2
"87",1,6,4,1,4,8,2,7,3,2,2,7,4,4,7,4,3,6,3,5,4,5,5,7,5,2,7,7,5,8,4,7,1,3
"88",4,8,6,4,6,5,1,3,5,5,1,3,3,7,7,7,5,8,5,2,6,2,2,3,2,1,3,3,2,7,7,3,4,5
"89",6,8,2,6,2,7,5,3,7,7,5,3,3,1,1,1,7,8,7,4,2,4,4,3,4,5,3,3,4,1,1,3,6,7
"90",6,8,7,6,7,5,1,3,4,1,1,3,7,7,3,7,4,8,4,2,7,2,2,3,2,1,3,3,2,5,7,3,6,4
"91",7,1,3,7,3,8,2,5,8,2,2,5,5,4,4,4,8,1,8,6,3,6,6,5,6,2,5,5,6,4,4,5,7,8
"92",1,4,8,1,8,3,6,7,2,6,6,7,7,2,2,2,2,4,2,5,8,5,5,7,5,6,7,7,5,2,2,7,1,2
"93",3,2,7,3,7,4,1,8,4,1,1,8,8,5,5,5,4,2,4,6,7,6,6,8,6,1,8,8,6,5,5,8,3,4
"94",4,3,8,4,8,5,2,7,6,2,2,7,8,8,7,8,6,3,6,1,8,1,1,7,1,2,7,7,1,5,8,7,4,6
"95",6,3,5,6,5,4,2,7,1,2,2,7,5,5,7,5,1,3,1,8,5,8,8,7,8,2,7,7,8,4,5,7,6,1
"96",4,8,6,4,6,7,2,3,7,2,2,3,3,1,1,1,7,8,7,5,6,5,5,3,5,2,3,3,5,1,1,3,4,7
"97",6,4,7,6,7,5,3,2,1,3,3,2,2,1,1,1,1,4,1,8,7,8,8,2,8,3,2,2,8,1,1,2,6,1
"98",2,8,3,2,3,1,4,6,5,4,4,6,6,5,5,5,5,8,5,7,3,7,7,6,7,4,6,6,7,5,5,6,2,5
"99",5,2,4,5,4,6,8,3,1,8,8,3,3,1,1,1,1,2,1,7,4,7,7,3,7,8,3,3,7,1,1,3,5,1
"100",4,8,3,4,3,1,2,7,1,1,2,7,7,6,6,6,1,8,1,5,3,5,5,7,5,2,7,7,5,6,6,7,4,1
