"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"71",6,3,1,2,1,3,3,1,3,3,3,3,3,3,3,3,2,6,3,1,5,3,4,3,5,4,3,2,1,1
"72",7,2,5,2,6,2,2,6,6,7,2,4,4,4,4,4,2,7,8,5,10,2,2,2,10,8,2,1,5,5
"73",3,5,2,6,7,2,4,4,7,4,7,4,4,4,4,4,6,3,6,2,1,5,7,4,4,7,4,4,2,5
"74",10,11,5,4,6,11,4,4,11,11,11,11,11,11,11,11,4,10,11,5,2,9,9,4,3,9,4,7,5,5
"75",6,2,4,5,2,2,2,7,1,2,2,1,1,6,1,1,5,6,2,4,3,2,2,2,5,2,2,2,4,4
"76",3,4,2,5,4,4,4,5,5,4,4,4,4,4,4,4,5,3,5,2,1,4,4,4,5,4,4,4,2,2
"77",10,4,5,8,2,5,1,2,9,1,1,1,1,1,1,1,8,10,2,4,6,1,1,1,6,7,1,1,5,4
"78",4,3,3,2,5,3,5,5,5,5,5,5,5,4,5,5,2,4,5,3,1,1,2,5,5,2,5,5,3,3
"79",3,1,1,4,5,1,4,5,1,5,5,5,5,5,5,5,4,3,5,1,2,5,5,4,4,5,4,2,1,1
"80",12,6,3,7,13,6,11,1,10,6,6,6,6,1,6,6,8,12,1,3,2,4,13,11,2,13,11,7,3,3
"81",2,5,7,4,1,7,6,1,5,6,6,6,6,6,6,6,4,2,1,5,3,6,6,6,3,5,6,6,7,5
"82",3,2,1,5,5,2,2,5,1,2,2,2,2,2,2,2,5,3,5,1,4,2,2,2,5,5,2,4,1,1
"83",3,7,6,1,2,7,7,7,8,7,7,7,7,7,7,7,1,3,2,6,5,4,2,7,5,2,7,5,6,6
"84",9,2,10,6,4,10,5,4,10,6,6,6,6,6,6,6,6,9,4,10,8,8,6,5,8,6,5,7,10,2
"85",3,2,5,1,1,2,2,1,4,2,2,2,2,2,2,2,1,3,2,4,6,2,1,2,6,4,2,2,5,5
"86",1,3,3,5,4,3,4,4,5,4,4,4,4,5,4,4,5,1,4,3,2,4,4,4,2,4,4,4,3,3
"87",4,5,3,2,6,5,5,6,3,5,2,5,5,5,5,5,2,4,5,3,6,2,2,5,2,3,5,5,3,3
"88",3,5,5,4,2,5,2,2,5,2,2,2,2,2,2,2,4,3,2,5,1,1,2,2,4,2,2,1,5,5
"89",1,6,4,3,6,6,6,3,3,6,6,6,6,6,6,6,3,1,2,4,7,7,6,6,3,6,6,7,4,4
"90",20,19,19,15,9,19,9,9,8,9,13,9,9,9,9,9,14,20,9,19,22,5,13,9,16,8,9,9,19,19
"91",1,2,2,5,4,2,4,4,3,3,3,3,3,3,3,3,5,1,4,2,6,6,3,4,5,3,4,3,2,2
"92",3,1,2,5,4,1,1,4,2,1,1,1,1,1,1,1,5,3,4,2,4,4,1,1,5,1,1,1,2,2
"93",9,4,4,7,3,4,6,3,1,3,3,3,3,3,3,3,7,9,3,4,2,2,3,6,8,5,6,2,4,1
"94",2,5,5,3,4,5,3,3,4,4,4,4,4,4,4,4,3,2,4,5,1,3,4,3,3,4,3,3,5,5
"95",3,7,7,9,6,7,2,6,7,9,9,9,9,9,9,9,4,3,4,7,8,9,9,2,1,9,2,9,7,7
"96",8,5,4,2,1,5,5,3,3,3,5,5,5,5,5,5,2,8,1,4,6,5,1,5,3,1,5,5,4,4
"97",1,6,6,5,3,6,3,3,6,3,5,3,3,3,3,3,5,1,3,6,4,4,5,3,2,2,3,4,6,6
"98",4,3,1,2,3,3,3,2,1,2,3,3,3,3,3,3,2,4,3,1,5,4,3,3,2,3,3,3,1,1
"99",5,4,4,2,1,4,3,1,3,3,3,3,3,3,3,3,2,5,1,4,6,3,3,3,6,3,3,1,4,4
"100",2,3,7,1,3,3,4,4,7,6,3,3,3,3,3,3,1,2,3,7,5,3,3,4,4,3,4,1,7,7
