"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"40",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"41",2,3,3,4,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1
"42",2,2,4,2,2,2,2,2,2,2,2,2,3,1,2,2,1,2,2,2,2,2,2
"43",4,4,1,2,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4
"44",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"45",2,3,3,1,6,4,4,4,4,4,1,4,5,5,4,4,6,4,4,4,4,4,4
"46",1,2,2,7,5,6,6,6,6,4,7,6,3,4,4,4,4,6,6,6,6,6,6
"47",3,2,2,4,1,6,6,6,6,5,6,6,5,1,6,1,1,6,6,6,6,5,6
"48",3,2,2,4,5,5,5,5,5,4,5,5,1,5,5,5,4,5,5,5,5,5,5
"49",2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
"50",5,2,2,4,6,7,7,7,7,4,3,7,8,4,7,1,4,7,7,7,7,7,7
"51",3,4,4,6,2,5,5,5,5,6,5,5,1,6,5,6,6,5,5,5,5,5,5
"52",2,1,4,3,6,1,1,1,1,3,1,1,5,5,1,1,3,1,1,1,1,5,1
"53",2,5,5,1,4,3,3,3,3,1,1,3,3,6,3,6,6,3,3,3,3,3,3
"54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"56",5,1,1,4,2,5,5,5,5,5,5,5,3,6,6,6,6,5,5,5,5,5,5
"57",3,3,3,3,1,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3
"58",5,7,7,4,1,2,2,2,2,4,2,2,6,3,2,3,3,2,2,2,2,2,2
"59",2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1
"60",3,2,2,1,2,2,2,2,2,2,1,2,2,4,2,2,4,2,2,2,2,2,2
"61",2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
"62",3,4,4,1,2,4,4,4,4,4,1,4,4,2,4,2,2,4,4,4,4,4,4
"63",3,4,4,2,1,1,1,1,1,1,2,1,1,4,1,1,4,1,1,1,1,1,1
"64",2,2,2,3,2,2,2,2,2,2,3,2,2,1,2,1,1,2,2,2,2,2,3
"65",4,6,6,5,1,5,5,5,5,2,3,5,2,1,1,1,1,5,5,5,5,5,5
"66",2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"67",3,3,5,4,2,3,3,3,3,4,3,3,3,4,3,1,3,3,3,4,3,3,3
"68",2,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,4,2,2
"69",5,2,2,6,3,1,1,1,1,6,1,1,4,4,1,6,6,1,1,1,1,1,6
"70",2,1,5,4,6,1,1,1,1,4,1,1,1,3,3,3,3,1,1,1,1,1,1
"71",4,5,5,2,1,2,2,2,2,2,2,2,2,5,2,3,2,2,2,2,2,2,2
"72",4,6,6,3,1,5,5,5,5,3,4,5,2,2,5,3,3,5,5,5,4,5,5
"73",3,3,4,5,1,3,3,3,3,3,3,3,6,2,3,1,1,3,3,3,3,3,3
"74",6,5,5,2,1,4,4,4,4,4,2,4,4,3,4,3,3,4,4,4,4,4,4
"75",1,7,7,3,5,3,3,3,3,4,6,3,2,4,3,4,4,3,3,3,3,3,3
"76",4,4,1,2,3,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4
"77",1,1,4,1,5,1,1,1,1,3,1,1,2,5,1,5,5,1,1,1,3,1,1
"78",4,4,4,3,4,4,4,4,4,2,2,4,4,1,4,4,1,4,4,4,4,4,4
"79",5,1,1,4,7,6,6,6,6,4,6,6,3,4,6,2,4,6,6,6,6,6,6
"80",3,4,4,2,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
"81",3,1,1,4,4,3,3,3,3,4,3,3,2,2,3,4,4,3,3,3,3,3,3
"82",4,2,2,5,1,4,4,4,4,5,4,4,3,2,4,4,5,4,4,4,4,4,4
"83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"85",4,5,5,2,1,4,4,4,4,3,3,4,4,3,4,3,3,4,4,4,4,4,4
"86",5,3,3,5,4,2,1,2,1,5,2,2,2,2,2,1,1,2,1,2,2,2,1
"87",5,3,2,1,6,3,3,3,3,1,1,3,4,6,3,6,6,3,3,3,3,3,3
"88",3,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,4,1,4,1,1,1,1
"89",1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"90",3,4,4,2,2,1,1,1,1,2,1,1,5,5,1,2,2,1,1,1,1,1,1
"91",2,3,3,4,1,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
"92",5,2,2,4,7,3,3,3,3,4,6,3,1,4,3,4,4,3,3,3,3,3,3
"93",6,3,3,5,2,7,7,7,7,5,4,7,1,5,7,5,5,7,7,7,7,7,7
"94",5,3,3,4,2,5,5,5,5,4,5,5,1,4,5,5,4,5,5,5,5,5,5
"95",2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
"96",3,1,1,2,3,3,3,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,3
"97",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
"98",3,3,3,2,4,3,3,3,3,2,2,3,3,1,3,1,1,3,3,3,3,3,3
"99",5,3,3,1,2,5,5,5,5,5,5,5,4,2,5,2,2,5,5,5,5,5,5
"100",4,2,2,5,3,7,7,7,7,7,7,7,1,5,7,6,5,7,7,7,7,7,7
