"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"63",1,2,3,1,2,1,4,5,1,1,4,1,4,1,1,3,1,1,3,1,4,1,1,4,4
"64",4,4,2,4,2,4,1,3,4,4,1,3,1,4,4,2,3,4,2,4,1,3,3,3,1
"65",1,1,4,1,2,1,4,3,1,1,4,3,3,1,1,4,1,1,4,1,3,1,3,3,3
"66",2,1,1,2,1,2,1,3,2,2,1,2,1,2,2,1,2,2,1,2,1,2,2,1,1
"67",3,3,2,3,1,3,1,5,3,3,1,6,1,3,3,2,3,3,1,4,1,3,1,1,1
"68",1,1,2,1,4,1,2,4,1,1,2,3,2,1,1,3,4,1,2,1,2,3,3,4,2
"69",2,2,4,2,1,2,4,1,2,2,4,1,1,2,2,3,2,2,1,2,1,2,1,1,1
"70",3,3,1,3,2,3,1,4,3,3,2,4,2,3,3,1,3,3,2,3,2,3,4,4,2
"71",4,3,1,4,3,4,3,3,4,4,1,4,3,4,4,2,4,4,1,4,3,4,3,3,3
"72",4,1,5,4,5,4,3,2,4,4,3,2,3,4,4,5,4,4,5,4,3,4,2,2,3
"73",4,4,5,4,3,4,5,1,4,4,5,2,5,4,4,2,2,4,5,4,5,2,2,5,5
"74",1,1,2,1,4,1,4,3,1,1,4,5,4,1,1,2,1,1,4,1,4,1,5,4,4
"75",4,1,3,4,2,4,3,2,4,4,3,4,1,4,4,3,4,4,3,4,1,4,4,2,1
"76",6,6,5,6,7,6,4,1,6,6,4,2,4,6,6,5,2,6,4,3,4,2,2,2,4
"77",3,3,1,3,5,3,3,4,3,3,5,4,4,2,3,1,3,3,4,3,4,2,4,4,4
"78",2,2,4,2,4,2,5,1,2,2,5,3,5,2,2,4,3,2,4,2,5,3,3,3,5
"79",5,5,1,5,3,5,2,4,5,5,2,4,2,5,5,1,4,5,1,5,2,4,4,3,2
"80",1,1,4,1,2,1,3,5,1,1,3,2,3,1,1,4,1,1,4,1,3,1,2,2,3
"81",4,4,2,4,1,4,2,5,4,4,2,3,5,4,3,2,3,3,2,4,5,4,5,5,5
"82",3,3,2,3,2,3,2,4,3,3,2,4,2,3,3,1,3,3,2,3,2,3,4,2,2
"83",2,2,4,2,3,2,4,3,2,2,4,1,4,1,2,4,2,2,4,2,4,1,1,3,1
"84",5,5,4,5,1,5,2,1,5,5,2,3,2,3,5,4,5,5,2,5,2,3,3,1,2
"85",1,1,5,3,4,3,5,2,3,3,4,3,4,1,3,5,3,3,4,1,4,3,3,4,4
"86",3,3,1,3,4,3,1,2,3,3,1,2,2,3,3,1,3,3,1,3,2,3,2,2,2
"87",2,2,4,2,3,2,5,5,2,2,5,1,5,2,2,4,2,2,5,2,5,2,1,5,5
"88",4,4,1,4,2,4,2,3,4,4,2,3,2,4,4,1,4,4,2,4,2,4,3,3,2
"89",4,4,3,4,3,4,2,1,4,4,3,2,2,4,4,3,4,4,2,4,2,4,2,2,2
"90",2,2,3,2,1,2,3,4,2,2,3,4,3,2,2,3,2,2,3,2,4,2,4,4,4
"91",5,5,1,5,2,5,1,4,5,5,1,4,1,3,5,4,4,5,1,5,1,4,4,4,1
"92",4,2,1,4,2,4,1,5,4,4,1,2,2,4,4,3,4,4,1,4,2,4,2,2,2
"93",1,1,4,1,3,1,4,2,1,1,3,2,3,1,1,4,2,1,3,1,3,2,2,3,3
"94",5,5,4,5,2,5,2,3,5,5,2,1,2,5,5,4,5,5,2,5,2,5,1,2,2
"95",1,1,3,1,3,1,4,4,1,1,3,2,4,1,1,3,2,1,3,1,4,2,2,2,4
"96",5,5,4,5,4,5,1,2,5,5,1,3,1,5,5,4,5,5,4,5,1,5,3,1,1
"97",1,1,6,1,4,1,6,3,1,1,6,5,3,2,1,6,1,1,6,2,3,5,5,3,3
"98",1,1,2,1,3,1,5,4,1,1,5,3,5,1,1,2,1,1,5,1,5,1,3,3,5
"99",4,4,1,4,3,4,2,2,4,4,2,5,2,4,4,1,4,4,2,4,2,5,2,2,2
"100",3,4,5,3,4,3,1,2,3,3,1,2,1,3,3,5,3,3,1,3,1,3,2,4,1
