"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"20",13,4,4,14,9,6,3,2,5,13,13,14,12,4,11,11,11,5,10,12,4,2,10
"21",1,2,2,7,20,6,5,15,6,14,14,7,2,6,20,20,20,1,13,22,21,15,14
"22",8,18,18,3,5,14,12,21,8,1,1,3,5,17,15,15,15,8,20,15,1,21,16
"23",4,3,3,2,7,8,11,9,7,4,4,2,13,5,7,7,7,8,5,4,4,9,12
"24",1,11,11,5,10,4,7,3,9,12,12,5,11,13,10,10,10,9,13,3,6,3,12
"25",7,4,4,11,11,5,5,12,7,4,4,11,6,12,1,1,1,7,10,6,2,12,2
"26",6,7,7,4,8,5,12,11,5,7,7,9,8,1,3,3,3,4,3,8,7,11,3
"27",1,13,13,14,4,1,10,2,1,17,17,1,5,15,12,12,12,4,9,13,17,2,17
"28",9,3,3,9,3,11,16,8,9,14,14,9,1,8,2,2,2,4,11,6,10,8,3
"29",8,20,20,15,10,14,12,11,5,2,2,15,10,3,18,18,18,7,5,18,3,11,2
"30",8,8,8,12,5,13,10,7,13,3,3,12,2,2,5,5,5,16,3,5,3,7,11
"31",7,6,6,3,3,8,6,2,5,7,7,3,1,4,4,4,4,8,7,6,7,2,7
"32",7,4,4,10,5,1,12,5,6,14,14,10,17,5,15,15,15,8,15,1,14,5,14
"33",8,12,12,18,6,3,6,2,11,10,10,18,7,9,14,14,14,13,14,17,4,2,10
"34",17,13,13,15,7,6,10,3,16,17,17,15,11,3,4,4,4,9,12,11,17,3,11
"35",22,8,8,17,11,18,10,21,20,14,14,17,16,7,11,1,11,9,15,3,14,21,2
"36",12,9,9,12,9,13,7,1,12,6,6,12,9,1,10,10,10,9,4,3,6,1,2
"37",4,2,2,11,18,21,7,14,3,10,10,11,3,19,13,13,13,4,24,8,8,14,22
"38",5,5,5,11,11,11,7,6,2,5,5,11,7,9,9,9,9,2,12,1,5,6,10
"39",15,16,16,14,2,11,6,8,7,19,19,14,2,9,9,3,9,11,1,9,5,8,19
"40",13,2,2,13,2,9,14,16,13,3,3,13,8,1,10,10,10,7,8,12,7,16,5
"41",3,12,12,7,19,17,11,15,5,16,16,7,12,3,18,18,18,2,21,16,16,15,16
"42",4,8,8,3,6,3,7,2,5,4,4,3,2,9,9,9,9,5,3,1,4,2,9
"43",3,6,6,1,7,2,5,10,14,3,3,1,4,9,9,9,9,6,14,8,3,10,13
"44",6,10,10,2,3,10,8,5,7,6,6,2,5,5,4,4,4,10,11,6,4,5,6
"45",10,2,2,14,16,1,7,15,11,19,19,14,1,3,18,17,18,13,17,9,19,15,19
"46",10,13,13,6,9,1,7,14,5,10,10,6,2,4,8,8,8,1,12,13,10,14,12
"47",7,1,1,2,5,6,8,3,6,7,7,2,5,9,9,9,9,1,2,2,7,3,9
"48",5,4,4,6,15,19,1,17,15,10,10,6,11,15,7,7,7,9,15,8,10,17,12
"49",17,13,13,2,9,16,3,8,16,15,15,2,17,11,4,1,4,1,6,4,15,8,10
"50",3,9,9,7,4,10,10,6,12,5,5,7,11,9,9,1,9,12,6,9,5,6,5
"51",9,2,2,3,17,13,6,4,15,7,7,3,5,4,11,11,11,9,2,1,7,4,1
"52",7,11,11,14,1,10,9,18,16,17,17,14,6,14,2,2,2,16,9,4,17,18,4
"53",8,14,14,15,11,3,12,21,11,8,8,15,3,14,16,16,16,20,13,16,8,21,6
"54",9,4,4,10,21,18,5,6,16,9,9,10,11,15,20,20,20,7,16,16,9,6,20
"55",12,11,11,14,10,7,6,4,7,15,15,14,9,10,10,2,10,9,1,11,15,4,16
"56",2,6,6,8,7,3,6,1,11,2,2,8,9,7,7,7,7,3,1,6,2,1,10
"57",5,4,4,13,10,16,6,1,9,12,12,13,6,5,10,10,10,11,5,4,12,1,2
"58",6,10,10,8,16,6,5,17,6,14,14,8,9,3,12,10,12,1,5,17,14,17,14
"59",1,7,7,3,8,7,6,9,2,5,5,3,1,7,8,8,8,2,9,8,5,9,5
"60",9,8,8,8,3,12,12,5,11,9,9,8,6,10,10,1,10,11,3,3,9,5,9
"61",3,4,4,10,4,4,2,7,10,3,3,10,11,5,5,5,5,1,1,5,3,7,14
"62",18,15,15,16,9,11,17,8,11,19,19,16,15,13,9,5,9,18,1,1,19,8,19
"63",3,11,11,4,2,1,5,13,1,14,14,4,11,10,9,9,9,7,2,7,14,13,4
"64",15,5,5,16,8,16,1,2,7,14,14,16,4,9,10,10,10,12,5,10,6,2,9
"65",1,5,5,13,13,3,15,16,14,18,18,13,17,11,11,10,11,1,5,16,18,16,6
"66",6,2,2,14,14,2,8,13,17,3,3,14,4,4,4,4,4,17,11,6,3,13,10
"67",15,18,18,5,18,11,8,14,13,15,15,5,2,11,10,10,10,19,6,16,15,14,3
"68",12,9,9,11,15,9,7,4,9,8,8,11,2,3,10,10,10,16,11,15,8,4,6
"69",11,12,12,11,16,4,23,5,7,8,8,11,3,2,21,21,21,11,24,3,8,5,8
"70",8,2,2,5,7,16,16,10,8,11,11,5,4,12,3,9,3,8,11,9,11,10,11
"71",2,7,7,1,6,2,5,8,2,4,4,1,10,8,7,7,7,1,2,7,4,8,3
"72",8,1,1,3,9,12,12,10,16,8,8,3,4,7,14,14,14,13,16,1,15,10,11
"73",9,12,12,6,7,3,1,8,10,5,5,6,6,12,7,7,7,10,7,2,5,8,5
"74",4,17,17,19,6,11,2,5,16,9,9,19,1,10,14,14,14,11,10,7,6,5,14
"75",10,9,9,10,6,2,5,8,2,4,4,10,13,8,3,11,11,9,13,11,4,8,4
"76",6,6,6,1,1,3,5,9,3,2,2,1,3,7,6,6,6,4,2,4,2,9,2
"77",5,2,2,3,4,2,8,6,1,5,5,3,8,7,7,7,7,4,1,6,5,6,5
"78",8,2,2,6,9,4,2,3,9,6,6,3,11,5,5,5,5,8,10,5,6,3,6
"79",13,1,1,12,12,11,4,10,11,13,13,12,6,5,3,3,3,9,4,6,13,10,1
"80",15,4,4,12,14,1,21,7,19,18,18,12,3,10,2,2,2,13,19,6,8,7,4
"81",8,9,9,2,3,6,1,9,7,5,5,2,7,1,3,3,3,7,9,8,5,9,5
"82",1,2,2,7,17,10,18,12,8,13,13,7,21,3,17,17,17,21,22,23,13,12,13
"83",20,9,9,3,18,4,13,16,17,7,7,3,18,1,10,10,10,4,3,1,1,16,15
"84",3,3,3,16,12,14,10,4,13,1,1,16,2,6,6,6,6,14,16,10,1,4,1
"85",2,2,2,8,9,7,5,1,6,12,12,8,11,9,9,10,9,6,10,10,12,1,12
"86",22,8,8,9,14,3,20,16,11,10,10,9,11,18,4,4,4,3,18,4,7,16,11
"87",12,2,2,1,8,5,5,3,6,9,9,1,8,7,7,7,7,10,11,9,9,3,6
"88",17,17,17,19,4,5,20,14,5,15,15,19,8,16,6,2,6,5,7,16,4,14,18
"89",1,1,1,20,14,13,18,5,8,21,21,20,12,7,17,17,17,11,4,16,2,5,3
"90",17,5,5,20,20,18,15,6,1,21,21,20,14,9,11,17,11,18,8,9,8,6,21
"91",2,2,2,9,11,3,3,8,9,10,10,9,5,1,12,12,12,4,3,5,10,8,12
"92",14,6,6,4,10,12,1,6,7,14,14,4,13,8,9,9,9,2,15,16,14,6,5
"93",13,12,12,2,4,3,14,7,3,13,13,2,5,12,12,9,12,3,6,10,13,7,5
"94",7,6,6,4,4,1,5,8,7,7,7,4,3,6,6,6,6,3,6,6,7,8,3
"95",15,12,12,5,13,1,3,11,1,15,15,5,12,13,13,13,13,5,11,14,15,11,13
"96",9,1,1,12,12,7,2,5,11,4,4,12,5,5,3,3,3,9,8,3,4,5,4
"97",17,16,16,13,7,21,1,14,3,6,6,13,17,12,23,23,23,19,4,12,4,14,17
"98",11,9,9,5,5,13,8,6,1,2,2,5,4,3,7,7,7,1,6,7,3,6,7
"99",4,9,9,4,9,7,10,5,6,11,11,4,6,12,12,12,12,8,4,7,11,5,11
"100",11,10,10,11,3,9,9,3,10,8,8,11,5,2,1,1,1,11,4,10,8,3,8
