"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"17",3,2,2,2,7,4,2,3,6,3,3,7,3,4,3,5,4,5,5,6,7,4,1,5,4,1,2,3,6,1,5,7,6,5,3,5,5,3,5,5,4
"18",6,6,5,6,5,5,2,6,3,1,6,4,5,5,3,1,3,3,2,2,2,1,1,2,3,1,6,6,4,1,6,2,4,3,1,1,3,2,2,5,5
"19",8,3,5,3,6,5,6,2,7,2,2,3,1,8,2,3,5,3,7,6,6,8,8,7,6,7,3,3,4,2,7,6,7,3,2,8,7,2,7,5,5
"20",5,6,5,6,3,3,4,5,4,2,5,4,6,3,1,6,5,6,4,3,5,2,2,4,2,6,6,5,1,2,2,3,1,4,1,4,6,5,4,6,3
"21",9,6,6,4,10,13,5,8,5,12,8,10,5,12,12,3,13,3,2,8,7,12,12,2,12,12,4,3,6,12,7,7,5,8,8,12,2,7,2,3,13
"22",10,8,4,7,9,1,3,3,3,6,10,2,5,6,10,1,1,7,7,3,9,6,4,7,6,4,7,3,8,10,10,9,2,7,10,4,7,3,7,1,1
"23",9,8,6,8,1,9,5,7,5,4,7,1,10,2,9,5,9,5,5,6,6,3,3,5,5,3,8,7,10,4,7,6,1,5,4,2,5,5,5,7,3
"24",2,6,3,6,4,4,5,2,5,2,2,4,5,5,1,6,4,6,2,5,5,4,3,2,6,3,6,6,1,3,3,5,5,2,1,3,2,2,2,6,4
"25",3,6,7,4,5,5,6,3,2,3,1,2,6,3,5,4,5,4,4,6,5,3,3,4,4,2,4,4,7,3,1,5,2,2,3,3,4,1,4,4,5
"26",10,3,20,9,18,18,5,10,5,2,10,9,15,2,2,15,18,17,14,5,14,2,20,14,2,20,9,9,19,2,10,18,11,9,1,20,9,5,14,12,18
"27",9,10,1,5,2,2,3,9,3,6,9,2,8,10,10,1,5,10,1,3,1,7,7,1,6,7,5,9,6,6,1,2,3,1,6,7,1,9,1,5,2
"28",4,1,6,1,6,4,5,5,6,2,5,3,4,6,2,1,4,2,1,5,5,4,4,1,2,4,1,5,2,2,3,5,3,6,2,3,1,5,1,1,4
"29",4,5,1,6,2,4,5,7,7,3,4,2,1,3,3,6,4,6,5,7,5,3,3,5,3,2,6,6,1,3,4,2,1,7,3,7,6,7,5,6,4
"30",7,2,3,4,6,6,3,4,3,2,7,4,3,2,2,4,7,2,3,6,6,1,1,3,2,1,4,4,5,7,7,6,5,4,2,7,5,3,3,3,1
"31",1,4,6,6,1,8,3,2,6,2,3,1,1,4,2,6,8,6,6,3,7,8,8,6,6,8,6,2,5,8,6,1,5,6,5,8,6,2,6,6,8
"32",4,3,1,8,1,5,2,4,2,7,4,1,9,7,9,3,3,3,6,2,5,7,7,6,3,6,8,4,9,7,5,1,6,6,9,7,6,4,6,3,7
"33",1,4,1,9,2,8,7,1,5,1,10,6,4,4,4,4,8,9,9,7,2,8,1,9,4,1,9,1,3,1,8,2,6,5,1,3,9,1,9,9,8
"34",6,7,3,7,3,3,4,4,4,1,6,2,5,1,7,7,3,7,4,4,5,1,1,4,7,5,7,7,5,1,1,3,3,2,1,1,7,4,4,6,3
"35",1,7,3,2,5,5,4,4,4,6,7,3,1,5,6,7,5,2,4,4,3,6,6,4,6,7,2,2,1,6,3,3,3,4,6,6,2,4,4,4,5
"36",1,3,2,5,1,1,8,7,8,7,4,5,6,2,3,2,1,4,8,6,6,2,2,8,8,2,5,5,7,2,4,6,5,5,7,2,5,7,8,5,1
"37",4,3,1,3,7,8,2,4,2,1,6,7,1,1,5,3,8,2,2,4,7,1,1,2,1,5,3,3,5,1,6,7,5,2,4,1,3,2,2,3,8
"38",1,4,3,10,5,5,9,1,6,1,1,2,9,4,4,10,7,10,6,9,3,4,1,6,4,1,10,10,7,1,3,5,2,6,1,3,10,1,6,5,5
"39",8,11,6,11,10,10,9,4,9,3,4,7,9,13,3,11,8,11,12,9,10,13,13,12,11,13,11,4,1,13,13,10,5,7,3,13,12,4,12,12,10
"40",1,5,1,5,4,4,8,1,8,1,7,6,7,3,1,5,4,5,8,8,6,3,3,8,5,6,5,1,2,1,7,6,6,6,1,3,8,8,8,5,4
"41",3,6,1,6,1,10,3,9,5,8,9,5,2,8,8,6,10,6,7,9,1,8,8,7,8,7,6,6,3,8,6,1,5,9,9,5,6,9,7,7,10
"42",3,1,12,11,6,6,4,7,2,10,3,5,4,2,2,4,6,7,4,2,1,10,10,4,2,6,11,7,12,10,3,6,5,7,10,10,9,7,4,8,6
"43",9,1,9,1,2,2,7,12,7,12,11,13,4,10,12,7,2,6,7,14,14,10,10,7,10,4,1,1,8,10,11,14,5,7,12,10,1,12,7,1,2
"44",4,9,8,12,8,8,6,4,6,10,1,5,3,10,10,7,8,12,11,1,9,10,10,11,10,8,12,4,12,10,1,9,5,4,4,10,1,6,11,12,8
"45",10,7,10,6,3,9,6,2,6,1,5,3,3,13,1,7,9,6,6,12,4,13,13,6,6,8,6,2,8,13,5,12,8,6,13,13,6,6,6,6,13
"46",7,2,8,8,5,5,3,7,3,4,7,9,7,3,4,8,5,8,8,3,7,1,1,8,3,1,8,7,6,1,10,5,10,9,4,1,8,4,8,8,5
"47",5,3,6,3,6,6,4,5,2,5,4,4,5,1,5,3,6,3,3,4,6,5,5,3,5,5,3,3,1,5,1,6,4,3,5,5,3,2,3,3,6
"48",1,2,2,5,2,2,3,4,1,4,4,6,1,1,2,3,1,2,3,2,2,4,4,3,5,4,5,5,6,4,1,2,6,3,4,1,5,4,3,5,4
"49",1,2,4,2,9,9,4,1,10,3,1,6,7,10,7,2,7,8,11,4,7,3,3,11,3,1,2,2,5,3,10,4,8,6,3,10,2,1,11,6,9
"50",11,5,8,5,15,16,2,1,15,8,11,1,3,15,8,13,11,13,13,2,2,8,8,13,8,10,5,1,9,8,11,2,6,1,8,8,13,2,13,13,16
"51",7,2,3,2,6,6,5,7,5,1,3,6,7,1,2,2,2,2,5,3,3,1,1,5,2,7,2,7,6,1,7,3,5,5,1,1,2,5,5,5,6
"52",8,4,3,9,4,10,2,8,2,1,3,12,10,7,1,13,10,13,13,2,7,1,1,13,1,1,9,8,5,1,3,7,9,12,1,2,13,2,13,3,10
"53",5,7,3,6,3,2,6,4,6,2,4,1,3,3,5,7,2,6,6,4,3,2,2,6,6,7,6,4,5,2,7,3,1,6,5,2,6,6,6,6,2
"54",5,1,3,1,6,3,5,5,3,5,2,7,1,8,2,1,3,1,5,6,6,8,8,5,3,8,1,1,4,8,2,6,4,5,2,8,7,2,5,8,8
"55",11,2,10,10,2,2,1,11,1,8,11,3,3,8,7,4,2,11,11,1,4,8,8,11,8,7,10,10,7,8,11,1,3,11,7,8,10,1,11,10,8
"56",9,8,4,6,8,10,2,9,4,9,5,3,3,4,8,9,10,6,2,8,8,5,5,2,9,5,6,6,4,9,2,8,3,6,9,4,6,5,2,2,5
"57",3,6,8,3,1,3,7,7,7,7,6,1,9,4,4,2,3,4,7,9,9,2,2,7,2,2,3,3,5,2,2,9,1,7,5,2,8,7,7,6,2
"58",5,6,9,6,8,8,3,2,2,7,3,8,4,10,7,6,8,6,6,3,1,7,7,6,6,7,6,2,9,7,4,3,2,2,7,7,6,3,6,8,8
"59",1,5,4,4,2,1,8,7,8,5,7,4,2,2,5,6,1,6,6,3,2,1,1,6,5,6,4,4,8,1,1,2,8,8,5,1,4,7,6,4,1
"60",3,9,13,9,14,14,6,11,6,12,16,10,3,7,14,9,14,14,6,11,5,12,12,6,9,12,9,11,1,12,2,5,10,6,1,12,2,12,6,7,14
"61",7,1,8,8,8,6,5,7,5,7,7,11,2,3,1,5,6,1,5,10,10,3,3,5,3,4,8,8,4,3,7,10,11,5,7,3,8,7,5,6,6
"62",8,11,11,10,19,19,21,8,21,18,2,13,17,18,18,23,19,23,3,7,7,18,18,3,18,20,10,8,22,18,4,7,21,13,18,21,14,2,3,3,19
"63",15,18,15,18,4,4,14,7,14,16,7,5,5,16,2,18,4,6,14,7,3,16,17,14,16,15,18,7,2,16,11,3,5,5,5,6,13,17,14,6,4
"64",4,5,3,5,7,2,2,4,2,4,4,7,6,6,1,5,2,5,4,3,7,6,6,4,5,3,5,5,1,6,4,7,2,4,6,6,5,2,4,4,6
"65",4,6,6,7,1,1,7,4,7,4,4,1,4,6,6,3,7,6,7,4,5,6,2,7,7,2,7,4,2,2,4,5,1,7,2,2,7,4,7,7,1
"66",9,6,3,6,9,9,2,5,4,5,5,4,3,8,3,6,9,7,1,2,2,8,8,1,7,7,6,6,3,8,7,2,4,4,3,8,6,5,1,1,9
"67",6,7,9,2,10,10,9,8,11,8,12,1,7,11,11,4,10,2,9,11,3,8,4,9,11,4,2,2,6,8,12,10,1,11,8,8,7,8,9,9,10
"68",2,5,3,5,2,2,3,1,3,1,3,2,5,3,4,1,2,6,6,3,2,1,1,6,1,1,5,5,4,4,3,2,4,6,4,3,6,1,6,6,2
"69",3,1,5,5,7,7,11,3,9,10,6,6,10,9,10,10,7,10,10,9,7,10,3,10,10,3,5,5,2,3,4,7,2,6,3,9,5,10,10,8,7
"70",8,3,1,3,4,4,5,2,5,2,8,4,4,3,2,3,6,3,5,7,7,6,6,5,3,6,3,2,1,1,5,7,4,5,2,5,5,2,5,8,6
"71",7,6,4,8,10,10,3,7,9,5,3,9,5,2,5,10,10,6,3,7,10,2,2,3,2,1,8,8,1,2,3,10,9,3,1,9,8,5,3,8,10
"72",3,2,4,7,5,6,6,3,1,10,3,5,14,1,10,12,3,12,12,8,5,10,15,12,10,15,7,3,4,10,2,5,1,1,10,2,12,3,12,12,6
"73",10,11,5,11,5,7,8,1,6,1,1,5,10,2,8,4,10,4,4,8,5,3,3,4,3,3,11,1,2,10,1,5,6,1,1,6,4,1,4,4,3
"74",3,9,8,9,6,7,10,3,10,2,7,6,1,8,2,9,7,2,4,10,6,5,5,4,9,4,9,3,1,5,7,6,4,4,5,5,6,7,4,8,7
"75",7,9,3,4,3,8,1,7,1,10,9,3,7,10,10,3,8,4,12,1,6,10,10,12,10,10,4,4,5,10,3,6,1,7,10,10,4,1,12,9,8
"76",6,3,5,4,3,4,2,6,2,5,6,3,1,5,1,5,4,4,2,6,3,5,5,2,4,5,4,6,1,5,4,3,3,6,1,5,4,2,2,2,5
"77",12,13,13,13,15,15,11,12,5,14,12,1,15,5,14,10,15,10,10,6,6,14,5,10,14,1,13,12,4,14,11,6,1,10,4,5,10,12,10,9,15
"78",8,10,8,10,12,14,16,15,4,15,15,3,8,13,15,10,14,16,16,10,16,13,13,16,13,6,10,10,4,13,3,12,4,15,15,13,12,15,16,10,14
"79",6,11,6,11,5,3,7,6,7,9,6,9,8,8,9,11,3,4,7,2,4,13,13,7,7,3,11,6,1,13,7,5,8,7,1,13,11,6,7,5,3
"80",2,4,5,3,1,1,7,3,6,4,7,3,1,2,4,4,1,3,7,6,1,2,2,7,4,2,3,3,5,4,3,1,5,3,5,2,7,7,7,7,1
"81",4,13,10,13,14,14,7,12,7,9,10,2,1,9,13,13,14,13,3,12,12,9,9,3,13,4,13,12,11,9,10,12,7,2,9,9,3,7,3,13,14
"82",5,1,1,3,3,3,6,5,2,1,5,2,6,1,4,1,3,6,6,6,2,1,4,6,1,1,3,5,4,4,2,3,2,2,4,2,6,5,6,3,3
"83",11,3,9,3,16,2,10,5,10,19,1,14,4,19,10,8,2,10,8,10,6,19,19,8,10,17,3,5,9,19,13,16,9,18,19,19,18,5,8,8,2
"84",6,1,1,1,2,2,7,5,3,5,6,2,1,4,5,6,2,1,3,7,1,4,4,3,6,4,1,5,7,5,4,2,7,5,5,4,1,5,3,1,6
"85",2,12,1,12,9,7,6,1,6,11,2,9,8,9,1,12,7,1,3,1,9,11,11,3,11,4,12,12,10,11,3,9,6,6,11,11,4,6,3,7,7
"86",11,7,6,7,10,3,3,11,3,9,4,1,1,10,9,2,3,1,2,11,10,9,5,2,9,5,7,11,6,9,9,10,1,2,11,5,8,3,2,7,3
"87",6,7,1,7,4,5,2,6,2,8,2,4,3,8,3,1,5,1,2,6,6,8,8,2,8,4,7,1,3,8,2,6,5,2,3,8,1,2,2,1,5
"88",4,1,3,5,2,2,3,3,3,6,6,5,4,2,1,6,2,3,3,1,1,6,6,3,3,6,5,3,4,6,6,1,5,3,6,6,3,3,3,2,2
"89",4,6,2,6,1,4,5,5,2,5,5,2,3,1,5,6,4,6,3,5,1,4,4,3,6,4,6,5,6,4,5,1,3,2,5,2,3,5,3,2,4
"90",5,4,4,4,3,5,2,6,3,6,2,3,4,1,4,4,5,4,2,3,1,5,5,2,4,5,4,4,1,6,3,3,6,2,6,3,4,6,2,2,5
"91",4,2,6,2,3,1,5,4,5,4,6,3,2,6,4,2,1,2,5,6,3,1,1,5,2,1,2,2,3,4,6,3,5,5,4,1,6,5,5,5,1
"92",6,2,5,5,4,6,4,2,4,1,6,5,3,1,1,2,6,2,2,4,6,1,1,2,1,1,2,2,3,1,6,4,5,2,1,1,2,2,2,2,5
"93",3,5,2,5,1,1,2,3,2,4,3,1,2,4,4,4,1,5,2,3,1,4,4,2,4,1,5,5,5,4,2,1,2,2,3,4,5,2,2,1,1
"94",1,8,6,11,8,9,10,2,10,3,7,8,9,3,8,11,9,8,10,8,4,3,3,10,10,2,11,2,5,3,7,4,5,10,3,3,11,2,10,6,6
"95",2,4,4,4,3,3,8,2,8,5,1,3,7,6,5,3,3,5,8,8,2,6,6,8,5,6,4,2,7,6,1,2,5,8,7,6,4,8,8,1,3
"96",5,4,3,4,1,1,7,5,7,8,5,3,2,2,2,6,1,6,7,5,6,8,8,7,8,5,4,4,3,8,4,6,3,7,8,4,4,5,7,1,1
"97",9,14,15,14,8,5,1,9,1,2,9,4,10,15,14,14,5,14,10,7,8,2,2,10,14,12,14,9,6,2,13,8,4,9,2,2,12,5,10,4,5
"98",9,8,5,8,4,4,1,9,6,7,1,3,2,6,6,8,6,8,1,9,9,2,2,1,6,2,8,8,7,7,1,9,6,3,7,2,8,9,1,1,2
"99",3,1,1,6,4,2,4,3,4,5,6,3,3,5,5,6,2,6,6,4,4,5,5,6,5,2,6,3,1,5,2,4,1,3,5,5,6,6,6,6,2
"100",4,1,7,2,6,3,7,4,6,4,4,8,8,5,4,2,3,2,2,6,6,5,5,2,5,7,2,4,1,5,6,6,1,8,8,5,2,4,2,2,3
