"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"35",1,1,4,1,3,4,6,5,5,5,5,5,5,5,5,5,1,1,2,1,1,1,1,1,6,3,6,1,4,1
"36",4,4,2,4,2,2,1,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,1,4,1,3,2,4
"37",4,5,2,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,6,2,4,4,4,4,2,1,2,3,2,2
"38",3,2,2,3,5,3,1,5,5,5,5,5,5,5,5,5,3,3,5,2,3,3,3,3,1,5,1,4,2,3
"39",4,4,5,4,5,5,3,5,5,5,5,5,5,5,5,5,4,4,2,5,4,4,4,4,3,6,3,1,5,5
"40",6,2,2,6,6,2,6,4,4,4,4,6,4,4,4,4,6,6,1,6,6,6,6,6,6,3,6,5,2,6
"41",4,5,2,4,2,2,4,2,2,2,2,2,2,2,2,2,4,4,1,2,4,4,4,4,4,3,4,4,2,2
"42",1,2,2,1,2,2,4,4,4,4,4,4,4,4,4,4,1,1,5,2,1,1,1,1,4,2,4,3,2,2
"43",2,2,3,2,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,1,3,2,3,2
"44",1,1,4,1,2,4,4,4,1,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,4,2,4,3,4,1
"45",4,4,7,4,7,7,1,2,2,2,2,2,2,2,2,2,4,4,3,4,4,4,4,4,1,6,1,5,7,7
"46",2,2,3,2,4,3,3,3,3,3,3,3,3,3,3,3,2,2,4,2,2,2,2,2,3,4,3,1,3,3
"47",2,2,4,2,3,4,4,4,4,4,4,4,4,4,4,4,2,2,3,4,2,2,2,2,4,3,4,1,4,4
"48",4,4,3,4,3,3,1,3,3,3,3,3,3,3,3,3,4,4,2,4,4,4,4,4,1,4,1,4,3,3
"49",1,1,4,1,4,4,5,4,4,4,4,4,4,4,4,4,1,1,1,4,1,1,1,1,5,2,5,3,4,4
"50",2,2,3,2,1,3,3,3,3,3,3,3,3,3,3,3,2,2,1,3,2,2,2,2,3,1,3,2,3,2
"51",3,2,2,3,2,2,2,2,3,3,3,3,3,3,3,3,4,3,2,2,3,2,2,2,1,2,2,2,2,2
"52",3,6,5,3,5,5,4,5,5,5,5,5,5,5,5,5,3,3,2,5,3,3,3,3,4,7,4,1,5,5
"53",3,3,4,3,2,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,2,4,1,4,4
"54",1,2,4,1,4,4,4,4,1,4,4,4,4,4,4,4,1,1,5,4,1,1,1,1,4,6,4,3,4,4
"55",4,3,3,4,3,3,2,5,4,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,2,5,2,1,3,3
"56",7,7,4,7,4,4,6,2,7,2,2,2,2,2,2,2,7,7,3,7,7,7,7,7,6,5,6,1,4,7
"57",5,5,1,5,1,1,5,4,5,4,4,4,4,4,4,4,5,5,2,5,5,5,5,5,5,5,5,3,1,5
"58",6,2,2,6,2,2,4,3,3,3,3,3,3,3,3,3,6,6,5,3,6,6,6,6,4,3,4,1,2,2
"59",1,1,2,1,5,2,2,4,4,4,4,4,4,4,4,4,1,1,5,1,1,1,1,1,2,5,2,3,2,2
"60",1,1,4,1,4,4,1,4,4,4,4,4,4,1,4,4,1,1,3,1,1,1,1,1,1,5,1,2,4,1
"61",5,4,4,5,4,4,1,5,1,5,1,5,5,5,5,5,5,5,2,4,5,5,5,5,1,4,1,3,4,5
"62",4,2,2,4,2,2,5,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,5,3,5,1,2,2
"63",2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,2,3,3,3,3,3,3,3,3,3
"64",3,2,2,3,1,2,2,1,1,1,1,1,1,1,1,1,3,3,1,1,3,3,3,3,2,1,2,3,2,2
"65",1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,2,1,1,2,1
"66",2,6,6,2,6,6,5,1,2,1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,5,2,5,4,6,6
"67",1,4,4,1,4,4,1,3,3,3,3,3,3,3,3,3,1,1,5,4,1,1,1,1,1,2,1,1,4,4
"68",6,6,5,6,5,5,2,2,2,2,2,2,2,2,2,2,6,6,4,6,6,6,6,6,2,1,2,3,5,5
"69",1,3,5,1,5,5,1,5,5,5,5,5,5,5,5,5,1,1,2,5,1,1,1,1,1,4,1,1,5,1
"70",4,4,2,4,2,2,6,2,2,2,2,2,2,2,2,2,4,4,3,2,4,4,4,4,6,1,6,5,2,4
"71",3,4,2,3,2,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,1,4,4,2,2
"72",3,3,4,3,2,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,3,3,3,3,4,2,4,1,4,4
"73",1,3,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,3,1
"74",4,1,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4,4,6,5,4,4,4,4,3,2,3,4,5,5
"75",2,3,3,2,5,3,4,5,5,5,5,5,5,5,5,5,2,2,5,5,2,2,2,2,4,5,4,1,3,3
"76",2,2,2,2,2,2,2,2,2,4,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2
"77",2,2,4,2,4,4,1,7,7,7,7,7,7,7,7,7,2,2,3,2,2,2,2,2,1,6,1,5,4,4
"78",2,3,3,2,3,3,3,3,4,2,4,2,2,2,2,2,1,2,3,2,2,3,3,3,3,4,3,3,3,3
"79",3,2,1,3,2,2,2,2,2,3,2,2,3,3,3,3,2,3,2,2,3,2,2,2,2,2,2,2,3,2
"80",4,2,2,4,2,2,1,5,5,5,5,5,5,5,5,5,4,4,3,2,4,4,4,4,1,2,1,4,2,4
"81",4,4,3,4,5,3,3,3,3,3,3,3,3,3,3,3,4,4,1,4,4,4,4,4,3,5,3,2,3,4
"82",2,3,3,2,5,3,1,5,2,5,5,5,5,5,5,5,4,2,5,2,2,2,2,2,1,2,1,2,2,3
"83",6,6,4,6,4,4,1,3,6,3,3,3,3,3,3,3,6,6,5,6,6,6,6,6,1,2,1,6,4,6
"84",5,4,4,5,4,4,5,3,3,3,3,3,3,3,3,3,5,5,6,5,5,5,5,5,5,2,5,1,4,4
"85",3,2,2,3,1,2,2,1,1,1,1,1,1,1,1,1,3,3,1,2,3,3,3,3,2,1,2,3,2,2
"86",1,2,2,1,3,2,4,3,3,3,3,3,3,3,3,3,1,1,3,3,1,1,1,1,4,3,4,1,2,2
"87",3,3,4,3,4,4,1,5,3,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,1,2,1,3,4,3
"88",2,1,1,2,1,1,1,1,1,2,1,2,2,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1
"89",5,4,4,5,4,4,6,2,2,2,2,2,2,2,2,2,5,5,3,4,5,5,5,5,6,4,6,1,4,4
"90",2,3,3,2,4,2,2,3,2,3,2,3,3,3,3,3,2,2,1,3,2,2,2,2,2,4,2,2,3,3
"91",3,3,1,3,1,1,2,1,1,1,1,1,1,1,1,1,3,3,5,1,3,3,3,3,2,4,2,3,1,3
"92",5,6,6,5,5,6,3,3,3,3,3,3,3,3,3,3,5,5,4,3,5,5,5,5,3,1,3,2,6,5
"93",6,6,1,6,1,1,4,1,1,1,1,1,1,1,1,1,6,6,3,1,6,6,6,6,4,2,4,5,1,6
"94",3,3,2,3,1,3,5,1,3,1,1,1,1,1,1,1,4,3,1,3,3,3,3,3,5,6,3,3,3,2
"95",4,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,1,3,3,3,2,2
"96",2,2,1,2,1,1,4,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,4,2,4,5,1,1
"97",3,3,2,3,2,3,3,1,1,1,1,1,1,1,1,1,3,3,2,1,3,3,3,3,3,1,3,4,2,2
"98",4,3,3,4,7,3,5,2,2,2,2,4,2,2,2,4,6,4,4,4,4,4,4,4,5,4,5,1,4,3
"99",1,3,4,1,4,1,1,2,1,2,2,2,2,2,2,2,1,1,4,2,1,1,1,1,1,2,1,5,4,1
"100",5,3,2,5,1,2,2,2,2,2,2,2,2,2,2,2,5,5,1,2,5,5,5,5,2,1,2,4,2,2
