"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"13",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"14",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"15",9,1,9,6,5,6,3,1,6,5,1,6,1,3,1,3,5,1,1,8,3,5,8,5,5,6,9,3,8,5,5,5,5,5,5
"16",3,5,3,7,6,7,2,5,7,6,5,7,5,2,5,2,6,5,5,8,2,6,8,6,6,7,3,2,8,6,6,6,6,6,6
"17",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"18",6,2,6,8,3,8,7,2,8,3,2,8,2,7,7,5,3,2,2,4,7,3,4,3,3,8,6,7,4,3,3,3,3,3,3
"19",3,2,3,7,6,7,4,2,7,6,2,7,2,4,4,4,6,2,2,3,4,6,3,6,6,7,3,4,3,6,6,6,6,6,6
"20",1,3,1,3,7,3,6,8,3,7,8,3,8,6,8,6,7,8,8,4,6,7,4,7,7,3,1,6,4,7,7,7,7,7,7
"21",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"22",2,3,2,3,6,3,7,4,3,6,4,3,4,7,4,7,6,4,4,1,7,6,1,6,6,3,2,7,1,6,6,6,6,6,6
"23",2,5,2,8,6,8,1,7,8,6,7,8,7,1,7,1,6,7,7,4,1,6,4,6,6,8,2,1,4,6,6,6,6,6,6
"24",8,5,8,4,3,4,9,7,4,3,7,4,7,9,7,9,3,7,7,6,9,3,6,3,3,4,8,9,6,3,3,3,3,3,3
"25",4,5,4,5,1,5,7,2,5,1,2,5,2,7,2,7,1,2,2,3,7,1,3,1,1,5,4,7,3,1,1,1,1,1,1
"26",6,5,6,1,2,1,7,1,1,2,5,1,5,7,7,7,2,5,5,6,7,2,6,2,2,1,6,7,6,2,2,2,2,2,2
"27",3,6,3,3,1,3,7,9,3,1,9,3,9,7,9,7,1,9,9,2,7,1,2,1,1,3,3,7,2,1,1,1,1,1,1
"28",4,7,4,8,3,8,4,7,8,3,7,8,7,4,7,4,3,7,7,6,4,3,6,3,3,8,4,4,6,3,3,3,3,3,3
"29",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"30",7,9,7,3,5,3,8,3,3,5,9,3,9,8,9,8,5,9,9,2,8,5,2,5,5,3,7,8,2,5,5,5,5,5,5
"31",8,4,8,3,6,3,1,5,3,6,5,3,5,1,5,1,6,5,5,2,1,6,2,6,6,3,8,1,2,6,6,6,6,6,6
"32",8,3,8,7,2,7,6,1,7,2,1,7,1,6,1,6,2,1,1,3,6,2,3,2,2,7,8,6,3,2,2,2,2,2,2
"33",8,6,8,6,5,6,7,2,6,5,2,6,2,7,2,7,5,2,2,1,7,5,1,5,5,6,8,7,1,5,5,5,5,5,5
"34",6,2,6,6,3,6,5,2,6,3,2,6,2,5,2,5,3,2,2,1,5,3,1,3,3,6,6,5,1,3,3,3,3,3,3
"35",3,1,3,1,4,1,2,5,1,4,5,1,5,2,5,2,4,5,5,6,2,4,6,4,4,1,3,2,6,4,4,4,4,4,4
"36",6,4,6,4,3,4,5,1,4,3,1,4,1,5,1,5,3,1,1,2,5,3,2,3,3,4,6,5,2,3,3,3,3,3,3
"37",5,7,5,6,8,6,3,7,6,8,7,6,7,3,7,3,8,7,7,4,3,8,4,8,8,6,5,3,4,8,8,8,8,8,8
"38",1,5,1,3,4,3,2,5,3,4,5,3,5,2,2,7,4,5,5,9,2,4,9,4,4,3,1,2,9,4,4,4,4,4,4
"39",4,3,4,5,2,5,4,1,5,2,1,5,1,4,1,4,2,1,1,6,4,2,6,2,2,5,4,4,6,2,2,2,2,2,2
"40",4,5,4,5,3,5,2,6,5,3,6,5,6,2,6,2,3,6,6,1,2,3,1,3,3,5,4,2,1,3,3,3,3,3,3
"41",6,7,6,6,2,6,1,7,6,2,7,6,7,1,1,1,2,7,7,4,1,2,4,2,2,6,6,1,4,2,2,2,2,2,2
"42",1,6,1,6,2,6,3,5,6,2,5,6,5,3,5,3,2,5,5,9,3,2,9,2,2,6,1,3,9,2,2,2,2,2,2
"43",1,4,1,3,5,3,2,4,3,5,4,3,4,2,2,2,5,4,4,1,2,5,1,5,5,3,1,2,1,5,5,5,5,5,5
"44",8,4,8,4,1,4,5,7,4,1,7,4,7,5,5,6,1,7,7,6,5,1,6,1,1,4,8,5,6,1,1,1,1,1,1
"45",6,3,6,8,2,8,1,3,8,2,3,8,3,1,1,5,2,3,3,7,1,2,7,2,2,8,6,1,7,2,2,2,2,2,2
"46",1,4,1,1,2,1,6,4,1,2,4,1,4,6,4,6,2,4,4,5,6,2,5,2,2,1,1,6,5,2,2,2,2,2,2
"47",4,6,4,6,3,6,2,1,6,3,1,6,1,2,1,2,3,1,1,7,2,3,7,3,3,6,4,2,7,3,3,3,3,3,3
"48",6,3,6,3,2,3,1,7,3,2,7,3,7,1,7,1,2,7,7,8,1,2,8,2,2,3,6,1,8,2,2,2,2,2,2
"49",7,5,7,5,6,5,1,4,5,6,4,5,4,1,4,1,6,4,4,2,1,6,2,6,6,5,7,1,2,6,6,6,6,6,6
"50",6,9,6,4,3,4,7,1,4,3,1,4,1,7,1,7,3,1,1,5,7,3,5,3,3,4,6,7,5,3,3,3,3,3,3
"51",5,5,5,5,2,5,4,7,5,2,7,5,7,4,7,4,2,7,7,3,4,2,3,2,2,5,5,4,3,2,2,2,2,2,2
"52",1,3,1,1,2,1,4,3,1,2,3,1,3,4,4,4,2,3,3,5,4,2,5,2,2,1,1,4,5,2,2,2,2,2,2
"53",7,1,7,4,3,4,8,1,4,3,1,4,1,8,8,8,3,1,1,2,8,3,2,3,3,4,7,8,2,3,3,3,3,3,3
"54",3,4,3,4,7,4,5,1,4,7,1,4,1,5,1,5,7,1,1,2,5,7,2,7,7,4,3,5,2,7,7,7,7,7,7
"55",1,5,1,5,4,5,8,9,5,4,9,5,9,8,9,8,4,9,9,6,8,4,6,4,4,5,1,8,6,4,4,4,4,4,4
"56",9,4,9,8,2,8,1,8,8,2,4,8,4,1,4,1,2,4,4,5,1,2,5,2,2,8,9,1,5,2,2,2,2,2,2
"57",3,1,3,3,5,3,4,1,3,5,1,3,1,4,1,4,5,1,1,2,4,5,2,5,5,3,3,4,2,5,5,5,5,5,5
"58",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"59",6,1,6,4,3,4,8,1,4,3,1,4,1,8,1,8,3,1,1,5,8,3,5,3,3,4,6,8,5,3,3,3,3,3,3
"60",8,7,8,8,4,8,6,5,8,4,5,8,5,6,5,6,4,5,5,1,6,4,1,4,4,8,8,6,1,4,4,4,4,4,4
"61",2,7,2,8,6,8,5,1,8,6,1,8,1,5,1,5,6,1,1,3,5,6,3,6,6,8,2,5,3,6,6,6,6,6,6
"62",2,3,2,2,4,2,6,3,2,4,3,2,3,6,6,6,4,3,3,1,6,4,1,4,4,2,2,6,1,4,4,4,4,4,4
"63",3,6,3,6,7,6,5,8,6,7,8,6,8,5,8,5,7,8,8,2,5,7,2,7,7,6,3,5,2,7,7,7,7,7,7
"64",7,5,7,4,1,4,7,2,4,1,2,4,2,7,2,7,1,2,2,3,7,1,3,1,1,4,7,7,3,1,1,1,1,1,1
"65",4,6,4,6,5,6,7,2,6,5,2,6,2,7,2,7,5,2,2,1,7,5,1,5,5,6,4,7,1,5,5,5,5,5,5
"66",6,3,6,5,1,5,7,3,5,1,3,5,3,7,7,7,1,3,3,8,7,1,8,1,1,5,6,7,8,1,1,1,1,1,1
"67",7,6,7,6,4,6,5,1,6,4,1,6,1,5,1,5,4,1,1,2,5,4,2,4,4,6,7,5,2,4,4,4,4,4,4
"68",8,5,8,1,9,1,4,1,1,9,5,1,5,4,4,4,9,5,5,7,4,9,7,9,9,1,8,4,7,9,9,9,9,9,9
"69",5,7,5,7,6,7,2,8,7,6,8,7,8,2,8,3,6,8,8,4,2,6,4,6,6,7,5,2,4,6,6,6,6,6,6
"70",5,6,5,5,8,5,7,6,5,8,6,5,6,7,6,7,8,6,6,3,7,8,3,8,8,5,5,7,3,8,8,8,8,8,8
"71",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"72",4,8,4,3,6,3,5,3,3,6,8,3,8,5,8,5,6,8,8,7,5,6,7,6,6,3,4,5,7,6,6,6,6,6,6
"73",4,1,4,6,7,6,9,1,6,7,1,6,1,9,9,8,7,1,1,2,9,7,2,7,7,6,4,9,2,7,7,7,7,7,7
"74",4,2,4,7,6,7,5,7,7,6,2,7,2,5,2,5,6,2,2,1,5,6,1,6,6,7,4,5,1,6,6,6,6,6,6
"75",5,1,5,1,7,1,8,2,1,7,2,1,2,8,8,9,7,2,2,9,8,7,9,7,7,1,5,8,9,7,7,7,7,7,7
"76",3,7,3,6,4,6,5,1,6,4,1,6,1,5,1,5,4,1,1,8,5,4,8,4,4,6,3,5,8,4,4,4,4,4,4
"77",3,2,3,8,6,8,5,2,8,6,2,8,2,5,2,5,6,2,2,4,5,6,4,6,6,8,3,5,4,6,6,6,6,6,6
"78",5,7,5,8,3,8,6,9,8,3,9,8,9,6,9,6,3,9,9,4,6,3,4,3,3,8,5,6,4,3,3,3,3,3,3
"79",2,5,2,4,6,4,1,5,4,6,5,4,5,1,1,7,6,5,5,3,1,6,3,6,6,4,2,1,3,6,6,6,6,6,6
"80",7,5,7,9,3,9,2,5,9,3,5,9,5,2,2,2,3,5,5,4,2,3,4,3,3,9,7,2,4,3,3,3,3,3,3
"81",3,3,3,4,7,4,8,2,4,7,2,4,2,8,2,8,7,2,2,5,8,7,5,7,7,4,3,8,5,7,7,7,7,7,7
"82",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"83",5,1,5,1,3,1,6,2,1,3,2,1,2,6,2,6,3,2,2,7,6,3,7,3,3,1,5,6,7,3,3,3,3,3,3
"84",2,7,2,8,4,8,6,5,8,4,5,8,5,6,5,6,4,5,5,3,6,4,3,4,4,8,2,6,3,4,4,4,4,4,4
"85",7,2,7,8,3,8,1,2,8,3,2,8,2,1,2,1,3,2,2,9,1,3,9,3,3,8,7,1,9,3,3,3,3,3,3
"86",5,1,5,9,7,9,6,1,9,7,1,9,1,6,1,6,7,1,1,5,6,7,5,7,7,9,5,6,5,7,7,7,7,7,7
"87",2,2,2,2,7,2,3,6,2,7,6,2,6,3,6,3,7,6,6,5,3,7,5,7,7,2,2,3,5,7,7,7,7,7,7
"88",7,8,7,5,2,5,6,8,5,2,8,5,8,6,6,3,2,8,8,3,6,2,3,2,2,5,7,6,3,2,2,2,2,2,2
"89",6,7,6,1,9,1,8,1,1,9,7,1,7,8,7,8,9,7,7,3,8,9,3,9,9,1,6,8,3,9,9,9,9,9,9
"90",8,4,8,2,3,2,6,5,2,3,5,2,5,6,5,6,3,5,5,1,6,3,1,3,3,2,8,6,1,3,3,3,3,3,3
"91",5,3,5,4,1,4,6,4,4,1,3,4,3,6,6,8,1,3,3,2,6,1,2,1,1,4,5,6,2,1,1,1,1,1,1
"92",6,2,6,6,1,6,5,2,6,1,2,6,2,5,2,5,1,2,2,3,5,1,3,1,1,6,6,5,3,1,1,1,1,1,1
"93",3,4,3,4,5,4,1,2,4,5,2,4,2,1,2,1,5,2,2,3,1,5,3,5,5,4,3,1,3,5,5,5,5,5,5
"94",2,4,2,3,5,3,6,3,3,5,4,3,4,6,6,6,5,4,4,1,6,5,1,5,5,3,2,6,1,5,5,5,5,5,5
"95",1,4,1,7,5,7,1,7,7,5,4,7,4,1,4,2,5,4,4,3,1,5,3,5,5,7,1,1,3,5,5,5,5,5,5
"96",6,8,6,4,5,4,6,8,4,5,8,4,8,6,8,1,5,8,8,7,6,5,7,5,5,4,6,6,7,5,5,5,5,5,5
"97",7,4,7,4,9,4,1,5,4,9,5,4,5,1,5,1,9,5,5,2,1,9,2,9,9,4,7,1,2,9,9,9,9,9,9
"98",8,6,8,9,1,9,2,6,9,1,6,9,6,2,6,2,1,6,6,7,2,1,7,1,1,9,8,2,7,1,1,1,1,1,1
"99",5,2,5,2,8,2,9,4,2,8,4,2,4,9,9,3,8,4,4,6,9,8,6,8,8,2,5,9,6,8,8,8,8,8,8
"100",5,6,5,3,4,3,2,6,3,4,6,3,6,2,6,2,4,6,6,1,2,4,1,4,4,3,5,2,1,4,4,4,4,4,4
