"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"24",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"25",9,4,4,9,4,11,3,7,13,3,3,1,1,12,12,13,13,4,13,2,4,2,2,1,2,3,7,7,2,12,12,1,9,13
"26",2,12,1,2,1,10,8,7,9,8,8,6,6,13,13,13,9,12,9,4,1,4,4,6,4,8,7,7,4,10,13,6,2,9
"27",11,3,7,11,7,8,12,9,10,12,12,2,2,1,1,10,10,3,10,13,7,13,13,2,13,12,9,9,13,1,1,2,11,10
"28",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"29",10,7,1,10,1,7,5,8,4,5,5,9,9,9,9,4,4,7,4,6,1,6,6,9,6,5,8,8,9,2,9,9,10,4
"30",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"31",2,7,1,2,1,3,4,8,3,4,4,5,1,1,3,1,3,7,3,10,1,10,10,5,10,4,8,8,10,9,1,5,2,3
"32",5,12,11,5,11,10,4,10,3,4,4,10,3,3,3,3,3,12,3,1,11,1,1,10,1,4,10,10,1,6,3,10,5,3
"33",9,11,8,9,8,10,6,7,3,6,6,7,7,1,1,3,3,11,3,2,8,2,2,7,2,6,7,7,2,1,1,7,9,3
"34",10,8,6,10,6,1,4,11,5,4,4,3,6,6,3,6,5,8,5,2,6,2,2,3,2,4,11,11,2,12,6,3,10,5
"35",10,10,4,10,4,13,1,8,9,1,1,8,8,9,9,9,9,10,9,12,4,12,12,8,12,1,8,8,12,9,9,8,10,9
"36",2,11,9,2,9,4,8,6,3,8,8,6,6,10,10,10,3,11,3,5,9,5,5,6,5,8,6,6,5,7,10,6,2,3
"37",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"38",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"39",8,12,2,8,2,3,1,6,3,1,1,7,7,10,10,10,3,12,3,11,2,11,11,7,11,1,6,6,11,10,10,7,8,3
"40",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"41",8,5,1,8,1,11,3,4,7,3,3,11,11,7,7,7,7,5,7,2,1,2,2,11,2,3,4,4,2,7,7,11,8,7
"42",9,2,8,9,8,6,11,7,5,11,11,1,1,5,5,5,5,2,5,4,8,4,4,1,4,11,7,7,4,10,5,1,9,5
"43",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"44",9,11,4,9,4,7,5,11,1,5,5,10,10,10,10,1,1,11,1,8,4,8,8,10,8,5,11,11,10,10,10,10,9,1
"45",1,7,10,1,10,3,2,14,5,2,2,4,10,10,4,10,5,7,5,13,10,13,13,4,13,2,14,14,13,6,10,4,1,5
"46",2,5,1,2,1,6,3,10,7,3,3,4,1,1,4,1,7,5,7,9,1,9,9,4,9,3,10,10,9,11,1,4,2,7
"47",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"48",5,3,14,5,14,9,1,11,7,1,1,11,11,10,10,10,7,3,7,8,14,8,8,11,8,1,11,11,8,2,10,11,5,7
"49",9,10,4,9,4,5,7,2,12,7,7,2,4,4,2,4,12,10,12,13,4,13,13,2,13,7,2,2,13,8,4,2,9,12
"50",9,11,3,9,3,8,5,10,6,5,5,7,7,7,7,6,6,11,6,4,3,4,4,7,4,5,10,10,7,11,7,7,9,6
"51",7,9,2,7,2,12,10,11,5,10,10,11,2,2,11,2,5,9,5,4,2,4,4,11,4,10,11,11,4,10,2,11,7,5
"52",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"53",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"54",7,2,5,7,5,6,10,3,9,10,10,3,5,5,3,5,9,2,9,1,5,1,1,3,1,10,3,3,1,8,5,3,7,9
"55",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"56",4,9,10,4,10,2,7,8,1,7,7,8,8,5,5,5,1,9,1,11,10,11,11,8,11,7,8,8,11,3,5,8,4,1
"57",7,5,5,7,5,1,6,2,3,6,6,2,2,8,8,8,3,5,3,4,5,4,4,2,4,6,2,2,4,1,8,2,7,3
"58",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"59",10,8,8,10,8,2,12,3,1,12,12,14,14,14,14,1,1,8,1,13,8,13,13,14,13,12,3,3,14,5,14,14,10,1
"60",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"61",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"62",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"63",11,14,1,11,1,5,2,8,3,2,2,12,12,12,12,3,3,14,3,6,1,6,6,12,6,2,8,8,12,10,12,12,11,3
"64",13,14,1,13,1,3,4,7,11,4,4,7,7,6,6,6,11,14,11,8,1,8,8,7,8,4,7,7,8,2,6,7,13,11
"65",8,4,6,8,6,9,2,4,7,2,2,1,1,1,1,7,7,4,7,5,6,5,5,1,5,2,4,4,1,1,1,1,8,7
"66",3,8,13,3,13,8,5,4,2,5,5,4,4,2,2,2,2,8,2,10,13,10,10,4,10,5,4,4,10,14,2,4,3,2
"67",10,1,6,10,6,3,11,7,12,11,11,4,4,9,9,9,12,1,12,13,6,13,13,4,13,11,7,7,13,3,9,4,10,12
"68",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"69",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"70",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"71",3,6,2,3,2,11,4,8,5,4,4,10,10,11,11,5,5,6,5,1,2,1,1,10,1,4,8,8,1,11,11,10,3,5
"72",9,4,1,9,1,2,6,14,13,6,6,14,1,1,14,1,13,4,13,8,1,8,8,14,8,6,14,14,8,12,1,14,9,13
"73",4,1,8,4,8,10,12,13,10,10,12,13,8,8,13,8,10,1,10,3,8,3,3,13,3,12,13,13,3,6,8,13,4,10
"74",9,8,7,9,7,12,10,5,4,10,10,11,11,6,6,4,4,8,4,5,7,5,5,11,5,10,5,5,11,6,6,11,9,4
"75",11,2,6,11,6,9,7,10,9,7,7,8,6,6,9,6,9,2,9,3,6,3,3,8,3,7,10,10,3,5,6,8,11,9
"76",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"77",4,6,5,4,5,3,7,2,10,7,7,3,3,10,10,10,10,6,10,8,5,8,8,3,8,7,2,2,8,10,10,3,4,10
"78",2,3,6,2,6,3,8,7,10,8,8,5,5,5,5,6,10,3,10,9,6,9,9,5,9,8,7,7,5,10,5,5,2,10
"79",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"80",8,1,3,8,3,13,12,4,5,12,12,10,3,3,10,3,5,1,5,6,3,6,6,10,6,12,4,4,6,9,3,10,8,5
"81",7,5,11,7,11,9,2,8,10,2,2,4,4,9,9,10,10,5,10,6,11,6,6,4,6,2,8,8,6,9,9,4,7,10
"82",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"83",1,7,9,1,9,13,5,2,12,5,5,11,11,11,11,12,12,7,12,10,9,10,10,11,10,5,2,2,11,6,11,11,1,12
"84",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"85",9,3,12,9,12,8,1,5,10,1,1,5,5,11,11,11,10,3,10,4,12,4,4,5,4,1,5,5,4,8,11,5,9,10
"86",3,1,1,3,1,8,4,6,11,4,4,6,6,9,9,9,11,1,11,2,1,2,2,6,2,4,6,6,2,11,9,6,3,11
"87",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"88",2,12,3,2,3,8,10,9,7,10,10,9,9,7,7,7,7,12,7,13,3,13,13,9,13,10,9,9,13,11,7,9,2,7
"89",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"90",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"91",6,10,5,6,5,12,13,3,7,13,13,3,3,1,1,1,7,10,7,9,5,9,9,3,9,13,3,3,9,9,1,3,6,7
"92",4,5,3,4,3,10,1,2,7,1,1,2,3,3,2,3,7,5,7,9,3,9,9,2,9,1,2,2,9,6,3,2,4,7
"93",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"94",7,6,3,7,3,13,4,5,11,4,4,5,5,9,9,9,11,6,11,13,3,13,13,5,13,4,5,5,13,2,9,5,7,11
"95",9,10,11,9,11,12,6,5,3,6,6,12,12,3,3,3,3,10,3,2,11,2,2,12,2,6,5,5,2,7,3,12,9,3
"96",7,8,10,7,10,8,9,5,12,9,9,11,11,4,4,12,12,8,12,10,10,10,10,11,10,9,5,5,11,4,4,11,7,12
"97",8,4,10,8,10,4,11,2,7,11,11,2,2,6,6,6,7,4,7,9,10,9,9,2,9,11,2,2,9,7,6,2,8,7
"98",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"99",11,12,8,11,8,11,9,6,4,9,9,6,6,4,4,4,4,12,4,2,8,2,2,6,2,9,6,6,2,4,4,6,11,4
"100",14,9,7,14,7,8,12,9,6,12,12,8,8,4,8,6,6,9,6,11,7,11,11,8,11,12,9,9,11,4,4,8,14,6
