"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"90",1,5,3,5,4,5,4,2,5,5,4,4,4,1,5,3,4,5,4,5,4,5,4,4,4
"91",2,3,6,3,5,3,5,1,3,3,6,2,5,2,3,6,2,3,5,1,5,3,5,4,5
"92",2,3,3,3,3,2,3,4,3,3,3,5,3,2,5,2,5,2,3,1,3,2,5,3,3
"93",1,4,4,4,2,4,4,6,4,4,4,2,2,1,5,5,2,4,2,4,2,5,2,3,2
"94",2,3,5,3,4,3,4,1,3,3,5,4,4,2,3,5,4,3,4,3,4,3,4,4,4
"95",1,2,4,2,5,2,5,5,2,2,5,3,5,1,2,5,3,2,5,3,5,2,5,5,5
"96",5,2,4,2,1,2,1,3,2,2,4,1,1,5,2,4,1,2,4,4,1,2,1,1,1
"97",2,7,1,7,5,7,1,4,7,7,1,6,5,2,7,1,6,7,1,6,5,7,6,3,5
"98",3,2,1,2,4,2,4,5,2,2,1,4,4,3,2,1,4,2,4,2,2,2,4,4,4
"99",1,5,2,5,5,1,2,6,5,5,2,4,5,1,4,2,4,5,5,2,5,5,4,3,5
"100",1,3,3,3,5,3,3,4,3,3,3,5,3,1,3,3,5,3,3,3,3,3,5,2,5
