"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"40",9,7,9,4,3,9,1,6,1,1,4,1,9,9,1,1,1,1,1,9,1,1,1,1,1,1,6,1,1,1,1,6,6
"41",4,5,4,2,6,4,1,1,1,1,2,1,4,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
"42",7,2,7,1,6,7,4,5,4,4,1,4,7,7,4,4,4,4,4,7,4,4,4,4,4,4,5,4,4,4,4,5,5
"43",5,4,5,2,1,5,3,1,3,3,2,3,5,5,3,3,3,3,3,5,3,3,3,3,3,3,1,3,3,3,3,1,1
"44",7,4,7,5,1,7,8,9,8,8,5,8,7,7,8,8,8,8,8,7,8,8,8,8,8,8,9,8,8,8,8,9,9
"45",5,9,5,2,4,5,7,8,7,7,2,7,5,5,7,7,7,7,7,5,7,7,7,7,7,7,8,7,7,7,7,8,8
"46",5,4,5,7,6,5,1,2,1,1,7,1,5,5,1,1,1,1,1,5,1,1,1,1,1,1,2,1,1,1,1,2,2
"47",7,4,7,3,1,7,9,2,9,9,3,9,7,7,9,9,9,9,9,7,9,9,9,9,9,9,2,9,9,9,9,2,2
"48",6,2,6,1,5,6,3,4,3,3,1,3,6,6,3,3,3,3,3,6,3,3,3,3,3,3,4,3,3,3,3,4,4
"49",9,8,9,2,7,9,4,6,4,4,2,4,9,9,4,4,4,4,4,9,4,4,4,4,4,4,6,4,4,4,4,6,6
"50",3,2,3,5,1,3,6,2,6,6,5,6,3,3,6,6,6,6,6,3,6,6,6,6,6,6,2,6,6,6,6,2,2
"51",3,2,3,8,1,3,7,5,7,7,8,7,3,3,7,7,7,7,7,3,7,7,7,7,7,7,5,7,7,7,7,5,5
"52",3,1,3,2,5,3,4,7,4,4,2,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,7,4,4,4,4,7,7
"53",3,2,3,4,5,3,1,1,1,1,4,1,3,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"54",1,4,1,8,2,1,3,2,3,3,8,3,1,1,3,3,3,3,3,1,3,3,3,3,3,3,2,3,3,3,3,2,2
"55",2,5,2,1,6,2,4,3,4,4,1,4,2,2,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,3,3
"56",9,6,9,7,1,9,5,3,5,5,7,5,9,9,5,5,5,5,5,9,5,5,5,5,5,5,3,5,5,5,5,3,3
"57",6,1,6,2,5,6,4,3,4,4,2,4,6,6,4,4,4,4,4,6,4,4,4,4,4,4,3,4,4,4,4,3,3
"58",4,5,4,6,3,4,1,2,1,1,6,1,4,4,1,1,1,1,1,4,1,1,1,1,1,1,2,1,1,1,1,2,2
"59",6,5,6,2,7,6,8,9,8,8,2,8,6,6,8,8,8,8,8,6,8,8,8,8,8,8,9,8,8,8,8,9,9
"60",6,5,6,7,4,6,3,8,3,3,7,3,6,6,3,3,3,3,3,6,3,3,3,3,3,3,8,3,3,3,3,8,8
"61",5,7,5,9,2,5,10,8,10,10,9,10,5,5,10,10,10,10,10,5,10,10,10,10,10,10,8,10,10,10,10,8,8
"62",8,7,8,3,2,8,1,4,1,1,3,1,8,8,1,1,1,1,1,8,1,1,1,1,1,1,4,1,1,1,1,4,4
"63",2,6,2,4,5,2,7,3,7,7,4,7,2,2,7,7,7,7,7,2,7,7,7,7,7,7,3,7,7,7,7,3,3
"64",3,6,3,4,5,3,7,1,7,7,4,7,3,3,7,7,7,7,7,3,7,7,7,7,7,7,1,7,7,7,7,1,1
"65",5,4,5,6,3,5,8,2,8,8,6,8,5,5,8,8,8,8,8,5,8,8,8,8,8,8,2,8,8,8,8,2,2
"66",2,5,2,3,1,2,4,6,4,4,3,4,2,2,4,4,4,4,4,2,4,4,4,4,4,4,6,4,4,4,4,6,6
"67",5,7,5,6,3,5,1,2,1,1,6,1,5,5,1,1,1,1,1,5,1,1,1,1,1,1,2,1,1,1,1,2,2
"68",5,7,5,8,1,5,2,6,2,2,8,2,5,5,2,2,2,2,2,5,2,2,2,2,2,2,6,2,2,2,2,6,6
"69",3,6,3,7,4,3,8,2,8,8,7,8,3,3,8,8,8,8,8,3,8,8,8,8,8,8,2,8,8,8,8,2,2
"70",5,4,5,8,7,5,6,1,6,6,8,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,1,6,6,6,6,1,1
"71",2,7,2,4,1,2,6,5,6,6,4,6,2,2,6,6,6,6,6,2,6,6,6,6,6,6,5,6,6,6,6,5,5
"72",3,5,3,1,7,3,6,4,6,6,1,6,3,3,6,6,6,6,6,3,6,6,6,6,6,6,4,6,6,6,6,4,4
"73",6,2,6,4,5,6,7,8,7,7,4,7,6,6,7,7,7,7,7,6,7,7,7,7,7,7,8,7,7,7,7,8,8
"74",2,6,2,3,1,2,5,4,5,5,3,5,2,2,5,5,5,5,5,2,5,5,5,5,5,5,4,5,5,5,5,4,4
"75",7,4,7,9,2,7,5,6,5,5,9,5,7,7,5,5,5,5,5,7,5,5,5,5,5,5,6,5,5,5,5,6,6
"76",2,4,2,5,7,2,6,1,6,6,5,6,2,2,6,6,6,6,6,2,6,6,6,6,6,6,1,6,6,6,6,1,1
"77",5,1,5,2,4,5,3,3,3,3,2,3,5,5,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3
"78",6,4,6,5,3,6,7,2,7,7,5,7,6,6,7,7,7,7,7,6,7,7,7,7,7,7,2,7,7,7,7,2,2
"79",2,8,2,5,3,2,7,6,7,7,5,7,2,2,7,7,7,7,7,2,7,7,7,7,7,7,6,7,7,7,7,6,6
"80",3,7,3,1,6,3,5,4,5,5,1,5,3,3,5,5,5,5,5,3,5,5,5,5,5,5,4,5,5,5,5,4,4
"81",8,1,8,6,5,8,10,9,10,10,6,10,8,8,10,10,10,10,10,8,10,10,10,10,10,10,9,10,10,10,10,9,9
"82",2,7,2,6,5,2,4,3,4,4,6,4,2,2,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,3,3
"83",6,2,6,4,3,6,5,1,5,5,4,5,6,6,5,5,5,5,5,6,5,5,5,5,5,5,1,5,5,5,5,1,1
"84",3,6,3,5,9,3,8,2,8,8,5,8,3,3,8,8,8,8,8,3,8,8,8,8,8,8,2,8,8,8,8,2,2
"85",6,2,6,4,3,6,1,4,1,1,4,1,6,6,1,1,1,1,1,6,1,1,1,1,1,1,4,1,1,1,1,4,4
"86",1,6,1,4,8,1,5,5,5,5,4,5,1,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
"87",3,1,3,5,6,3,4,7,4,4,5,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,7,4,4,4,4,7,7
"88",2,4,2,3,6,2,1,7,1,1,3,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,7,1,1,1,1,7,7
"89",5,10,5,3,9,5,4,2,4,4,3,4,5,5,4,4,4,4,4,5,4,4,4,4,4,4,2,4,4,4,4,2,2
"90",6,9,6,4,2,6,8,3,8,8,4,8,6,6,8,8,8,8,8,6,8,8,8,8,8,8,3,8,8,8,8,3,3
"91",3,8,3,6,7,3,2,5,2,2,6,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,5,2,2,2,2,5,5
"92",4,2,4,1,6,4,5,3,5,5,1,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,3,5,5,5,5,3,3
"93",1,3,1,6,8,1,7,5,7,7,6,7,1,1,7,7,7,7,7,1,7,7,7,7,7,7,5,7,7,7,7,5,5
"94",4,7,4,5,2,4,6,5,6,6,5,6,4,4,6,6,6,6,6,4,6,6,6,6,6,6,5,6,6,6,6,5,5
"95",1,5,1,6,3,1,4,2,4,4,6,4,1,1,4,4,4,4,4,1,4,4,4,4,4,4,2,4,4,4,4,2,2
"96",5,7,5,4,3,5,2,4,2,2,4,2,5,5,2,2,2,2,2,5,2,2,2,2,2,2,4,2,2,2,2,4,4
"97",8,1,8,6,2,8,7,2,7,7,6,7,8,8,7,7,7,7,7,8,7,7,7,7,7,7,2,7,7,7,7,2,2
"98",2,1,2,3,7,2,8,5,8,8,3,8,2,2,8,8,8,8,8,2,8,8,8,8,8,8,5,8,8,8,8,5,5
"99",8,2,8,10,6,8,9,3,9,9,10,9,8,8,9,9,9,9,9,8,9,9,9,9,9,9,3,9,9,9,9,3,3
"100",1,6,1,7,3,1,4,5,4,4,7,4,1,1,4,4,4,4,4,1,4,4,4,4,4,4,5,4,4,4,4,5,5
