"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"84",1,6,6,7,5,5,4,5,3,2,2,4,2,1,1,1,4,6
"85",3,6,6,7,5,5,2,5,4,1,1,2,1,3,3,2,4,6
"86",1,5,5,6,2,2,3,2,4,3,3,3,3,1,1,1,4,5
"87",4,5,5,6,1,1,3,1,4,3,3,3,3,2,2,4,4,5
"88",2,5,5,6,3,3,4,3,1,4,4,4,4,2,2,2,1,5
"89",2,5,5,6,1,1,3,1,4,3,3,3,3,2,2,2,4,5
"90",4,5,5,6,1,1,2,1,3,2,2,2,2,4,4,4,3,5
"91",4,5,5,6,2,2,1,2,4,1,1,1,1,3,3,4,4,5
"92",2,5,5,6,4,4,3,4,2,3,3,3,3,1,1,2,2,5
"93",1,5,5,6,3,3,4,3,2,4,4,4,4,1,1,1,2,5
"94",2,5,5,6,4,4,3,4,1,3,3,3,3,2,2,2,1,5
"95",3,5,5,6,4,4,1,4,2,1,1,1,1,3,3,3,2,5
"96",2,5,5,6,4,4,1,4,2,1,1,1,1,3,3,2,2,5
"97",4,5,5,6,2,2,1,2,3,1,1,1,1,4,4,4,3,5
"98",2,5,5,6,4,4,1,4,2,1,1,1,1,3,3,3,2,5
"99",2,5,5,6,4,4,3,4,2,3,3,3,3,1,1,1,2,5
"100",3,5,5,6,1,1,2,1,3,2,2,2,2,4,4,3,3,5
