"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"28",3,5,3,3,4,3,3,2,4,2,1,2,4,5,4,4,3,3,4,2,5,5,5,5,3,3,2,5,2,3,2,1,1,3,1,3,2,1,4,4,2,3,3,3
"29",4,6,1,4,5,1,4,2,3,2,3,2,5,6,3,3,1,4,3,5,6,6,6,6,1,1,2,6,2,4,5,3,3,1,3,5,2,6,5,6,5,4,1,4
"30",2,4,5,2,5,5,5,1,5,1,3,1,5,4,5,5,2,5,5,1,4,4,4,4,2,2,1,4,1,2,1,3,3,2,3,2,1,3,5,5,1,2,5,2
"31",2,3,1,2,5,1,2,4,5,4,6,4,5,3,5,5,1,2,5,5,3,3,3,3,1,1,4,3,4,2,4,6,6,1,6,5,4,6,5,3,5,2,1,2
"32",2,1,3,2,2,3,2,5,2,5,4,5,5,1,2,2,3,2,2,5,1,1,1,1,3,3,5,1,5,2,5,4,4,3,4,3,5,4,2,1,5,2,3,3
"33",2,5,3,2,1,3,1,4,1,4,6,4,1,5,1,1,3,1,1,4,5,5,5,5,3,3,4,5,4,2,4,6,6,3,6,3,4,6,1,1,4,2,3,2
"34",3,4,1,3,3,1,3,1,3,1,2,1,1,4,3,3,3,3,3,1,4,4,4,4,3,1,1,4,1,3,1,2,2,1,2,1,1,2,3,4,1,3,1,3
"35",4,2,3,4,4,3,4,5,4,5,1,5,5,2,4,4,3,4,4,5,2,2,2,2,3,3,5,2,5,4,5,1,1,3,1,3,5,1,4,2,5,4,3,3
"36",2,5,3,2,2,3,2,4,2,4,1,4,4,5,2,2,3,2,2,4,5,5,5,5,3,3,4,5,4,2,4,1,1,3,1,3,4,1,2,5,4,2,3,3
"37",4,3,2,4,2,2,2,1,2,1,5,1,2,3,2,2,4,2,2,2,3,3,3,3,4,4,1,3,1,4,2,5,5,4,5,2,1,5,2,2,2,4,2,4
"38",4,2,5,4,4,5,4,3,4,3,1,3,3,2,4,4,5,4,4,3,2,2,2,2,5,5,3,2,3,4,3,1,1,5,1,5,3,1,4,2,3,4,5,5
"39",2,6,5,2,1,5,2,3,1,3,4,3,1,6,1,1,5,2,1,1,6,6,6,6,5,5,3,6,3,2,3,4,4,5,4,1,3,4,1,6,1,2,5,2
"40",4,3,4,4,4,4,4,1,4,1,5,1,1,3,4,4,4,4,4,1,3,3,3,3,4,2,1,3,1,4,1,5,5,2,5,2,1,5,4,3,1,4,4,4
"41",4,3,5,4,4,5,4,1,4,1,2,1,1,3,4,4,5,4,4,1,3,3,3,3,5,5,1,3,1,4,1,2,2,5,2,5,1,2,4,3,1,4,5,5
"42",3,5,2,3,3,2,3,4,3,4,1,4,4,5,3,3,2,3,3,4,5,5,5,5,2,2,4,5,4,3,4,1,1,2,1,2,4,1,3,5,4,3,2,2
"43",5,2,1,5,1,1,5,1,3,1,3,1,1,4,3,3,2,5,3,1,2,4,4,4,2,2,1,4,1,5,1,3,3,2,3,2,1,4,1,4,1,5,1,5
"44",4,5,4,4,2,4,4,1,2,1,3,1,2,5,2,2,4,4,2,1,5,5,5,5,4,4,1,5,1,4,1,3,3,4,3,4,1,3,2,2,1,4,4,4
"45",4,1,2,4,2,2,2,5,2,5,3,5,2,1,2,2,4,2,2,2,1,1,1,1,4,4,5,1,5,4,2,3,3,4,3,2,5,3,2,2,2,4,2,4
"46",2,1,3,2,3,3,3,4,3,4,5,4,3,1,3,3,2,3,3,4,1,1,1,1,2,2,4,1,4,2,4,5,5,2,5,2,4,5,3,3,4,2,3,2
"47",5,3,4,5,5,4,5,1,5,1,2,1,1,3,5,5,4,5,5,1,3,3,3,3,4,4,1,3,1,5,1,2,2,4,2,4,1,2,5,3,1,5,4,4
"48",1,2,3,1,3,3,4,3,4,3,4,3,3,2,4,4,1,4,4,3,2,2,2,2,1,1,3,2,3,1,3,4,4,1,4,1,3,2,3,2,3,1,3,1
"49",2,3,4,2,2,4,2,5,2,5,1,5,5,3,2,2,4,2,2,5,3,3,3,3,4,4,5,3,5,2,5,1,1,4,1,4,5,1,2,3,5,2,4,4
"50",3,4,2,3,1,2,1,2,1,2,5,2,2,4,1,1,3,1,1,2,4,4,4,4,3,3,2,4,2,3,2,5,5,3,5,3,2,5,1,1,2,3,2,3
"51",1,2,4,1,3,4,3,4,3,4,5,4,4,2,3,3,1,3,3,4,2,2,2,2,1,1,4,2,4,1,4,5,5,1,5,1,4,5,3,3,4,1,4,1
"52",1,2,4,1,1,4,1,5,1,5,3,5,5,3,1,1,4,1,1,5,2,3,2,2,4,4,5,3,5,1,5,3,3,4,3,4,5,3,1,2,5,1,4,4
"53",4,3,5,4,4,5,4,1,4,1,2,1,5,2,4,4,4,4,4,5,3,2,3,3,4,1,1,2,5,4,5,2,2,1,2,4,5,2,4,3,5,4,5,4
"54",3,4,2,3,3,2,3,5,3,5,1,5,5,4,3,3,2,3,3,5,4,4,4,4,2,2,5,4,5,3,5,1,1,2,1,2,5,1,3,4,5,3,2,2
"55",2,3,1,2,2,1,2,1,2,1,4,1,1,3,2,2,2,2,2,1,3,3,3,3,2,5,1,3,1,2,1,4,4,5,4,5,1,4,2,3,1,2,1,2
"56",4,3,1,4,4,1,4,2,4,2,5,2,2,3,4,4,1,4,4,2,3,3,3,3,1,1,2,3,2,4,2,5,5,1,5,1,2,5,4,3,2,4,1,1
"57",1,4,3,1,1,3,1,3,1,3,2,3,1,4,1,1,1,1,1,1,4,4,4,4,1,3,3,4,3,1,3,2,2,3,2,1,3,2,1,4,1,1,3,1
"58",4,2,5,4,4,5,4,1,4,1,3,1,1,2,4,4,5,4,4,1,2,2,2,2,5,5,1,2,1,4,1,3,3,5,3,5,1,3,4,2,1,4,5,5
"59",1,5,1,1,1,1,1,2,1,2,3,2,1,5,1,1,1,1,1,1,5,5,5,5,1,4,2,5,2,1,2,3,3,4,3,1,2,3,1,5,1,1,1,1
"60",5,1,4,5,5,4,5,3,5,3,2,3,3,1,5,5,4,5,5,3,1,1,1,1,4,4,3,1,3,5,3,2,2,4,2,4,3,2,5,1,3,5,4,4
"61",1,3,2,1,1,2,1,4,1,4,5,4,4,3,1,1,2,1,1,4,3,3,3,3,2,2,4,3,4,1,4,5,5,2,5,2,4,5,1,3,4,1,2,2
"62",1,3,2,1,4,2,1,2,4,2,5,2,4,3,4,4,2,1,4,4,3,3,3,1,2,2,2,3,3,1,4,5,5,2,5,4,3,3,4,4,4,1,2,1
"63",5,2,1,5,4,1,4,3,4,3,6,3,4,2,4,4,1,4,4,3,2,2,2,2,1,1,3,2,3,5,3,6,6,1,6,1,3,6,4,4,3,5,1,5
"64",2,5,1,2,1,1,1,4,1,4,3,4,1,5,1,1,2,1,1,4,5,5,5,5,2,2,4,5,4,2,4,3,3,2,3,2,4,3,1,1,4,2,1,2
"65",3,2,1,3,3,1,3,1,3,1,4,1,3,2,3,3,3,3,3,3,2,2,2,2,3,1,1,2,1,3,1,4,4,1,4,3,1,4,3,2,3,3,1,3
"66",2,4,3,2,3,3,2,1,5,1,5,1,3,4,5,5,2,2,5,1,4,4,4,4,2,1,1,4,1,2,3,5,5,2,5,3,1,4,3,4,3,2,3,2
"67",2,5,1,2,2,1,2,3,2,3,4,3,2,5,2,2,1,2,2,2,5,5,5,5,1,1,3,5,3,2,3,4,4,1,4,2,3,4,2,5,2,2,1,1
"68",2,4,1,2,2,1,2,1,2,1,3,1,1,4,2,2,2,2,2,1,4,4,4,4,2,5,1,4,1,2,1,3,3,5,3,5,1,3,2,4,1,2,1,2
"69",1,2,4,1,1,4,1,4,1,4,3,4,4,2,1,1,1,1,1,4,2,2,2,2,1,5,4,2,4,1,4,3,3,5,3,5,4,3,1,2,4,1,4,1
"70",2,1,5,2,3,5,2,5,3,5,4,5,3,1,3,3,2,2,3,3,1,1,1,1,2,5,5,1,5,2,5,4,4,5,4,3,5,4,3,1,3,2,5,2
"71",2,3,4,2,5,4,2,4,5,4,1,4,5,3,5,5,4,2,5,5,3,3,3,2,4,4,4,3,3,2,5,1,1,4,1,5,3,3,5,5,5,2,4,2
"72",4,1,2,4,4,2,4,2,4,2,3,2,4,1,4,4,2,4,4,4,1,1,1,1,2,2,2,1,1,4,1,3,3,2,3,4,1,1,4,1,4,4,2,2
"73",5,2,4,5,4,4,4,3,4,3,1,3,4,2,4,4,5,4,4,3,2,2,2,2,5,5,3,2,3,5,3,1,1,5,1,5,3,1,4,4,3,5,4,5
"74",1,2,1,1,3,1,1,4,3,4,3,4,3,2,3,3,1,1,3,4,2,2,2,2,1,1,4,2,4,1,4,3,3,1,3,1,4,2,3,2,4,1,1,1
"75",3,5,1,3,4,1,4,1,4,1,2,1,1,5,4,4,3,4,4,1,5,5,5,5,3,3,1,5,1,3,1,2,2,3,2,3,1,2,4,4,1,3,1,3
"76",5,1,2,5,5,2,5,2,5,2,3,2,2,1,5,5,5,5,5,2,1,1,1,1,5,4,2,1,2,5,2,3,3,4,3,4,2,3,5,1,2,5,2,5
"77",3,4,1,3,3,1,3,1,3,1,2,1,1,4,3,3,3,3,3,1,4,4,4,4,3,5,1,4,1,3,1,2,2,5,2,5,1,2,3,4,1,3,1,3
"78",4,1,5,4,4,5,4,5,4,5,2,5,5,1,4,4,4,4,4,5,1,1,1,1,4,3,5,1,5,4,5,2,2,3,2,3,5,2,4,1,5,4,5,4
"79",1,2,1,1,1,1,1,4,1,4,3,4,1,2,1,1,1,1,1,1,2,2,2,2,1,5,4,2,4,1,4,3,3,5,3,1,4,3,1,2,1,1,1,1
"80",5,4,1,5,1,1,1,3,1,3,2,3,1,4,1,1,5,1,1,1,4,4,4,4,5,5,3,4,3,5,1,2,2,5,2,1,3,2,1,1,1,5,1,5
"81",4,3,1,4,4,1,4,1,4,1,2,1,4,3,4,4,4,4,4,4,3,3,3,3,4,1,1,3,1,4,1,2,2,1,2,4,1,2,4,3,4,4,1,4
"82",5,2,4,5,5,4,5,4,5,4,1,4,4,3,5,5,5,5,5,4,2,3,3,3,5,2,4,3,4,5,4,1,1,2,1,5,4,3,5,3,4,5,4,5
"83",5,2,4,5,5,4,5,4,5,4,1,4,4,2,5,5,5,5,5,4,2,2,2,2,5,3,4,2,4,5,4,1,1,3,1,3,4,1,5,2,4,5,4,5
"84",2,5,1,2,2,1,2,1,2,1,3,1,1,5,2,2,2,2,2,1,5,5,5,5,2,4,1,5,1,2,1,3,3,4,3,4,1,3,2,5,1,2,1,2
"85",2,3,1,2,2,1,2,5,2,5,4,5,5,3,2,2,1,2,2,5,3,3,3,3,1,1,5,3,5,2,5,4,4,1,4,1,5,4,2,3,5,2,1,1
"86",2,1,3,2,3,3,3,5,3,5,4,5,3,1,3,3,2,3,3,5,1,1,1,1,2,2,5,1,5,2,5,4,4,2,4,2,5,4,3,3,5,2,3,2
"87",4,2,3,4,4,3,4,3,4,3,1,3,3,2,4,4,4,4,4,3,2,2,2,2,4,5,3,2,3,4,3,1,1,5,1,5,3,1,4,2,3,4,3,4
"88",1,5,4,1,4,4,4,2,4,2,3,2,4,5,4,4,1,4,4,4,5,5,5,5,1,1,2,5,2,1,4,3,3,1,3,4,2,3,4,4,4,1,4,1
"89",2,3,1,2,5,1,5,1,5,1,4,1,1,3,5,5,2,5,5,1,3,3,3,3,2,2,1,3,1,2,1,4,4,2,4,2,1,4,5,5,1,2,1,2
"90",2,5,2,2,1,2,2,3,1,3,4,3,1,4,1,1,2,2,1,3,5,5,5,4,2,2,3,5,3,2,3,4,4,2,4,2,3,4,1,5,3,2,2,2
"91",4,1,5,4,5,5,5,2,5,2,3,2,5,1,5,5,4,5,5,5,1,1,1,1,4,4,2,1,2,4,5,3,3,4,3,5,2,3,5,5,5,4,5,4
"92",4,3,1,4,4,1,4,1,4,1,2,1,1,3,4,4,4,4,4,1,3,3,3,3,4,1,1,3,1,4,1,2,2,1,2,1,1,2,4,3,1,4,1,4
"93",2,3,2,2,2,2,2,4,2,4,5,4,4,1,2,2,2,2,2,4,3,1,1,1,2,3,4,1,4,2,4,5,5,3,5,2,4,1,2,1,4,2,2,2
"94",3,1,4,3,5,4,3,4,5,4,6,4,5,1,5,5,2,3,5,5,1,1,1,1,2,2,4,1,4,3,4,6,6,2,6,5,4,6,5,1,5,3,4,3
"95",1,5,2,1,1,2,1,4,1,4,3,4,4,5,1,1,2,1,1,4,5,5,5,5,2,2,4,5,4,1,4,3,3,2,3,2,4,3,1,5,4,1,2,2
"96",4,2,3,4,3,3,3,5,3,5,1,5,3,2,3,3,4,3,3,3,2,2,2,2,4,4,5,2,5,4,3,1,1,4,1,3,5,1,3,3,3,4,3,4
"97",1,2,4,1,1,4,5,4,5,4,3,4,5,2,5,5,5,5,5,1,2,2,2,2,5,4,4,2,4,1,4,3,3,4,3,1,4,3,1,5,1,1,4,1
"98",2,5,4,2,4,4,4,3,4,3,1,3,4,5,4,4,2,4,4,4,5,5,5,5,2,2,3,5,3,2,4,1,1,2,1,4,3,1,4,4,4,2,4,2
"99",5,3,4,5,5,4,5,2,5,2,1,2,2,3,5,5,4,5,5,2,3,3,3,3,4,4,2,3,2,5,2,1,1,4,1,4,2,1,5,3,2,5,4,4
"100",1,4,3,1,3,3,3,2,3,2,5,2,3,4,3,3,1,3,3,2,4,4,4,4,1,1,2,4,2,1,2,5,5,1,5,1,2,5,3,3,2,1,3,1
