"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"22",4,1,1,5,5,7,1,5,1,7,1,7,7,7,2,3,3,7,3,3,3,3,3,3,7,3
"23",1,3,3,4,4,6,3,4,3,6,3,6,6,6,7,8,8,6,8,8,8,8,8,8,6,8
"24",8,6,6,9,9,3,6,9,6,3,6,3,3,3,7,1,1,3,1,1,1,1,1,1,3,1
"25",6,3,5,3,4,1,5,4,5,1,5,1,1,1,8,7,7,1,7,7,7,7,7,7,1,7
"26",6,3,3,1,1,2,3,1,3,2,3,2,2,2,6,5,5,2,5,5,5,5,5,5,2,5
"27",7,6,1,6,5,9,1,5,1,9,1,9,9,9,3,2,2,9,2,2,2,2,2,2,9,2
"28",9,1,6,1,8,2,6,8,6,2,6,2,2,2,7,4,4,2,4,4,4,4,4,4,2,4
"29",1,3,4,7,7,8,4,7,4,8,4,8,8,8,2,9,9,8,9,9,9,9,9,9,8,9
"30",1,3,5,3,3,6,5,3,5,6,5,6,6,6,1,4,4,6,4,4,4,4,4,4,6,4
"31",5,1,1,2,2,8,1,2,1,8,1,8,8,8,4,3,3,8,3,3,3,3,3,3,8,3
"32",3,2,2,5,5,6,2,5,2,6,2,6,6,6,1,4,4,6,4,4,4,4,4,4,6,4
"33",5,6,6,4,4,1,6,4,6,1,6,1,1,1,8,2,2,1,2,2,2,2,2,2,1,2
"34",1,2,2,7,7,4,2,7,2,4,2,4,4,4,6,3,3,4,3,3,3,3,3,3,4,3
"35",2,2,2,7,7,4,2,7,2,4,2,4,4,4,3,6,6,4,6,6,6,6,6,6,4,6
"36",4,1,1,2,2,8,1,2,1,8,1,8,8,8,3,6,6,8,6,6,6,6,6,6,8,6
"37",6,2,3,2,4,7,3,4,3,7,3,7,7,7,5,1,1,7,1,1,1,1,1,1,7,1
"38",4,1,7,9,9,3,7,9,7,3,7,3,3,3,5,6,6,3,6,6,6,6,6,6,3,6
"39",9,8,8,1,1,7,8,1,8,7,8,7,7,7,6,2,2,7,2,2,2,2,2,2,7,2
"40",3,4,4,1,1,2,4,1,4,2,4,2,2,2,3,5,5,2,5,5,5,5,5,5,2,5
"41",1,6,6,5,5,4,6,5,6,4,6,4,4,4,2,8,8,4,8,8,8,8,8,8,4,8
"42",8,7,3,7,7,4,3,7,3,4,3,4,4,4,5,6,6,4,6,6,6,6,6,6,4,6
"43",3,8,1,8,9,7,1,9,1,7,1,7,7,7,2,6,6,7,6,6,6,6,6,6,7,6
"44",6,4,1,4,4,3,1,4,1,3,1,3,3,3,2,5,5,3,5,5,5,5,5,5,3,5
"45",5,4,7,4,2,6,7,2,7,6,7,6,6,6,2,8,8,6,8,8,8,8,8,8,6,8
"46",9,6,7,6,1,3,7,1,7,3,7,3,3,3,5,4,4,3,4,4,4,4,4,4,3,4
"47",7,4,4,5,5,2,4,5,4,2,4,2,2,2,7,1,1,2,1,1,1,1,1,1,2,1
"48",6,7,3,7,5,8,3,5,3,8,3,8,8,8,2,4,4,8,4,4,4,4,4,4,8,4
"49",5,1,1,7,7,6,1,7,1,6,1,6,6,6,2,3,3,6,3,3,3,3,3,3,6,3
"50",4,2,5,1,1,6,5,1,5,6,5,6,6,6,8,9,9,6,9,9,9,9,9,9,6,9
"51",4,6,6,8,8,5,6,8,6,5,6,5,5,5,3,7,7,5,7,7,7,7,7,7,5,7
"52",9,7,1,7,3,8,1,3,1,8,1,8,8,8,9,6,6,8,6,6,6,6,6,6,8,6
"53",9,5,5,6,6,2,5,6,5,2,5,2,2,2,1,9,9,2,9,9,9,9,9,9,2,9
"54",5,7,8,2,2,1,8,2,8,1,8,1,1,1,6,9,9,1,9,9,9,9,9,9,1,9
"55",2,3,6,4,4,7,6,4,6,7,6,7,7,7,8,1,1,7,1,1,1,1,1,1,7,1
"56",7,2,4,2,5,1,4,5,4,1,4,1,1,1,3,8,8,1,8,8,8,8,8,8,1,8
"57",7,8,8,5,5,2,8,5,8,2,8,2,2,2,3,1,1,2,1,1,1,1,1,1,2,1
"58",2,4,5,3,3,1,5,3,5,1,5,1,1,1,6,7,7,1,7,7,7,7,7,7,1,7
"59",1,2,7,2,2,4,7,2,7,4,7,4,4,4,3,5,5,4,5,5,5,5,5,5,4,5
"60",4,2,7,3,3,5,7,3,7,5,7,5,5,5,6,1,1,5,1,1,1,1,1,1,5,1
"61",6,2,2,7,7,5,2,7,2,5,2,5,5,5,3,8,8,5,8,8,8,8,8,8,5,8
"62",5,6,1,6,6,8,1,6,1,8,1,8,8,8,7,3,3,8,3,3,3,3,3,3,8,3
"63",1,2,7,2,4,3,7,4,7,3,7,3,3,3,5,6,6,3,6,6,6,6,6,6,3,6
"64",3,4,4,5,5,2,4,5,4,2,4,2,2,2,8,6,6,2,6,6,6,6,6,6,2,6
"65",5,6,6,7,7,3,6,7,6,3,6,3,3,3,4,8,8,3,8,8,8,8,8,8,3,8
"66",4,7,2,7,1,9,2,1,2,9,2,9,9,9,6,3,3,9,3,3,3,3,3,3,9,3
"67",8,2,2,1,1,3,2,1,2,3,2,3,3,3,7,4,4,3,4,4,4,4,4,4,3,4
"68",6,3,3,1,1,7,3,1,3,7,3,7,7,7,4,2,2,7,2,2,2,2,2,2,7,2
"69",7,6,5,6,4,1,5,4,5,1,5,1,1,1,2,3,3,1,3,3,3,3,3,3,1,3
"70",3,4,4,2,2,1,4,2,4,1,4,1,1,1,3,9,9,1,9,9,9,9,9,9,1,9
"71",7,1,1,6,6,2,1,6,1,2,1,2,2,2,7,3,3,2,3,3,3,3,3,3,2,3
"72",1,7,7,5,5,6,7,5,7,6,7,6,6,6,1,3,3,6,3,3,3,3,3,3,6,3
"73",2,4,4,3,3,7,4,3,4,7,4,7,7,7,5,1,1,7,1,1,1,1,1,1,7,1
"74",1,5,5,6,6,2,5,6,5,2,5,2,2,2,4,3,3,2,3,3,3,3,3,3,2,3
"75",6,4,7,2,2,5,7,2,7,5,7,5,5,5,6,3,3,5,3,3,3,3,3,3,5,3
"76",1,5,5,2,2,4,5,2,5,4,5,4,4,4,1,6,6,4,6,6,6,6,6,6,4,6
"77",2,5,5,4,4,3,5,4,5,3,5,3,3,3,4,1,1,3,1,1,1,1,1,1,3,1
"78",6,5,7,5,3,2,7,3,7,2,7,2,2,2,4,1,1,2,1,1,1,1,1,1,2,1
"79",5,6,1,2,2,7,1,2,1,7,1,7,7,7,6,3,3,7,3,3,3,3,3,3,7,3
"80",7,8,9,8,8,5,9,8,9,5,9,5,5,5,6,1,1,5,1,1,1,1,1,1,5,1
"81",5,8,7,8,8,6,7,8,7,6,7,6,6,6,5,4,4,6,4,4,4,4,4,4,6,4
"82",8,4,4,7,7,3,4,7,4,3,4,3,3,3,9,2,2,3,2,2,2,2,2,2,3,2
"83",2,4,8,4,5,7,8,5,8,7,8,7,7,7,6,1,1,7,1,1,1,1,1,1,7,1
"84",8,2,2,9,9,4,2,9,2,4,2,4,4,4,1,3,3,4,3,3,3,3,3,3,4,3
"85",5,4,4,2,2,6,4,2,4,6,4,6,6,6,1,3,3,6,3,3,3,3,3,3,6,3
"86",6,4,7,4,4,2,7,4,7,2,7,2,2,2,1,5,5,2,5,5,5,5,5,5,2,5
"87",4,3,3,2,2,1,3,2,3,1,3,1,1,1,4,5,5,1,5,5,5,5,5,5,1,5
"88",6,7,4,7,7,3,4,7,4,3,4,3,3,3,9,8,8,3,8,8,8,8,8,8,3,8
"89",3,4,4,5,5,7,4,5,4,7,4,7,7,7,2,1,1,7,1,1,1,1,1,1,7,1
"90",2,1,1,3,3,4,1,3,1,4,1,4,4,4,2,5,5,4,5,5,5,5,5,5,4,5
"91",5,6,6,7,7,2,6,7,6,2,6,2,2,2,4,9,9,2,9,9,9,9,9,9,2,9
"92",6,9,4,9,3,8,4,3,4,8,4,8,8,8,6,2,2,8,2,2,2,2,2,2,8,2
"93",5,6,6,3,3,4,6,3,6,4,6,4,4,4,1,2,2,4,2,2,2,2,2,2,4,2
"94",5,1,1,4,4,3,1,4,1,3,1,3,3,3,4,2,2,3,2,2,2,2,2,2,3,2
"95",4,1,6,1,5,3,6,5,6,3,6,3,3,3,7,2,2,3,2,2,2,2,2,2,3,2
"96",2,7,3,7,6,4,3,6,3,4,3,4,4,4,1,5,5,4,5,5,5,5,5,5,4,5
"97",5,3,7,3,6,8,7,6,7,8,7,8,8,8,4,2,2,8,2,2,2,2,2,2,8,2
"98",7,3,4,3,2,5,4,2,4,5,4,5,5,5,1,6,6,5,6,6,6,6,6,6,5,6
"99",8,5,5,4,4,6,5,4,5,6,5,6,6,6,3,9,9,6,9,9,9,9,9,9,6,9
"100",6,1,1,5,5,7,1,5,1,7,1,7,7,7,5,3,3,7,3,3,3,3,3,3,7,3
