"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"73",4,3,1,3,2,3,1,3,2,3,3,3,2,2
"74",4,2,1,2,5,2,1,3,5,2,2,2,5,1
"75",3,1,4,1,2,1,4,1,2,1,1,1,2,4
"76",1,2,5,2,4,2,5,3,4,2,2,2,4,5
"77",2,3,5,3,1,3,4,3,1,4,3,3,1,5
"78",2,4,5,4,1,4,5,3,1,4,4,4,1,1
"79",1,5,3,4,2,5,4,5,2,4,2,5,2,3
"80",1,4,2,4,3,4,2,4,3,4,4,4,3,2
"81",1,2,3,2,4,2,3,2,4,2,2,2,4,4
"82",3,2,5,2,1,2,4,2,1,4,2,2,1,5
"83",1,3,4,3,2,3,4,3,2,3,3,3,2,2
"84",1,2,4,2,3,2,4,2,3,2,2,2,3,3
"85",3,1,2,1,4,1,2,3,4,1,1,1,4,4
"86",3,2,4,2,1,2,4,2,1,2,2,2,1,4
"87",1,2,3,2,4,2,3,1,4,2,2,2,4,4
"88",1,4,3,4,2,4,3,4,2,4,4,4,2,2
"89",2,4,1,4,5,4,3,4,5,3,4,4,5,1
"90",5,1,4,2,3,1,2,1,3,2,3,1,3,4
"91",4,3,5,3,2,3,1,3,2,1,3,3,2,5
"92",2,3,5,4,5,3,4,3,1,4,1,3,1,1
"93",5,3,1,3,4,3,1,2,4,3,3,3,4,4
"94",4,2,1,2,3,2,1,2,3,2,2,2,3,1
"95",3,2,1,2,4,2,1,2,4,2,2,2,4,4
"96",3,2,1,2,4,2,1,2,4,2,2,2,4,1
"97",1,2,3,2,4,2,3,2,4,2,2,2,4,4
"98",4,2,3,2,1,2,1,2,3,1,2,2,1,3
"99",1,4,3,4,2,4,3,4,2,4,4,4,2,3
"100",3,1,2,1,4,1,2,1,4,1,1,1,4,2
