"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"25",3,5,7,1,5,3,6,6,4,6,5,4,8,2,6,1,3,1,5,6,2,3,3,5,4,3,1,1,5,3,5,2,5,4,6,4,1,6,5,1,3
"26",6,1,8,1,2,2,6,6,7,3,6,2,9,3,3,1,2,1,1,6,2,3,3,1,3,4,1,6,7,3,5,2,7,1,3,3,1,6,1,1,2
"27",3,5,8,2,6,3,7,4,1,4,7,1,9,5,4,7,3,2,7,6,6,3,3,7,2,3,2,4,5,3,7,6,5,1,5,1,7,4,7,7,3
"28",2,5,6,5,3,2,4,5,4,1,4,5,7,1,1,4,2,5,4,3,3,1,1,4,1,4,5,5,3,1,4,3,3,5,1,1,5,4,4,4,1
"29",5,3,9,3,5,5,4,4,4,2,5,8,10,5,2,3,5,7,7,4,4,2,5,7,7,6,3,4,5,2,1,4,8,7,2,2,7,4,7,7,5
"30",1,3,9,3,2,8,7,1,7,4,4,5,10,2,3,4,1,3,7,2,2,4,4,7,3,4,3,1,2,4,6,2,2,5,8,6,3,4,7,8,8
"31",5,1,9,1,2,6,2,5,2,8,2,2,10,3,1,8,6,1,2,2,3,8,8,2,1,8,1,5,2,8,4,3,2,2,5,8,1,8,2,7,8
"32",4,6,7,6,2,3,5,4,5,3,4,1,8,2,6,5,3,5,5,2,2,3,3,5,5,3,6,4,2,3,4,2,2,5,2,3,5,5,5,5,3
"33",2,7,8,7,6,1,3,7,3,4,2,6,9,4,4,1,1,7,3,3,5,4,4,3,4,1,7,7,6,4,2,5,6,7,4,4,7,3,3,2,1
"34",3,4,8,4,6,3,6,1,6,1,6,7,9,4,1,4,3,4,5,6,2,3,3,5,4,3,4,1,6,1,6,6,6,1,1,3,4,1,5,5,3
"35",7,4,9,1,4,2,6,1,6,3,4,1,10,5,3,8,2,1,6,5,5,3,3,6,3,2,1,1,4,3,4,5,4,1,3,3,1,6,6,2,2
"36",6,2,8,3,4,6,2,7,4,1,6,4,9,4,1,7,6,7,7,2,4,6,6,7,1,6,3,7,2,6,5,4,2,7,6,6,7,7,7,7,6
"37",6,5,7,1,5,5,4,1,4,2,5,1,8,5,2,2,5,1,4,4,3,2,2,4,2,2,1,1,5,2,5,3,5,1,6,4,1,4,4,1,5
"38",3,6,7,4,6,3,6,2,6,2,2,6,8,3,4,1,3,4,2,6,5,3,3,2,4,3,4,4,6,3,2,5,6,2,3,3,4,2,2,4,3
"39",5,3,9,4,2,7,4,5,4,2,2,8,10,6,6,4,7,4,4,3,3,6,6,4,4,6,4,5,2,5,1,3,2,4,2,6,4,2,4,4,7
"40",1,3,6,3,2,5,2,1,2,1,1,2,7,5,5,3,5,3,3,2,2,5,5,3,1,5,3,1,2,1,4,2,2,3,1,5,3,1,3,3,5
"41",2,4,6,4,3,2,5,5,3,2,5,3,7,3,2,4,2,4,4,5,5,2,2,4,2,2,4,5,3,2,1,5,3,4,2,1,4,5,4,4,2
"42",5,3,7,6,3,2,6,5,6,5,4,1,8,3,5,2,2,6,6,3,3,2,2,6,6,2,6,5,3,2,4,3,3,6,5,2,6,5,6,6,2
"43",4,5,8,7,7,7,1,4,1,4,4,3,9,1,1,2,7,7,2,1,7,6,4,2,1,2,7,7,5,4,6,7,5,2,4,6,7,2,2,7,7
"44",5,2,8,2,2,5,7,5,7,5,6,4,9,2,2,1,5,2,7,7,6,5,5,7,2,5,2,2,2,5,3,6,4,7,5,3,7,7,7,6,5
"45",1,6,7,4,6,1,3,3,3,3,5,2,8,6,6,4,1,4,3,6,6,1,1,3,4,1,4,4,6,1,5,6,2,3,3,1,4,3,3,4,1
"46",7,2,8,4,2,1,1,4,3,5,2,4,9,5,5,7,7,4,1,1,6,5,5,1,5,2,4,4,2,5,2,6,2,4,5,3,4,3,1,1,1
"47",7,4,8,5,4,7,1,5,3,1,1,5,9,4,4,6,7,5,1,4,2,1,7,1,3,1,5,5,4,7,3,2,4,5,4,3,5,1,1,1,1
"48",1,6,7,6,2,5,2,1,2,4,1,2,8,4,4,5,5,6,5,2,2,4,4,5,4,5,6,6,2,4,3,2,2,1,1,4,5,1,5,5,5
"49",5,1,7,1,3,5,4,4,3,4,5,3,8,2,2,1,5,1,3,6,6,5,5,3,2,5,1,1,3,5,5,6,3,3,4,5,1,4,4,1,5
"50",6,1,7,1,5,4,2,2,5,3,2,5,8,5,3,1,4,1,2,2,5,3,3,2,3,4,1,1,5,3,2,5,5,2,3,3,1,2,2,1,4
"51",6,4,9,4,7,2,8,6,8,6,7,1,10,7,6,2,2,6,8,3,3,7,6,8,6,2,4,4,7,7,5,3,7,8,7,5,8,8,8,4,7
"52",4,3,7,3,5,6,2,3,5,1,4,5,8,5,1,3,6,3,2,2,2,1,1,2,1,6,3,3,5,1,4,2,5,3,1,1,3,2,2,6,6
"53",1,5,8,5,6,7,6,6,2,7,6,6,9,4,7,7,7,5,3,4,4,7,2,3,7,2,5,5,6,7,2,4,6,6,6,2,5,6,3,3,7
"54",2,1,7,1,5,2,3,2,3,2,6,4,8,5,2,3,2,1,3,5,5,2,5,3,2,5,1,1,5,2,6,5,5,4,2,5,1,3,3,1,2
"55",1,2,8,2,5,5,6,6,4,7,6,3,9,5,5,7,1,2,7,6,5,7,7,7,7,7,2,2,6,1,4,5,6,3,6,4,2,6,7,2,7
"56",3,6,7,6,6,2,4,3,4,3,2,1,8,5,3,2,4,4,4,5,5,4,2,4,4,2,6,6,6,3,4,5,1,1,3,4,6,3,4,6,2
"57",6,3,8,3,4,5,4,6,3,7,4,4,9,7,7,3,5,3,3,4,2,7,7,3,7,5,3,6,4,7,1,4,4,4,7,7,3,4,3,3,7
"58",6,7,8,3,7,6,1,5,3,5,1,2,9,7,5,3,6,3,1,7,4,5,6,1,3,6,3,3,7,5,1,4,7,1,5,5,3,5,1,1,6
"59",2,1,7,1,6,4,3,2,6,4,3,2,8,5,4,4,4,1,3,5,5,4,4,3,4,4,1,2,6,4,3,5,6,2,2,4,1,3,3,3,4
"60",2,3,8,5,1,7,1,2,5,2,2,6,9,1,3,7,7,5,5,1,1,7,7,5,5,7,5,2,1,7,4,1,1,5,2,7,5,2,5,5,7
"61",7,6,8,6,6,4,1,7,1,7,3,1,9,4,7,6,4,4,1,1,2,4,5,1,4,5,6,6,6,7,5,2,1,1,7,5,6,7,1,3,4
"62",4,6,7,6,6,5,1,4,1,2,4,6,8,1,2,2,5,2,2,1,1,2,5,2,2,2,6,4,6,5,3,1,6,4,4,1,6,4,2,5,5
"63",4,6,7,5,6,3,2,5,2,1,4,6,8,1,6,5,3,5,5,6,6,1,1,5,2,3,5,5,6,1,4,6,6,5,1,2,5,2,5,3,3
"64",4,2,9,2,2,8,5,4,5,8,4,1,10,7,8,8,8,2,5,5,3,8,7,5,8,7,2,4,2,8,7,3,1,4,4,7,2,5,5,6,8
"65",5,1,7,1,2,6,3,5,3,5,3,2,8,6,5,1,6,1,3,3,2,6,6,3,1,6,1,5,3,5,3,2,3,5,5,6,1,5,3,4,6
"66",5,4,7,4,3,1,2,2,6,1,2,6,8,3,1,4,1,4,2,3,3,1,1,2,1,1,4,4,3,1,2,3,3,6,3,6,4,2,2,4,1
"67",5,3,6,2,3,5,4,4,4,5,5,4,7,3,3,5,5,2,4,3,3,5,5,4,2,5,2,2,3,5,1,3,4,4,5,1,2,4,4,2,5
"68",5,4,8,4,2,6,7,4,7,3,5,1,9,3,3,6,6,4,7,2,2,3,3,7,3,6,4,4,2,3,5,2,1,1,3,7,7,7,7,6,6
"69",1,5,8,4,7,4,7,1,7,3,1,7,9,3,4,5,4,4,6,7,2,3,3,6,4,5,4,1,7,3,1,2,7,1,3,3,4,1,6,6,3
"70",4,5,8,5,2,7,2,4,2,7,2,4,9,3,5,7,7,5,1,2,3,7,7,1,5,2,5,4,2,7,6,3,2,4,7,6,5,2,1,1,7
"71",2,7,9,4,7,1,7,2,7,2,7,3,10,7,5,4,1,5,7,6,6,1,2,7,5,1,4,4,7,2,8,6,7,3,2,8,4,2,4,4,1
"72",3,6,7,1,6,1,3,3,1,3,3,6,8,6,1,2,1,1,3,6,6,2,2,3,1,2,1,1,6,2,5,6,6,1,3,2,1,3,3,4,2
"73",5,6,7,2,1,3,4,2,1,3,4,2,8,1,3,3,3,2,4,4,4,3,3,4,3,3,2,2,6,3,1,4,6,2,5,1,2,4,6,4,3
"74",4,1,7,1,5,5,3,4,3,2,4,6,8,3,2,1,5,1,1,3,3,2,2,1,2,5,1,4,6,2,4,3,6,1,2,2,1,3,1,1,5
"75",4,6,8,2,6,3,7,4,6,4,7,1,9,6,4,2,3,2,7,7,7,4,4,7,6,6,2,2,6,4,5,7,6,7,4,5,2,7,7,3,3
"76",4,6,8,6,7,5,7,4,7,1,7,7,9,7,1,6,5,6,7,7,3,1,1,7,1,7,6,4,7,1,2,7,7,7,1,1,6,7,7,5,5
"77",4,5,9,5,4,8,3,4,3,8,4,4,10,8,8,3,8,7,3,4,6,8,8,3,8,8,5,4,4,1,1,4,4,4,8,1,3,3,3,2,8
"78",7,4,8,3,1,1,6,7,6,7,2,1,9,4,4,3,1,4,6,6,1,4,7,6,4,7,3,3,4,7,5,1,6,6,7,5,3,7,6,3,1
"79",4,3,7,3,3,4,6,1,6,1,4,3,8,2,2,5,4,2,6,2,3,4,4,6,6,4,3,1,3,1,4,3,3,6,1,4,6,1,6,6,4
"80",3,4,8,4,2,5,2,3,2,1,2,3,9,2,4,6,5,4,6,2,7,1,1,6,4,2,4,3,2,1,2,7,2,3,3,1,4,1,6,5,5
"81",4,6,8,6,3,2,3,5,3,5,4,1,9,7,5,5,2,5,5,3,3,2,2,5,5,2,6,5,7,2,4,3,7,5,7,2,5,5,5,5,2
"82",2,4,8,3,5,6,5,3,5,6,4,1,9,4,6,3,6,3,3,5,5,6,6,3,6,6,3,3,4,6,7,5,4,3,4,7,3,3,3,3,6
"83",5,6,7,4,6,5,3,4,3,4,6,2,8,6,4,1,5,4,1,3,3,5,5,1,4,5,4,4,6,5,1,3,6,2,5,5,4,3,1,1,5
"84",2,1,8,3,1,7,5,2,5,1,2,2,9,1,1,6,7,3,6,5,5,6,6,6,3,6,3,3,1,1,4,5,5,2,1,4,3,5,6,6,6
"85",3,7,8,7,2,2,6,6,5,3,3,2,9,2,7,5,7,7,5,6,1,3,3,5,7,5,7,7,2,3,3,1,6,6,3,6,7,6,5,4,2
"86",3,4,8,4,6,5,2,2,2,6,3,1,9,6,6,4,5,4,2,2,7,6,6,2,6,6,4,4,6,6,3,7,1,1,6,6,4,2,2,4,5
"87",5,4,6,4,3,1,3,5,3,5,5,3,7,1,5,4,1,4,4,3,3,1,1,4,1,1,4,5,3,1,2,3,3,4,5,1,4,5,4,4,1
"88",3,5,6,4,5,3,2,1,2,3,1,5,7,5,5,4,3,4,4,2,2,3,3,4,4,3,4,1,5,3,1,2,5,4,3,2,4,2,4,4,3
"89",2,3,7,5,3,2,6,5,6,5,3,1,8,3,5,4,2,3,5,6,6,2,2,5,3,3,5,5,3,2,3,6,3,5,2,2,5,5,5,5,2
"90",4,1,7,3,1,2,5,4,5,6,4,5,8,1,1,3,2,3,3,1,1,6,6,3,3,6,3,4,1,6,4,1,5,5,6,6,3,4,3,3,6
"91",5,3,7,2,3,6,6,5,6,5,5,1,8,3,5,6,6,2,6,3,4,6,5,6,3,6,2,2,3,5,5,4,3,1,5,5,2,5,6,6,6
"92",6,3,7,1,3,6,4,4,3,3,4,2,8,6,3,1,6,1,4,4,5,6,6,4,3,6,1,1,3,6,4,5,3,4,6,6,1,4,4,1,6
"93",1,2,8,2,4,7,4,1,5,6,1,4,9,5,5,6,7,2,3,4,4,6,6,3,5,4,2,1,4,6,1,4,4,1,1,5,2,6,3,2,6
"94",3,8,9,8,8,7,1,1,1,5,3,6,10,4,8,4,8,8,1,1,2,4,4,1,8,4,8,8,5,5,4,2,5,1,5,4,8,1,1,7,7
"95",2,4,7,4,5,4,6,2,5,3,5,6,8,3,4,4,4,4,5,6,5,3,3,5,4,5,4,2,5,3,5,5,6,6,3,3,4,6,5,1,3
"96",2,1,7,1,4,6,3,3,3,4,6,5,8,4,4,3,6,3,3,4,4,6,6,3,3,4,1,3,4,6,6,4,5,3,4,6,3,3,3,3,6
"97",6,3,7,5,3,6,3,5,3,4,3,5,8,1,3,2,6,5,2,3,1,4,4,2,3,3,5,5,3,4,3,1,3,5,4,4,5,4,2,5,4
"98",5,1,7,4,3,6,3,4,3,5,1,2,8,6,6,1,6,4,4,3,3,6,5,4,1,1,4,4,1,5,1,3,1,4,5,3,4,3,4,4,6
"99",6,4,8,4,3,5,3,6,3,7,3,3,9,7,7,4,5,4,3,2,2,7,7,3,7,5,4,6,3,7,1,2,3,3,7,7,4,5,3,4,5
"100",4,3,8,7,3,7,1,3,7,6,3,3,9,3,7,2,7,7,2,3,5,6,6,2,7,6,7,7,3,6,3,3,3,3,6,6,7,1,2,2,6
