"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"21",3,2,2,3,2,1,1,1,4,1,1,3,4,4,4,4,1,2,1,3,3,2,3,3,2,4,3,4,3,1,4,3,4,1
"22",3,2,2,3,2,2,1,1,4,1,1,3,4,4,4,4,2,2,1,3,3,5,3,3,5,4,3,5,3,5,3,3,4,1
"23",3,1,1,3,1,4,2,2,2,1,2,4,1,4,4,1,2,1,2,4,3,4,1,4,4,2,4,3,3,4,2,3,3,2
"24",4,2,2,4,2,3,5,5,5,5,5,3,3,3,3,2,5,2,5,4,4,1,4,3,1,5,1,4,4,1,1,1,4,5
"25",3,5,5,3,5,4,2,4,4,4,2,1,1,1,1,5,4,5,2,3,1,5,3,3,5,2,3,3,1,3,2,3,3,2
"26",1,3,5,1,5,6,2,2,5,5,2,6,5,5,6,5,5,3,2,1,1,4,1,6,4,5,1,1,1,2,2,2,1,2
"27",4,1,1,4,1,3,2,2,2,1,2,3,1,1,3,1,2,1,2,3,1,3,4,3,3,2,3,4,4,3,3,3,4,2
"28",3,4,4,3,4,4,1,1,1,4,1,3,5,5,5,5,4,4,1,3,3,2,3,3,2,5,3,1,3,1,1,3,5,1
"29",2,3,3,2,3,5,4,5,5,5,4,1,1,1,1,3,5,3,4,2,1,3,2,2,3,4,2,2,1,2,4,2,2,4
"30",5,2,2,5,2,4,5,5,1,2,2,4,1,1,4,1,2,2,1,5,2,3,5,4,3,1,5,5,4,5,5,5,1,5
"31",4,2,1,4,1,3,4,4,1,1,1,3,1,3,3,1,1,2,1,4,3,5,1,3,5,1,4,4,3,4,4,4,4,4
"32",1,2,2,1,2,4,1,1,3,3,3,4,3,3,4,3,3,2,3,1,2,2,1,4,2,3,1,1,4,1,1,1,1,1
"33",2,1,1,2,1,3,4,4,4,3,4,3,3,3,3,1,4,1,4,2,2,1,2,2,1,4,2,2,2,2,4,2,2,4
"34",1,2,2,1,2,3,3,3,5,3,3,4,5,5,5,5,3,2,3,1,1,4,1,4,4,5,4,1,1,3,4,4,1,3
"35",1,1,1,1,1,2,4,4,4,4,4,2,2,2,2,1,4,1,4,3,1,3,1,3,3,4,3,3,2,3,3,3,3,4
"36",2,3,3,2,3,4,1,1,1,3,1,2,3,3,4,3,1,3,1,2,2,5,2,2,5,1,2,4,2,4,2,2,4,1
"37",2,2,2,2,2,4,1,1,1,3,1,4,3,3,3,3,1,2,1,4,2,4,2,4,4,1,4,3,4,4,1,1,3,1
"38",3,1,1,3,1,4,2,4,4,4,4,3,1,3,4,1,4,1,2,3,3,1,2,4,1,2,3,3,3,4,2,2,3,2
"39",6,2,2,6,2,3,1,1,1,1,1,3,5,5,3,5,2,2,1,4,6,4,4,3,4,5,4,1,6,4,4,4,5,4
"40",1,5,2,1,2,4,1,1,4,4,4,2,2,2,4,2,4,5,4,1,2,3,1,2,3,4,1,1,2,1,1,1,1,1
"41",5,1,2,5,2,2,6,3,3,2,3,4,4,4,4,4,2,1,6,6,5,2,5,2,2,4,5,5,5,6,6,6,5,6
"42",1,3,3,1,3,4,4,4,2,4,4,2,2,2,2,2,4,3,4,1,3,3,1,1,3,2,1,1,2,4,2,1,1,4
"43",3,3,3,3,3,2,2,2,1,2,2,4,1,1,1,1,2,3,1,4,3,4,3,4,4,1,4,2,4,2,4,4,1,1
"44",2,1,1,2,1,5,4,4,4,1,4,5,1,5,5,1,4,1,4,2,1,3,2,2,3,4,2,2,2,2,2,2,2,4
"45",4,5,5,4,5,1,3,4,4,5,3,2,5,3,1,5,1,5,3,2,5,2,2,1,2,3,2,4,2,1,2,2,4,3
"46",3,4,4,3,4,2,1,1,1,2,1,3,4,1,2,4,2,4,1,3,3,4,3,3,4,1,3,1,3,2,1,3,1,1
"47",2,1,1,2,1,5,3,3,3,5,3,2,1,2,5,1,5,1,3,2,2,4,4,5,4,3,2,2,2,5,3,2,2,3
"48",1,2,2,1,2,2,4,1,5,2,5,4,5,5,5,5,2,2,5,4,1,3,1,2,3,5,4,1,1,4,4,4,5,4
"49",3,2,2,3,2,4,1,3,1,1,1,4,2,1,4,1,2,2,1,3,2,4,3,3,4,1,3,3,3,3,3,3,3,1
"50",3,1,1,3,1,5,3,3,4,5,3,2,4,4,4,4,5,1,4,2,2,2,2,2,2,4,2,3,2,5,2,3,4,4
"51",4,2,2,4,2,3,1,1,1,1,1,3,3,3,3,2,1,2,1,4,3,2,4,4,2,1,4,4,3,4,4,4,4,1
"52",3,1,1,3,1,4,2,2,2,1,2,4,1,1,4,1,2,1,2,3,3,4,3,4,4,2,4,3,3,4,4,3,3,2
"53",2,3,3,2,3,4,1,1,1,1,1,4,4,4,4,3,1,3,1,2,4,3,2,2,3,1,2,2,4,2,2,2,2,1
"54",4,2,2,4,2,1,3,3,3,3,3,5,2,5,1,2,2,2,2,5,5,5,2,1,1,2,5,3,5,3,5,5,4,2
"55",4,1,1,4,1,3,2,3,3,3,3,4,2,2,3,2,3,1,2,4,4,1,4,4,1,2,4,2,4,3,2,4,2,2
"56",2,4,4,2,4,5,3,3,3,4,3,2,4,4,5,4,5,4,3,2,2,1,2,2,1,3,2,3,2,5,3,2,3,3
"57",3,2,2,3,2,4,1,1,1,1,1,4,4,4,4,2,1,2,1,3,4,2,3,3,2,1,3,3,4,3,3,3,3,1
"58",3,2,2,3,2,2,1,1,1,2,1,3,4,4,4,4,2,2,1,3,3,5,3,3,5,4,3,1,3,1,1,3,4,1
"59",1,4,4,1,4,2,3,3,3,2,3,2,2,2,2,4,3,4,3,1,1,4,1,1,4,3,1,1,1,1,3,1,1,3
"60",3,1,1,3,1,1,4,4,5,1,4,3,5,5,5,5,1,1,4,3,3,2,3,3,2,5,3,4,3,4,4,3,5,4
"61",4,3,3,4,3,3,2,2,2,3,2,4,1,1,1,1,3,3,2,4,4,5,4,4,5,1,4,2,4,2,2,4,1,2
"62",4,5,5,4,5,3,3,3,1,3,3,2,1,1,1,1,3,5,3,4,4,2,2,2,2,1,2,2,4,2,2,2,1,3
"63",3,5,2,3,2,4,1,3,2,2,1,4,2,1,4,2,2,5,1,4,2,4,3,4,4,1,3,3,3,4,1,3,3,1
"64",3,2,2,3,2,1,4,4,4,2,4,1,2,1,1,2,4,2,4,3,2,5,3,3,5,4,3,3,3,3,3,3,3,4
"65",5,4,4,5,4,2,6,3,3,4,3,2,1,1,2,1,4,4,6,6,5,4,5,2,4,1,5,5,5,6,6,6,5,6
"66",5,2,2,5,2,2,1,1,3,2,1,5,3,3,3,3,2,2,1,5,5,4,5,5,4,3,5,1,5,1,1,5,3,1
"67",3,2,2,3,2,5,1,5,4,5,5,5,4,4,4,4,5,2,4,1,3,2,2,3,2,4,1,1,3,1,1,1,4,1
"68",5,1,1,5,1,1,3,3,2,1,3,5,2,2,2,2,1,1,3,5,5,4,5,5,4,2,5,3,5,3,3,5,2,3
"69",4,2,2,4,2,3,3,3,1,3,3,1,1,1,1,1,3,2,3,4,2,2,4,4,2,1,4,4,1,3,1,4,4,3
"70",1,3,3,1,3,4,2,2,2,4,2,4,4,4,4,3,2,3,2,1,1,3,1,1,3,2,1,1,1,1,2,1,1,2
"71",4,5,5,4,5,1,2,2,3,2,2,1,3,3,3,3,5,5,2,4,4,1,4,1,1,3,4,4,4,1,3,4,3,2
"72",1,4,4,1,4,2,3,3,3,2,3,1,4,3,2,4,2,4,3,1,1,4,1,1,4,3,1,3,1,2,3,1,3,3
"73",6,1,5,6,5,4,2,2,5,5,2,4,5,4,4,5,5,1,2,6,6,3,6,4,3,2,6,6,6,2,2,2,6,2
"74",2,4,4,2,4,4,1,1,1,4,1,2,3,3,3,3,4,4,1,2,2,5,2,2,5,3,2,1,2,1,1,2,3,1
"75",1,5,4,1,4,4,3,2,2,4,2,6,6,6,6,4,4,5,3,1,1,4,1,4,4,3,1,1,1,3,3,3,1,3
"76",4,3,3,4,3,3,5,5,5,3,5,4,2,2,2,2,3,3,5,4,4,1,4,4,1,2,4,5,4,5,5,4,2,5
"77",4,2,2,4,2,3,5,5,5,2,5,3,2,3,3,2,5,2,5,4,2,1,4,4,1,5,4,4,4,4,4,4,4,5
"78",3,2,2,3,2,5,1,1,1,2,1,5,2,5,5,2,1,2,1,3,2,4,3,3,4,1,3,3,3,3,3,3,3,1
"79",4,5,5,4,5,2,3,3,3,2,3,1,5,4,2,5,2,5,3,1,4,1,1,1,2,3,1,4,4,2,1,1,4,3
"80",3,4,4,3,4,2,1,1,1,1,1,2,4,3,2,4,1,4,1,2,3,2,4,2,2,1,2,3,3,2,2,2,3,1
"81",2,1,1,2,1,1,2,2,3,1,2,4,3,3,3,3,1,1,2,4,3,4,4,1,4,3,4,2,3,4,4,2,2,4
"82",2,6,4,2,4,5,3,3,4,4,3,5,4,4,5,4,4,6,3,2,2,1,2,5,1,4,2,2,2,3,3,3,2,3
"83",3,4,4,3,4,2,1,1,1,2,1,3,4,1,2,4,2,4,1,3,3,4,3,3,4,1,3,1,3,2,1,3,1,1
"84",1,3,3,1,3,2,4,4,5,4,4,2,5,5,5,5,3,3,4,2,3,2,3,2,2,5,2,1,2,2,2,1,1,4
"85",2,1,1,2,1,5,4,5,5,5,5,2,3,3,5,3,5,1,4,2,2,1,2,2,1,3,2,4,2,5,2,2,3,4
"86",3,2,2,3,2,2,3,3,4,2,3,1,4,4,4,4,2,2,3,3,4,1,1,1,1,4,1,3,4,1,1,1,1,3
"87",4,2,2,4,2,1,4,3,3,3,3,1,1,1,3,2,3,2,3,4,1,2,4,3,2,1,4,4,1,4,4,4,3,4
"88",1,2,2,1,2,5,3,3,4,3,3,5,4,4,5,4,2,2,3,5,1,5,1,5,5,4,5,1,1,5,5,5,4,3
"89",4,2,2,4,2,1,3,3,3,2,3,1,2,2,1,2,3,2,3,4,4,1,4,1,1,3,1,4,4,1,1,4,4,3
"90",5,1,1,5,1,4,3,3,3,3,3,4,2,2,4,2,1,1,3,5,5,1,5,4,1,2,5,3,5,3,3,5,2,3
"91",3,5,5,3,5,1,4,4,4,1,4,2,2,2,2,5,1,5,4,3,2,5,3,3,5,4,3,3,2,1,4,3,3,4
"92",2,1,1,2,1,3,4,4,4,4,4,3,3,3,3,1,4,1,4,2,3,1,2,2,1,4,2,2,3,2,2,2,2,4
"93",3,4,4,3,4,1,2,2,2,4,2,1,4,4,1,4,2,4,2,1,4,1,3,1,1,2,1,3,3,1,1,1,3,2
"94",2,3,3,2,3,5,1,5,5,5,5,2,4,4,5,4,5,3,1,2,2,3,2,2,3,4,2,1,2,5,2,2,4,1
"95",1,2,2,1,2,3,4,4,4,4,4,3,2,2,3,2,2,2,4,3,1,3,2,3,3,4,3,1,1,3,3,3,1,4
"96",4,2,2,4,2,2,4,4,3,2,3,1,3,3,3,3,2,2,4,1,1,1,1,1,1,3,1,4,1,1,1,1,3,4
"97",4,2,2,4,2,1,1,1,3,1,1,4,3,3,3,3,1,2,1,4,4,2,4,4,2,3,4,3,4,1,3,4,3,1
"98",1,5,5,1,5,4,3,1,2,4,2,4,4,4,4,5,2,5,2,3,4,5,3,4,5,2,1,1,4,3,3,3,1,3
"99",4,2,2,4,2,3,1,1,1,1,1,3,3,3,3,2,1,2,1,4,3,2,4,4,2,1,4,4,3,4,4,4,4,1
"100",2,4,4,2,4,3,1,1,1,1,1,3,4,4,3,4,4,4,1,3,2,3,4,3,3,1,2,2,2,2,3,2,2,1
