"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"32",7,1,6,7,3,7,6,1,7,7,6,4,3,7,7,8,7,7,6,7,2,7,5,1,2
"33",2,6,1,2,6,2,1,4,2,2,1,5,8,2,2,3,2,2,1,2,6,2,5,6,3
"34",8,4,6,8,4,8,6,9,8,8,6,7,1,8,8,3,8,8,6,8,4,8,7,4,7
"35",7,2,6,7,1,7,6,13,7,7,6,12,9,4,7,6,7,7,6,7,14,7,12,14,12
"36",3,3,4,3,2,3,4,1,3,3,4,1,4,7,3,5,1,3,4,1,5,1,1,2,7
"37",1,2,3,1,3,1,3,5,1,1,3,4,6,1,1,5,1,1,3,4,5,1,4,6,4
"38",1,3,2,1,5,1,2,7,1,1,2,6,3,7,1,6,1,1,2,1,7,1,6,5,6
"39",2,4,3,2,1,2,3,4,2,2,3,1,4,2,2,5,1,2,3,2,4,2,1,1,5
"40",1,1,5,1,4,1,5,2,1,1,5,3,4,3,1,2,2,1,5,1,2,2,3,4,3
"41",5,2,4,5,7,5,4,3,5,5,4,6,4,1,5,4,5,5,4,1,2,5,6,7,1
"42",1,6,5,1,4,1,5,6,1,1,5,2,4,1,1,5,1,1,5,1,6,1,2,4,2
"43",4,1,3,4,2,4,3,7,4,4,2,5,2,4,4,3,7,4,2,6,7,4,5,1,5
"44",2,3,1,2,3,2,1,4,2,2,1,5,3,2,2,1,2,2,1,2,3,2,5,3,5
"45",2,2,1,2,4,2,1,3,2,2,1,4,4,2,2,3,3,2,1,3,3,3,4,4,4
"46",1,2,5,1,4,1,5,2,1,1,5,7,6,1,1,3,1,1,5,7,2,1,4,4,6
"47",1,5,2,1,3,1,2,5,1,1,2,4,4,1,1,2,1,1,2,1,3,1,4,3,4
"48",5,3,2,5,6,5,2,1,5,5,2,6,7,4,5,2,5,5,2,5,1,5,6,6,7
"49",5,4,1,5,3,5,7,4,5,5,7,2,7,6,5,1,6,6,1,1,4,6,2,3,2
"50",8,2,14,8,7,8,14,7,8,8,14,5,11,10,8,14,8,8,14,6,9,8,5,1,13
"51",1,4,3,4,2,4,3,7,4,4,3,5,2,1,4,5,4,4,3,4,6,1,5,2,5
"52",9,11,4,9,10,9,4,1,9,9,4,11,3,9,9,4,9,9,4,9,11,9,3,11,11
"53",1,1,4,1,1,1,4,2,1,1,4,6,3,5,1,4,1,1,4,5,2,6,6,3,5
"54",4,5,3,4,1,4,3,7,4,4,3,2,3,7,4,3,4,4,3,7,5,4,1,1,2
"55",4,3,5,6,3,4,5,2,6,6,5,2,1,4,6,5,6,6,5,6,3,6,2,1,2
"56",4,9,20,4,9,4,20,19,4,4,20,1,10,2,4,20,4,4,20,4,9,4,1,9,16
"57",1,3,4,1,3,1,4,5,1,1,4,3,5,2,1,4,1,1,4,2,2,1,5,3,2
"58",9,7,3,9,4,9,3,4,9,9,3,6,4,2,9,3,9,9,3,9,7,9,6,4,2
"59",3,5,6,3,5,3,6,8,3,3,6,4,4,3,3,6,8,3,6,3,8,8,4,5,1
"60",10,2,4,10,2,10,4,5,10,10,4,7,8,6,10,4,10,10,4,10,5,10,7,2,9
"61",1,5,8,1,6,1,8,6,1,1,8,9,11,2,1,8,1,1,8,1,4,1,9,4,10
"62",8,2,9,8,18,8,12,12,8,8,18,14,18,3,8,9,8,8,18,3,2,8,14,14,5
"63",4,4,1,4,3,4,1,5,4,4,2,5,3,4,4,1,4,4,1,4,2,4,5,5,5
"64",5,5,4,5,2,5,4,3,5,5,6,7,2,7,5,4,5,5,4,5,1,5,7,2,7
"65",4,1,5,4,1,4,5,3,4,4,5,3,2,4,4,5,3,4,5,3,1,4,3,1,2
"66",4,4,3,4,1,4,3,1,4,4,3,2,5,4,4,3,4,4,3,4,1,4,5,1,2
"67",17,2,11,17,16,17,11,18,17,17,11,4,16,7,17,1,17,17,11,17,2,17,10,16,7
"68",6,2,1,6,2,6,1,5,6,6,1,4,5,6,6,1,6,6,1,4,3,6,4,2,5
"69",5,4,1,2,4,2,1,4,2,2,3,6,3,5,2,1,5,5,3,5,4,5,6,4,6
"70",2,3,4,2,3,2,4,5,2,2,4,1,5,1,2,4,2,2,4,2,5,2,1,3,1
"71",1,2,5,1,3,1,5,3,1,1,5,3,3,1,1,5,1,1,5,1,2,1,3,3,2
"72",6,1,5,6,3,6,5,3,6,6,5,4,4,6,6,5,3,6,5,6,1,3,4,3,4
"73",3,3,8,3,8,3,8,6,3,3,8,1,4,3,3,5,7,3,8,7,6,7,4,2,1
"74",7,1,3,1,4,1,3,4,1,1,3,5,2,7,1,6,1,1,3,1,4,7,2,4,5
"75",1,6,4,1,6,1,4,5,1,1,4,2,5,3,1,4,1,1,4,1,6,1,5,6,2
"76",6,6,7,6,7,6,7,2,6,6,7,4,4,2,6,2,2,6,7,6,5,2,2,4,4
"77",2,2,6,2,7,2,6,5,2,2,6,1,7,5,2,3,5,2,6,5,4,5,1,4,1
"78",2,6,3,2,1,2,3,5,2,2,3,5,5,4,2,3,2,2,3,4,1,2,5,1,4
"79",2,5,7,2,1,2,7,5,2,2,7,3,4,2,2,7,2,2,7,2,5,2,3,4,3
"80",7,5,4,7,5,7,4,2,7,7,4,3,1,7,7,2,2,7,4,3,5,2,2,5,3
"81",2,2,5,2,2,2,5,3,2,2,5,1,5,2,2,4,3,2,5,4,4,4,1,3,1
"82",2,2,5,2,4,2,5,4,2,2,5,2,1,3,2,3,2,2,5,2,4,3,1,3,1
"83",6,6,4,6,5,6,4,1,6,6,5,3,5,6,6,4,6,6,4,6,1,6,3,1,3
"84",8,6,3,8,6,8,3,4,8,8,3,7,5,4,8,6,8,8,3,8,6,8,7,5,7
"85",1,1,6,1,1,1,6,3,1,1,6,4,2,5,1,3,3,1,6,5,2,3,4,3,4
"86",9,16,13,9,14,9,13,12,9,9,13,4,8,5,9,15,9,9,13,9,12,9,8,12,7
"87",5,4,6,5,4,5,6,1,5,5,6,2,4,3,5,2,5,5,6,5,1,5,2,4,3
"88",5,12,10,5,12,5,10,9,5,5,10,11,15,8,5,10,5,5,10,5,3,5,11,12,11
"89",3,3,1,3,3,3,1,5,3,3,1,2,4,2,3,5,2,3,1,3,5,2,4,2,4
"90",5,4,3,5,4,5,3,1,5,5,3,5,7,6,5,1,5,5,3,5,1,5,5,4,6
"91",1,7,6,1,7,1,6,9,1,1,6,5,5,1,1,6,1,1,6,1,8,1,4,7,8
"92",2,3,4,2,1,2,4,6,2,2,4,5,1,2,2,4,2,2,4,3,3,2,5,1,5
"93",3,3,5,3,4,3,5,4,3,3,5,8,6,2,3,7,3,3,5,3,7,8,8,4,7
"94",5,3,2,5,6,5,2,6,5,5,2,4,6,5,5,2,5,5,2,3,6,5,6,6,4
"95",5,3,4,5,1,5,4,3,5,5,4,2,1,5,5,4,2,5,4,3,3,2,2,1,2
"96",6,6,3,6,4,6,3,1,6,6,3,2,4,2,6,3,6,6,3,5,1,2,2,4,2
"97",2,3,4,2,3,2,4,5,2,2,4,1,5,2,2,4,2,2,4,1,3,2,1,3,1
"98",1,6,3,1,6,1,3,4,1,1,3,1,2,7,1,4,1,1,3,1,7,1,4,6,7
"99",4,1,5,4,1,4,5,1,4,4,5,3,2,4,4,5,4,4,4,4,1,4,3,1,3
"100",2,1,4,2,3,2,4,6,2,2,3,5,3,2,2,4,2,2,3,2,1,2,4,6,5
