"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83"
"13",9,13,9,11,20,1,9,11,12,3,15,10,1,16,9,9,9,15,6,13,9,13,4,3,10,4,6,18,6,4,4,18,16,20,3,3,12,1,13,16,3,1,20,3,4,13,13,13,6,13,16,20,7,4,13,7,20,6,18,16,9,1,12,12,1,1,6,12,15,9,19,1,3,16,18,12,3,20,16,12,18,18,13
"14",11,9,10,19,6,13,8,19,7,19,10,12,13,6,11,11,11,12,8,6,11,15,14,10,6,11,11,2,11,14,14,2,3,6,15,10,7,13,3,9,10,13,6,17,14,15,15,15,11,17,3,6,17,14,15,17,6,13,2,3,11,13,7,7,13,13,8,7,3,10,10,13,10,8,2,7,2,13,3,7,16,16,15
"15",10,8,10,11,12,10,11,11,4,11,1,12,10,5,11,11,9,1,11,5,11,11,1,8,12,13,11,12,13,1,1,12,9,12,8,13,4,10,9,8,10,10,12,8,1,9,12,9,13,3,9,12,3,1,3,3,12,13,12,9,12,10,4,4,10,10,4,10,1,10,9,10,8,9,8,4,12,12,9,4,8,8,9
"16",2,1,2,4,3,2,4,4,3,4,1,4,2,1,4,4,4,4,4,1,6,6,6,2,4,3,4,3,1,6,6,3,1,4,5,2,3,2,5,1,2,2,3,5,6,5,2,5,1,6,5,3,6,6,6,6,3,1,3,1,2,2,3,3,2,2,5,2,1,2,1,2,2,1,3,5,3,3,5,5,6,6,5
"17",3,5,3,1,7,6,1,1,6,4,3,1,6,5,1,1,3,4,5,5,4,5,2,6,4,4,5,7,4,2,2,7,3,4,2,4,6,6,5,5,6,6,7,2,2,5,5,5,4,5,3,7,2,2,5,2,7,6,7,3,4,6,6,6,6,6,6,6,3,3,3,6,6,3,7,7,7,7,2,7,3,3,5
"18",1,6,1,1,5,4,1,1,4,1,6,3,4,5,1,1,1,3,1,5,1,1,6,2,5,5,1,5,5,6,4,2,6,5,2,5,4,4,3,6,2,4,5,5,6,2,3,3,5,3,3,5,6,6,3,6,5,4,2,6,3,4,4,4,4,4,3,4,6,1,6,4,2,2,2,4,2,4,2,4,5,5,2
"19",2,7,2,7,6,4,8,7,4,5,8,5,4,5,8,2,2,5,8,5,2,3,3,6,5,8,8,6,8,3,4,6,2,5,6,5,7,4,3,7,6,4,5,5,3,7,3,7,8,3,2,6,3,3,7,3,6,4,6,2,6,4,7,7,4,4,6,4,8,2,2,4,6,2,6,3,6,4,6,3,1,1,7
"20",1,2,1,6,3,1,2,6,1,5,5,2,1,6,2,2,2,5,4,6,2,6,6,3,3,3,2,3,3,6,6,5,5,3,4,3,1,1,4,2,1,1,3,5,6,4,6,4,3,6,4,3,6,6,6,6,3,1,3,5,2,1,1,1,1,1,4,1,5,1,5,1,3,5,3,4,3,1,4,4,6,6,4
"21",12,7,9,12,10,6,12,12,5,13,9,13,6,3,12,12,12,9,12,3,12,3,3,8,13,12,12,10,12,6,6,7,8,13,5,8,5,6,8,7,5,6,10,6,8,2,3,2,12,3,8,10,4,6,2,4,10,6,10,8,12,6,5,5,6,6,5,5,9,8,8,6,8,7,8,10,7,10,5,10,5,5,2
"22",10,10,10,4,9,8,4,4,2,1,10,1,8,1,6,10,10,1,4,1,6,1,1,3,1,6,6,9,6,8,8,9,10,1,3,1,2,8,7,10,3,8,9,4,8,7,7,7,6,7,10,9,7,8,7,7,9,8,9,10,6,8,2,2,8,8,3,2,10,10,3,8,3,3,9,2,9,9,3,2,5,5,7
"23",4,7,4,3,1,10,3,3,10,3,9,9,10,7,3,4,4,9,2,7,4,5,8,6,3,2,2,2,2,8,8,6,7,9,6,2,1,10,5,7,5,10,1,6,8,5,5,5,2,5,7,1,8,8,5,8,1,2,6,7,9,10,1,1,10,10,5,10,9,4,7,10,6,7,6,1,6,10,7,1,10,10,5
"24",1,3,1,3,4,1,3,3,1,4,2,3,1,6,3,3,2,4,3,6,6,6,6,5,4,4,3,5,5,6,1,5,2,4,5,5,5,1,2,3,5,1,4,3,6,2,6,2,5,6,2,4,6,6,2,6,4,1,5,2,6,1,5,5,1,1,5,1,2,1,2,1,5,2,5,5,5,1,5,4,5,5,2
"25",3,1,3,2,5,7,3,2,7,1,3,5,7,1,3,3,3,5,3,4,3,4,6,6,5,3,3,5,3,6,7,5,1,5,6,3,2,7,2,1,6,7,5,7,6,4,4,4,3,4,2,5,6,6,4,4,5,7,5,1,5,7,2,2,7,7,2,7,1,3,3,7,6,1,6,2,5,7,6,2,6,6,4
"26",2,10,1,20,18,19,20,20,11,18,10,18,1,12,2,2,2,10,20,12,2,15,15,5,18,2,2,18,2,3,3,14,10,18,5,1,11,19,9,10,5,19,18,20,3,14,17,14,2,9,1,18,3,3,9,9,18,19,18,10,2,19,11,11,19,19,5,11,10,1,10,19,5,10,10,9,5,19,10,9,15,15,14
"27",6,1,6,7,2,6,7,7,3,7,9,5,6,5,6,6,6,5,7,5,6,1,10,3,2,10,7,2,10,10,10,1,9,2,3,10,3,6,1,1,3,6,2,1,10,1,10,1,10,5,1,2,5,10,1,5,2,10,2,9,10,6,3,3,6,6,3,6,9,6,9,6,3,9,3,3,2,2,3,2,8,8,1
"28",2,3,2,4,6,2,4,4,3,4,4,4,2,1,4,2,2,4,3,1,2,1,1,5,4,6,3,6,6,1,1,5,5,4,5,6,3,2,6,3,5,2,6,6,5,1,2,1,6,1,6,6,1,1,1,1,6,6,6,5,2,2,3,3,2,2,6,2,4,2,5,2,5,5,5,3,5,6,5,3,4,4,1
"29",3,4,3,2,2,1,3,2,1,4,4,4,1,4,3,3,3,4,7,6,3,6,6,7,4,3,3,2,3,5,5,5,4,4,5,3,1,1,7,4,1,1,2,1,5,5,6,5,3,6,7,2,6,5,6,6,2,1,2,4,3,1,1,1,1,1,7,1,4,3,7,1,7,7,2,2,2,2,5,2,1,1,5
"30",2,7,7,1,6,5,1,1,5,1,7,7,5,1,1,7,7,7,7,3,2,4,4,6,1,2,7,6,2,2,5,6,7,6,6,2,5,5,4,7,3,5,1,3,6,3,2,3,2,4,4,6,4,2,5,4,6,5,6,7,2,5,5,5,5,5,3,5,7,2,4,5,6,3,6,4,6,6,3,4,3,3,3
"31",2,6,5,8,1,5,8,8,5,8,1,8,5,3,8,8,2,1,8,6,4,6,4,3,8,4,8,1,4,4,4,7,3,8,3,4,5,5,6,3,5,5,1,6,3,6,6,6,4,6,3,1,4,4,6,6,1,4,1,3,4,5,5,5,5,5,6,5,1,5,2,5,3,2,3,1,1,1,3,1,1,1,6
"32",9,5,9,6,1,9,7,6,6,4,4,3,9,4,7,7,7,4,7,3,7,3,3,2,7,7,7,1,7,3,9,5,4,5,2,7,6,9,6,5,2,9,1,1,2,6,3,6,7,3,6,1,8,3,6,8,1,9,1,4,3,9,6,6,9,9,2,9,4,9,4,9,2,4,2,6,1,1,2,1,9,9,6
"33",1,8,1,1,2,3,1,1,6,8,1,8,3,10,1,1,1,8,3,9,4,4,4,7,8,4,8,2,4,4,3,2,10,8,7,7,6,3,5,10,7,3,2,1,7,9,9,9,4,9,5,2,9,4,9,9,2,3,2,10,4,3,6,6,3,3,5,6,10,1,1,3,7,10,10,6,2,2,10,6,4,4,9
"34",1,1,1,5,3,5,1,5,5,3,6,3,5,6,1,1,1,6,1,6,1,7,7,4,3,1,1,3,1,7,5,5,6,3,4,1,3,5,2,6,4,5,3,3,6,4,7,4,1,7,2,3,7,7,7,7,3,5,3,6,7,5,3,3,5,5,4,5,6,1,4,5,4,6,6,2,4,5,6,2,5,5,4
"35",6,3,1,7,5,1,6,7,3,7,1,5,1,7,6,6,6,1,6,4,6,7,7,4,5,5,6,5,5,7,1,3,7,5,4,5,3,1,4,3,4,1,5,3,7,4,2,4,5,2,7,5,2,7,2,2,5,1,3,7,6,1,3,3,1,1,4,3,1,6,4,1,4,7,3,3,4,1,7,3,1,1,4
"36",7,4,7,2,1,7,2,2,5,2,1,1,7,4,2,2,7,1,2,5,2,2,3,6,1,2,2,6,2,3,3,6,4,1,6,6,5,7,5,4,7,7,1,2,3,8,4,8,2,5,4,1,3,3,5,5,1,2,6,4,3,7,5,5,7,7,8,7,4,7,7,7,6,4,6,5,6,1,8,5,6,6,8
"37",5,6,4,5,7,5,1,5,5,8,4,8,4,8,1,1,1,8,1,3,1,3,3,4,8,1,1,7,1,3,3,7,6,8,4,4,5,5,2,6,4,5,8,1,6,2,2,2,1,3,6,7,3,3,3,3,7,5,7,6,1,5,5,5,5,5,2,5,6,4,4,5,4,6,6,7,7,7,6,7,1,1,2
"38",1,3,1,1,5,7,1,1,2,1,1,7,7,5,1,1,1,7,3,5,4,10,10,9,5,4,3,5,4,4,7,3,1,5,9,9,2,7,6,3,9,7,5,3,9,6,10,6,4,10,1,5,10,4,10,10,5,7,5,1,4,7,2,2,7,7,6,2,1,1,1,7,9,1,9,2,5,7,9,2,9,9,6
"39",3,13,8,13,10,1,13,13,5,4,8,8,1,12,13,13,3,8,13,12,11,11,11,9,10,13,13,10,13,11,1,10,4,10,9,9,5,1,7,4,9,1,10,6,9,12,11,12,13,11,7,10,11,11,12,11,10,1,10,4,11,1,5,5,1,1,9,5,8,3,4,1,9,4,9,7,10,1,9,7,9,9,12
"40",1,7,1,6,4,2,3,6,2,4,1,4,2,7,1,1,1,4,3,5,5,5,5,8,4,3,3,3,3,5,2,6,7,4,8,3,6,2,6,7,8,2,4,1,7,8,5,8,3,5,7,4,5,5,8,5,4,2,6,7,5,2,6,6,2,2,8,2,7,1,1,2,8,7,7,6,8,2,7,6,7,7,8
"41",8,6,3,7,1,3,8,7,5,10,3,10,3,7,8,8,8,10,5,7,8,6,6,9,10,8,8,1,8,6,3,1,9,10,3,9,5,3,9,6,9,3,10,1,9,7,6,7,8,6,9,1,6,6,6,6,1,3,1,9,8,3,5,5,3,3,5,5,3,9,9,3,9,9,9,5,1,1,3,5,2,2,7
"42",10,3,10,6,6,12,10,6,5,6,3,10,12,8,10,10,10,3,10,8,10,4,1,2,6,1,10,6,2,1,1,1,3,6,4,2,5,12,7,3,5,12,6,12,1,4,7,4,2,7,7,6,11,1,9,11,6,12,6,3,2,12,5,5,12,12,2,5,3,10,7,12,2,7,3,5,6,12,4,5,4,4,4
"43",12,11,9,4,2,8,10,4,5,2,9,2,8,11,10,10,12,9,10,1,10,7,1,14,2,10,10,14,10,1,8,14,11,2,14,14,5,8,7,11,12,8,2,9,14,7,6,7,10,1,11,2,1,1,1,1,2,8,14,11,10,8,5,5,8,8,7,5,9,12,12,8,14,11,14,13,14,8,11,13,4,4,7
"44",10,1,4,8,8,12,10,8,5,8,4,8,4,12,10,10,10,4,10,12,10,7,7,1,8,10,10,9,10,9,9,9,1,8,6,4,5,12,4,1,6,12,8,8,1,11,12,11,10,12,4,8,9,9,1,12,8,12,9,1,10,12,5,5,12,12,6,5,4,4,4,12,1,6,1,5,9,12,6,5,3,3,11
"45",1,5,13,8,3,8,13,8,8,9,10,9,8,5,13,13,13,10,13,6,13,7,7,12,13,13,13,12,13,7,7,4,5,9,12,13,8,8,6,5,8,8,3,10,12,6,6,6,13,6,5,3,7,7,6,6,3,8,12,5,1,8,8,8,8,8,6,8,10,13,2,8,12,5,12,3,12,3,5,3,3,3,6
"46",4,10,6,1,5,6,1,1,10,1,7,1,6,7,1,1,4,7,1,8,1,8,2,3,5,2,1,5,3,2,2,7,7,5,3,3,10,6,9,10,4,6,5,8,2,8,8,8,3,8,9,5,2,2,8,8,5,6,5,7,3,6,10,10,6,6,3,10,7,4,7,6,3,7,7,9,5,6,7,9,7,7,8
"47",5,1,5,5,6,1,5,5,1,6,5,6,1,6,5,5,5,6,5,3,5,3,3,4,6,1,5,6,1,3,1,6,4,6,4,1,4,1,3,1,4,1,6,6,4,3,3,3,1,3,4,6,3,3,3,3,6,1,6,4,5,1,4,4,1,1,2,1,4,5,5,1,4,2,4,4,6,1,4,6,5,5,3
"48",4,1,4,4,2,6,4,4,6,4,1,1,6,4,4,4,4,1,1,5,4,3,3,2,4,2,1,2,1,2,6,2,4,2,3,4,6,6,3,1,6,6,2,2,2,3,2,3,1,5,4,2,5,2,5,5,2,6,2,4,2,6,6,6,6,6,1,6,1,4,4,6,2,4,2,6,2,6,3,6,1,1,3
"49",3,10,3,1,9,5,3,1,8,1,1,7,5,6,3,3,3,7,10,6,3,2,2,4,9,10,10,10,10,2,5,7,1,9,4,10,8,5,6,10,4,5,9,4,4,11,8,11,10,2,6,9,2,2,2,2,9,10,4,1,7,5,8,8,5,5,10,8,1,3,1,5,4,1,4,6,4,5,4,6,7,7,11
"50",8,11,8,10,15,9,8,10,6,11,11,11,9,16,8,8,8,11,8,13,8,13,5,2,16,15,8,15,15,5,5,2,11,16,2,16,6,9,1,11,2,9,16,8,5,13,13,13,15,13,1,15,5,5,13,5,15,9,15,11,8,9,6,6,9,9,15,6,11,8,1,9,2,2,2,1,2,9,2,1,3,3,13
"51",1,7,1,7,6,6,1,7,5,2,7,2,6,3,1,1,1,7,1,5,1,2,2,3,6,1,1,3,1,2,2,3,3,6,3,1,5,6,5,7,5,6,6,3,3,5,2,5,1,2,3,6,2,2,2,2,6,6,3,3,2,6,5,5,6,6,5,5,7,1,7,6,3,3,3,5,3,6,3,6,7,7,5
"52",1,3,1,1,4,5,1,1,9,10,8,10,5,3,1,1,1,8,2,3,1,13,13,2,10,4,1,7,7,4,5,7,3,10,2,7,9,5,12,3,2,5,10,3,4,13,13,13,7,13,12,4,9,4,13,9,4,7,7,3,1,5,9,9,5,5,2,9,8,1,8,5,2,3,7,12,2,5,3,12,10,10,13
"53",5,7,5,7,3,5,2,7,1,2,5,2,5,4,2,2,2,5,2,6,2,7,7,4,2,3,2,3,3,7,7,3,4,2,4,4,1,5,6,7,5,5,3,3,4,6,6,6,3,6,4,3,7,7,6,6,3,3,3,4,2,5,1,1,5,5,6,5,4,5,4,5,4,4,4,1,3,3,4,1,3,3,6
"54",2,2,4,8,6,4,8,8,4,8,5,3,4,8,8,8,2,3,8,8,8,1,1,6,8,8,8,6,8,1,1,6,2,3,6,8,4,4,5,2,4,4,6,3,1,5,1,5,8,1,2,6,1,1,7,1,6,4,6,2,3,4,4,4,4,4,3,4,5,2,5,4,6,2,6,7,6,4,5,7,1,1,5
"55",7,11,7,7,2,7,8,7,3,4,11,2,7,10,8,8,8,2,8,10,8,4,4,1,2,2,8,2,8,2,2,4,11,2,1,8,3,7,11,11,1,7,2,10,1,11,11,11,8,10,11,2,10,2,10,10,2,7,2,11,2,7,3,3,7,7,1,7,11,7,11,7,1,1,1,3,1,2,1,3,3,3,11
"56",9,2,9,5,8,4,5,5,3,5,9,10,4,5,9,9,9,10,4,2,9,9,8,8,5,8,4,8,4,8,4,8,5,10,2,4,3,4,6,2,3,4,8,4,8,2,6,2,4,6,6,8,6,8,6,6,8,4,8,5,8,4,3,3,4,4,4,3,9,9,9,4,8,5,8,3,8,4,2,3,3,3,2
"57",5,2,5,2,1,5,2,2,1,2,3,3,5,6,2,2,7,3,2,6,2,2,6,9,2,4,2,4,4,6,6,9,6,3,9,4,1,5,7,6,5,5,1,8,6,7,4,7,4,3,6,1,3,6,8,3,1,4,9,6,4,5,1,1,5,5,7,5,3,5,7,5,9,6,9,1,9,1,6,1,9,9,7
"58",7,4,7,7,8,9,7,7,2,8,5,8,9,8,7,7,7,5,7,8,7,6,6,3,8,10,7,10,10,6,9,1,3,8,3,10,2,9,2,4,3,9,8,9,3,6,6,6,10,6,2,8,6,6,6,6,8,10,8,3,6,9,2,2,9,9,2,2,5,7,2,9,3,3,3,2,3,9,3,8,4,4,6
"59",5,1,1,6,2,8,1,6,8,1,1,1,5,4,1,1,7,1,1,4,5,6,6,3,1,2,1,2,2,5,5,2,7,1,3,3,8,8,8,7,8,8,2,4,3,6,6,6,2,4,7,2,4,5,4,4,2,2,2,7,5,8,8,8,8,8,8,8,7,5,7,8,3,7,3,8,2,2,7,4,2,2,6
"60",12,2,1,12,14,1,12,12,10,12,3,14,1,7,12,12,12,3,12,7,9,9,9,11,14,7,12,5,7,9,9,5,16,14,11,11,10,1,6,2,1,1,14,13,11,6,14,6,7,9,16,14,9,9,2,9,14,7,5,16,14,1,10,10,1,1,6,1,3,1,11,1,11,16,5,10,5,1,16,10,3,3,6
"61",7,7,7,4,8,4,3,4,11,6,7,6,4,6,3,3,7,6,3,6,3,5,1,10,6,3,3,10,3,1,1,10,7,6,10,10,11,4,5,7,11,4,6,8,1,5,1,5,3,8,7,8,1,1,8,8,8,4,10,7,1,4,11,11,4,4,5,11,7,7,7,4,10,7,10,11,10,8,5,11,2,2,5
"62",18,4,18,20,19,22,18,20,21,2,8,19,22,3,18,18,18,8,21,3,18,23,11,7,19,18,18,7,18,11,11,7,2,19,7,18,21,22,13,4,21,22,19,11,11,3,23,3,18,10,13,19,10,11,14,10,19,22,7,2,18,22,21,21,22,22,21,21,8,18,8,22,7,2,7,13,7,22,21,13,17,17,3
"63",2,11,15,15,4,2,17,15,2,4,15,4,2,6,16,16,16,15,6,6,16,18,18,7,4,16,16,3,16,18,18,3,7,4,14,7,5,2,5,11,5,2,4,15,7,14,6,14,16,18,5,4,18,18,13,18,4,2,3,7,16,2,5,5,2,2,14,5,15,5,7,2,7,17,7,5,3,2,14,5,5,5,14
"64",1,4,6,3,7,1,6,3,1,2,4,2,1,4,6,6,6,2,6,4,6,5,5,3,6,6,6,7,6,5,1,7,4,2,3,6,2,1,4,4,2,1,7,3,3,4,5,4,6,5,4,7,5,5,5,5,7,1,7,4,5,1,2,2,1,1,2,1,4,6,4,1,3,2,3,7,7,7,2,7,6,6,4
"65",2,4,2,2,1,2,2,2,1,3,4,7,2,1,2,2,4,7,2,7,6,3,3,4,1,6,6,5,6,6,6,5,4,1,7,1,1,2,7,4,1,2,1,6,4,7,6,7,6,7,7,1,6,6,7,7,1,6,5,4,6,2,1,1,2,2,7,2,4,2,4,2,4,4,4,1,4,1,7,1,4,4,7
"66",3,7,3,7,9,3,8,7,4,5,9,8,3,1,8,8,5,9,8,1,8,6,6,2,9,8,8,2,8,6,6,2,5,9,2,2,4,3,4,7,2,3,9,3,2,1,7,7,8,6,4,9,6,6,6,6,9,8,2,5,7,3,4,4,3,3,4,3,5,3,5,3,2,5,2,4,2,3,2,4,3,3,1
"67",8,12,6,4,10,6,8,4,1,4,6,10,6,9,4,8,8,6,8,9,8,4,7,11,10,7,8,10,11,7,7,3,12,10,9,11,1,6,11,12,1,6,10,9,7,9,2,9,11,2,12,10,2,7,7,2,10,6,10,12,11,6,1,1,6,6,11,1,12,8,8,6,11,12,12,1,10,6,9,1,7,7,9
"68",4,3,4,1,2,4,1,1,4,1,2,2,4,6,1,4,1,2,3,6,1,1,5,3,2,5,3,2,3,5,5,2,3,2,3,3,4,4,6,3,4,4,2,3,3,6,6,6,3,5,6,2,5,5,6,5,2,4,2,3,1,4,4,4,4,4,3,4,2,4,1,4,3,1,3,6,2,2,3,2,5,5,6
"69",10,4,3,3,7,2,3,3,2,10,3,3,2,8,3,3,10,3,9,8,10,10,1,9,7,1,9,7,9,1,1,7,6,7,11,9,2,2,6,4,2,2,7,5,1,10,10,10,9,5,6,7,1,1,5,5,7,9,7,6,10,2,2,2,2,2,9,2,6,3,3,2,9,6,6,6,7,2,11,6,10,10,10
"70",2,5,1,6,4,1,6,6,4,6,8,1,1,8,6,1,2,8,5,8,3,3,3,7,6,3,5,7,3,3,1,7,8,4,7,7,4,1,5,8,2,1,4,1,7,5,3,5,3,3,8,4,3,3,5,3,4,1,7,8,3,1,4,4,1,1,5,4,8,2,2,1,7,8,7,4,7,4,8,4,4,4,5
"71",5,3,1,1,10,1,2,1,9,10,7,2,1,8,2,2,5,7,9,8,2,10,6,7,10,2,2,10,2,6,6,10,3,10,7,7,9,1,3,3,1,1,10,4,6,3,6,3,2,8,3,10,8,6,8,8,10,2,10,3,6,1,9,9,1,1,9,1,7,1,7,1,7,5,7,9,10,1,3,9,5,5,3
"72",10,2,10,15,5,4,15,15,4,3,3,3,4,6,10,10,10,3,2,12,10,12,2,8,6,2,2,5,1,2,2,5,3,6,8,8,1,4,1,2,6,4,6,4,8,12,12,12,1,12,1,5,7,2,12,7,5,4,5,3,10,4,1,1,4,4,1,4,3,10,3,4,8,3,8,1,5,5,6,5,14,14,12
"73",1,1,10,3,5,2,3,3,6,3,10,10,2,4,3,10,1,10,6,4,3,4,11,8,3,11,6,5,2,11,11,5,1,7,8,8,6,2,1,1,8,2,5,5,11,4,4,4,2,4,1,5,11,11,4,11,5,2,5,1,8,2,6,6,2,2,6,6,10,1,1,2,8,1,8,6,5,5,8,5,10,10,4
"74",2,7,5,4,6,1,5,4,1,7,3,5,1,7,5,5,5,3,5,8,9,9,9,10,7,8,5,6,8,9,1,6,7,7,10,8,4,1,4,7,10,1,6,8,10,4,2,4,8,9,4,6,9,9,6,9,6,8,6,7,2,1,4,4,1,1,10,1,3,5,3,1,10,7,10,4,6,1,10,6,1,1,4
"75",10,3,10,10,3,5,10,10,5,8,7,8,5,9,10,10,10,7,10,9,10,3,3,1,8,10,10,6,10,9,5,6,9,8,1,10,1,5,7,3,1,5,8,3,9,12,4,12,10,4,7,3,4,9,4,4,3,5,6,9,10,5,1,1,5,5,1,5,7,10,7,5,1,9,6,7,1,5,9,3,7,7,12
"76",1,4,1,5,3,1,5,5,1,5,6,4,1,2,5,5,5,4,5,2,5,5,3,6,5,3,5,3,5,3,1,3,6,4,2,5,3,1,6,4,2,1,3,5,6,2,4,2,5,4,6,3,4,3,4,4,3,1,3,6,4,1,3,3,1,1,2,1,6,1,6,1,6,2,6,3,3,1,2,3,1,1,2
"77",14,11,4,1,15,4,5,1,1,12,12,14,4,9,14,14,14,15,5,9,14,10,13,6,15,13,5,6,5,13,13,6,12,15,11,6,1,4,10,11,4,4,15,13,13,10,10,10,5,10,10,15,13,13,10,13,15,5,6,12,14,4,1,1,4,4,5,4,12,4,12,4,6,12,6,1,6,4,11,1,15,15,10
"78",15,3,8,6,12,4,13,6,4,14,8,14,4,14,13,13,15,8,13,10,13,10,10,10,14,13,13,12,13,10,4,16,15,14,16,14,4,4,15,3,4,4,14,8,10,16,16,16,13,10,15,12,10,10,12,10,12,4,12,15,13,4,4,4,4,4,4,4,8,15,15,4,10,15,12,3,12,12,16,3,8,8,16
"79",9,7,1,3,5,1,13,3,8,3,6,13,1,5,13,13,13,3,13,5,8,11,11,2,3,8,13,5,8,11,11,4,6,3,2,2,8,1,7,7,1,1,5,6,2,7,4,7,8,11,7,5,11,11,11,11,5,8,5,6,9,1,8,8,1,1,7,1,6,1,6,1,2,6,2,9,5,5,7,9,8,8,7
