"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"76",5,3,3,2,7,4,4,4,4,6,5,4,1,6,4,6,6,4,4,4,5,4,4
"77",1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1
"78",1,6,6,5,4,3,3,3,3,2,3,3,3,2,2,2,2,3,3,3,3,3,3
"79",3,2,2,3,3,3,3,3,3,3,3,3,3,2,3,1,1,3,3,3,3,3,3
"80",3,5,5,2,4,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5
"81",2,2,1,2,3,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2
"82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",3,3,3,3,3,1,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3
"84",2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
"85",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
"86",3,4,4,5,6,1,1,1,1,5,1,1,3,2,1,5,5,3,1,1,1,1,1
"87",4,2,2,3,1,3,3,3,3,5,3,3,3,5,3,3,5,3,3,3,3,3,3
"88",2,2,3,6,5,2,2,2,2,2,2,2,4,1,2,2,1,2,2,2,2,2,2
"89",1,4,4,3,2,2,2,2,2,2,2,2,2,4,2,2,3,2,2,2,2,2,2
"90",2,4,4,6,1,8,8,8,8,6,3,8,7,5,8,5,5,8,8,8,8,8,8
"91",2,3,3,1,1,1,1,1,1,1,1,1,1,4,1,5,4,1,1,1,1,1,1
"92",6,1,3,4,2,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1
"93",2,2,2,2,4,2,2,2,2,2,2,2,1,3,2,3,3,2,2,2,2,2,2
"94",2,4,4,5,1,7,7,7,7,5,7,7,3,6,7,7,6,7,7,7,7,7,7
"95",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"96",7,7,4,6,5,7,7,7,7,6,7,7,3,1,7,2,1,7,7,7,7,7,7
"97",3,1,1,2,4,3,3,3,3,3,3,3,3,1,3,3,2,3,3,3,3,3,3
"98",6,3,5,4,7,3,3,3,3,3,3,3,2,1,3,3,1,3,3,3,3,3,3
"99",2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"100",2,3,3,6,3,3,3,3,3,3,3,3,1,5,3,4,5,3,3,3,3,3,3
